audit_id,sequence_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,block_id,market_sequence_rank,relative_day,daily_raw_close,minute_raw_close,coordinate_scale,coordinate_close,resistance_high10,resistance_high20,resistance_high40,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at,l10_continuous_cross,l10_continuous_first_cross_index,l10_continuous_remaining_bars,l10_continuous_closing_state,l10_continuous_close_loss,l10_continuous_reacquired,l20_continuous_cross,l20_continuous_first_cross_index,l20_continuous_remaining_bars,l20_continuous_closing_state,l20_continuous_close_loss,l20_continuous_reacquired,l40_continuous_cross,l40_continuous_first_cross_index,l40_continuous_remaining_bars,l40_continuous_closing_state,l40_continuous_close_loss,l40_continuous_reacquired,l20_auction_cross,l20_auction_first_cross_index,l20_auction_remaining_bars,l20_auction_closing_state,l20_auction_close_loss,l20_auction_reacquired,l20_auction_only_cross
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-12,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-12,2018,1,5,-5,4.1900000000000004,4.179999828338623,0.24752475247524761,1.0371287128712876,1.0594059405940601,1.0594059405940601,1.081683168316832,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-13,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-13,2018,1,5,-4,4.2000000000000002,4.1999998092651367,0.24752475247524763,1.0396039603960401,1.0594059405940601,1.0594059405940601,1.081683168316832,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,True,50,189,CROSS_CLOSE_BELOW,True,False,True,50,189,CROSS_CLOSE_BELOW,True,False,False,,,NO_CROSS,False,False,True,51,189,CROSS_CLOSE_BELOW,True,False,False
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-14,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-14,2018,1,5,-3,4.1399999999999997,4.1399998664855957,0.24752475247524761,1.024752475247525,1.0618811881188124,1.0618811881188124,1.0618811881188124,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-15,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-15,2018,1,5,-2,4.0899999999999999,4.0900001525878906,0.24752475247524758,1.0123762376237626,1.0618811881188124,1.0618811881188124,1.0618811881188124,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|05|600481.SH|2018-03-16,2018|01|ALL_A|05|600481.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,600481.SH,600481,2018-03-16,2018,1,5,-1,4.1100000000000003,4.1100001335144043,0.24752475247524761,1.0173267326732678,1.0618811881188124,1.0618811881188124,1.0618811881188124,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-12,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-12,2018,1,6,-5,17.460000000000001,17.459999084472656,0.045724737082761764,0.79835390946502038,0.801097393689986,0.84316415180612692,0.98536808413351618,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,True,0,239,CROSS_CLOSE_BELOW,True,True,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-13,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-13,2018,1,6,-4,17.27,17.270000457763672,0.045724737082761757,0.78966620941929555,0.81207133058984893,0.82441700960219455,0.98536808413351618,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-14,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-14,2018,1,6,-3,16.989999999999998,16.989999771118164,0.045724737082761757,0.77686328303612218,0.81207133058984893,0.81207133058984893,0.97302240512117055,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-15,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-15,2018,1,6,-2,16.859999999999999,16.860000610351562,0.045724737082761764,0.7709190672153633,0.81207133058984893,0.81207133058984893,0.92638317329675368,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|06|300055.SZ|2018-03-16,2018|01|ALL_A|06|300055.SZ,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,300055.SZ,300055,2018-03-16,2018,1,6,-1,16.77,16.770000457763672,0.045724737082761757,0.76680384087791464,0.81207133058984893,0.81207133058984893,0.92272519433013256,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|07|603507.SH|2018-03-12,2018|01|ALL_A|07|603507.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603507.SH,603507,2018-03-12,2018,1,7,-5,32.369999999999997,32.389999389648438,0.024968789013732832,0.80823970037453174,0.80624219725343327,0.80624219725343327,1.0986267166042449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,True,0,239,CROSS_CLOSE_ABOVE,True,True,True,0,239,CROSS_CLOSE_ABOVE,True,True,False,,,NO_CROSS,False,False,True,0,240,CROSS_CLOSE_ABOVE,True,True,False
MARKET|2018|01|ALL_A|07|603507.SH|2018-03-13,2018|01|ALL_A|07|603507.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603507.SH,603507,2018-03-13,2018,1,7,-4,31.420000000000002,31.450000762939453,0.024968789013732836,0.78451935081148572,0.82297128589263413,0.82297128589263413,1.0986267166042449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-13T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|07|603507.SH|2018-03-14,2018|01|ALL_A|07|603507.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603507.SH,603507,2018-03-14,2018,1,7,-3,31.43,31.430000305175781,0.024968789013732832,0.78476903870162296,0.82297128589263413,0.82297128589263413,1.0986267166042449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-14T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|07|603507.SH|2018-03-15,2018|01|ALL_A|07|603507.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603507.SH,603507,2018-03-15,2018,1,7,-2,30.140000000000001,30.139999389648438,0.024968789013732839,0.75255930087390777,0.82297128589263413,0.82297128589263413,1.0986267166042449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-15T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|07|603507.SH|2018-03-16,2018|01|ALL_A|07|603507.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603507.SH,603507,2018-03-16,2018,1,7,-1,30.02,30.040000915527344,0.024968789013732832,0.74956304619225966,0.82297128589263413,0.82297128589263413,1.0986267166042449,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-16T15:30:00+08:00,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False,,,NO_CROSS,False,False,False
MARKET|2018|01|ALL_A|08|603890.SH|2018-03-12,2018|01|ALL_A|08|603890.SH,CALENDAR_DISTRIBUTED_MARKET_SEQUENCE,ALL_A,603890.SH,603890,2018-03-12,2018,1,8,-5,34.189999999999998,34.229999542236328,0.023380874444704245,0.79939209726443805,0.80406827215337895,0.80406827215337895,0.99134907645545967,False,False,0,,False,PITB-80B916173F29877FD683,2018-03-12T15:30:00+08:00,True,0,239,CROSS_CLOSE_BELOW,True,True,True,0,239,CROSS_CLOSE_BELOW,True,True,False,,,NO_CROSS,False,False,True,1,239,CROSS_CLOSE_BELOW,True,True,False
