family,track,leg,design,variant,formation_sessions,period,count,signal_dates,mean_gross_return,mean_net_return,median_net_return,mean_excess_vs_date_control,severe_loss_fraction,control_severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
conventional_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,conventional,120,full,11636,60,0.007635179398534326,0.003614318706678947,-0.008900053971334643,0.0009245517995431149,0.198178068064627,0.1778606237816764,0.020317444282950597,0.998464032767301,2132.0,137225476.856,40910281.125
conventional_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,conventional,120,late_2021_2023,7585,35,0.007144144384470031,0.0031251266011867894,-0.0072596762311339935,0.005547978944572245,0.205932762030323,0.18753550543024225,0.018397256600080764,0.9988227599738391,2284.0,151324535.325,45146541.92200001
conventional_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,conventional,180,early_2018_2020,4056,25,0.015776019025007356,0.011721970055123009,-0.01077549981060616,-0.000536942957897279,0.25862919132149903,0.16431578947368422,0.09431340184781481,0.993408203125,1700.0,327977414.1227499,79525452.2
conventional_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,conventional,180,full,11669,60,-0.007868560693969273,-0.011828020346214118,-0.03725750855852128,-0.014422377106685985,0.31853629274145173,0.1778606237816764,0.14067566895977532,0.9951592356687898,2132.0,361609731.9344999,85789664.686
conventional_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,conventional,180,late_2021_2023,7613,35,-0.020465751727749542,-0.024374816756016222,-0.05108871573840057,-0.021820159965938182,0.3504531722054381,0.18753550543024225,0.16291766677519584,0.9960932413074619,2284.0,378178804.82949996,90459324.67400001
conventional_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,conventional,180,early_2018_2020,4046,25,0.008682100732959538,0.00465708478378147,-0.011556736586237293,-0.007547990358029554,0.17770637666831438,0.16431578947368422,0.013390587194630155,0.9968090328915071,1700.0,109775429.53725,32065669.185000002
conventional_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,conventional,180,full,11631,60,0.005592213337198359,0.001579542854042347,-0.01184021641530697,-0.0010579714237079025,0.19405038259822888,0.1778606237816764,0.016189758816552463,0.9983787012543732,2132.0,128578359.51299998,39384933.49
conventional_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,conventional,180,late_2021_2023,7585,35,0.003944001814027662,-6.208333550603606e-05,-0.012253833347130594,0.002403942433677121,0.2027686222808174,0.18753550543024225,0.015233116850575157,0.9992151733158927,2284.0,142418407.54050002,44072500.52
revised_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,revised,240,early_2018_2020,4054,25,0.034168676417867465,0.030042331334075623,0.016745451365730357,0.017973283380676528,0.14849531327084362,0.16431578947368422,-0.015820476202840605,0.99755859375,1700.0,247445241.28724998,74269286.936
revised_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,revised,240,full,11667,60,0.004294445566831926,0.00028702396461748335,-0.015391248975582417,-0.002181026889121933,0.23022199365732407,0.1778606237816764,0.052361369875647656,0.9984713375796178,2132.0,234821475.85,66775971.866000004
revised_momentum_12m_1m_high,revised_momentum,high,revised_momentum_12m_1m,revised,240,late_2021_2023,7613,35,-0.011613886479680369,-0.015557980117319112,-0.03257311464028456,-0.012913402277768061,0.2737422829370813,0.18753550543024225,0.08620677750683906,0.9989581976819898,2284.0,227488094.88549995,64122942.096
revised_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,revised,240,early_2018_2020,4048,25,0.0017455101047803329,-0.002252821145721009,-0.024074454836769232,-0.014508019686868854,0.23641304347826086,0.16431578947368422,0.07209725400457664,0.9958271968581247,1700.0,138410035.12199998,33237301.69
revised_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,revised,240,full,11618,60,0.0007483784833749649,-0.0032457072939658434,-0.021868568162476176,-0.005961385632342234,0.23394732311929764,0.1778606237816764,0.056086699337621226,0.9968427340216742,2132.0,159846221.29050002,40274551.927
revised_momentum_12m_1m_low,revised_momentum,low,revised_momentum_12m_1m,revised,240,late_2021_2023,7570,35,0.0002151699228136778,-0.003776645620002182,-0.02012624470796287,-0.0013911379899744984,0.23262879788639365,0.18753550543024225,0.0450932924561514,0.9973839110529757,2284.0,175156034.22599998,45136306.115
revised_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,revised,120,early_2018_2020,4063,25,0.03321714524805386,0.029094246535510286,0.012481817707621579,0.016955924999524297,0.17277873492493231,0.16431578947368422,0.008462945451248094,0.9970703125,1700.0,223378592.19300002,67244676.66600001
revised_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,revised,120,full,11687,60,0.00517064924976527,0.0011598498206355967,-0.01800429559132699,-0.0014740652572325548,0.24189270129203388,0.1778606237816764,0.06403207751035747,0.9978768577494692,2132.0,224956240.58199996,65384683.086
revised_momentum_6m_1m_high,revised_momentum,high,revised_momentum_6m_1m,revised,120,late_2021_2023,7624,35,-0.00977595532015164,-0.013727014535678133,-0.03403090902906575,-0.011295818984043037,0.2787250786988458,0.18753550543024225,0.09118957326860352,0.9983070712332335,2284.0,225400754.45499998,64316397.436000004
revised_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,revised,120,early_2018_2020,4053,25,0.00043329795599318053,-0.0035598721606558154,-0.023500333391975547,-0.015864290928248138,0.24352331606217617,0.16431578947368422,0.07920752658849195,0.9968090328915071,1700.0,152479175.04874998,35128696.24
revised_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,revised,120,full,11626,60,0.0019731009155340923,-0.002025832267386433,-0.019494085758444135,-0.004775584945204214,0.23903320144503698,0.1778606237816764,0.06117257766336057,0.997525386125096,2132.0,177168434.41349998,42393267.3
revised_momentum_6m_1m_low,revised_momentum,low,revised_momentum_6m_1m,revised,120,late_2021_2023,7573,35,0.002797189307851449,-0.001204828215171879,-0.0172636959583371,0.0011589885856655878,0.23663013336854616,0.18753550543024225,0.04909462793830391,0.9979071288423806,2284.0,193554664.79549998,47741166.384
revised_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,revised,180,early_2018_2020,4061,25,0.03108624413619313,0.026971975418254614,0.012852871879831085,0.014837738865560236,0.1635065254863334,0.16431578947368422,-0.0008092639873508167,0.99755859375,1700.0,246393259.45775,72013501.56
revised_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,revised,180,full,11683,60,0.002169399266237994,-0.0018294391109811008,-0.020042278915758382,-0.004396402153142849,0.2414619532654284,0.1778606237816764,0.063601329483752,0.9983864118895966,2132.0,232538238.55,66591662.0
revised_momentum_9m_1m_high,revised_momentum,high,revised_momentum_9m_1m,revised,180,late_2021_2023,7622,35,-0.013237489610288878,-0.017174826726203643,-0.03711782806149683,-0.014644348450302809,0.28299658882183154,0.18753550543024225,0.09546108339158929,0.9988279723922385,2284.0,225566132.91050005,64559248.8
revised_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,revised,180,early_2018_2020,4052,25,0.0010411641696704732,-0.00295432116978451,-0.02514284348942425,-0.01524508588303437,0.24358341559723592,0.16431578947368422,0.0792676261235517,0.9963181148748159,1700.0,141561980.7395,33884191.4
revised_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,revised,180,full,11622,60,0.0020496907064368156,-0.001949529723857353,-0.02065090314777851,-0.004716820020819135,0.2371364653243848,0.1778606237816764,0.059275841542708374,0.9971840600733851,2132.0,167810078.56800002,41290095.222
revised_momentum_9m_1m_low,revised_momentum,low,revised_momentum_9m_1m,revised,180,late_2021_2023,7570,35,0.0025895255184549388,-0.0014116941969224968,-0.018603334752543277,0.0009186533310561793,0.23368560105680317,0.18753550543024225,0.046150095626560916,0.9976455199476782,2284.0,187759952.04300004,46823210.160000004
wan_max_1m_high,low_risk,high,wan_max_1m,source_defined,20,early_2018_2020,8084,25,0.009113822857580799,0.005086314405045834,-0.023090369394771937,-0.0072312199435184904,0.25927758535378526,0.16431578947368422,0.09496179588010104,0.9919266055045871,1700.0,203483733.59600002,43541474.39700001
wan_max_1m_high,low_risk,high,wan_max_1m,source_defined,20,full,23260,60,-3.7727508186304504e-07,-0.0039913315174980885,-0.02828489362737946,-0.0066375821275086525,0.27773000859845226,0.1778606237816764,0.09986938481677585,0.9937069478697168,2132.0,219906562.61825,52793076.111999996
wan_max_1m_high,low_risk,high,wan_max_1m,source_defined,20,late_2021_2023,15176,35,-0.004855358421131217,-0.008826840850513705,-0.031007558049583495,-0.0063213612455487464,0.28755930416447023,0.18753550543024225,0.10002379873422798,0.9946555432444764,2284.0,228841980.84899998,58177055.035
wan_max_1m_low,low_risk,low,wan_max_1m,source_defined,20,early_2018_2020,8108,25,0.014138469062215206,0.010092667547096082,-0.0016192773435641516,-0.0021000887629811877,0.12173162308830784,0.16431578947368422,-0.042584166385376376,0.9987742093650405,1700.0,111242374.95725,37411131.43
wan_max_1m_low,low_risk,low,wan_max_1m,source_defined,20,full,23348,60,0.00639730214524702,0.0023826366881371133,-0.006196825997643263,-0.00020267306754836892,0.12874764433784477,0.1778606237816764,-0.04911297944383164,0.999233030806596,2132.0,113871758.05,41040045.926
wan_max_1m_low,low_risk,low,wan_max_1m,source_defined,20,late_2021_2023,15240,35,0.002278838801232711,-0.0017192616192407933,-0.008762500560915154,0.0008067919231713994,0.13248031496062992,0.18753550543024225,-0.055055190469612325,0.9994774998367187,2284.0,115475655.095,42829267.661
wan_min_1m_high,low_risk,high,wan_min_1m,source_defined,20,early_2018_2020,8101,25,0.0184244486001672,0.014361731430913169,0.00048442440960783095,0.0020949652908079618,0.12356499197629922,0.16431578947368422,-0.040750797497385,0.9963302752293578,1700.0,126924262.9835,46406324.99
wan_min_1m_high,low_risk,high,wan_min_1m,source_defined,20,full,23351,60,0.005873069272485564,0.0018604916233824083,-0.0078044867203391766,-0.000784436064122918,0.13866643826816838,0.1778606237816764,-0.039194185513508034,0.997533803894889,2132.0,121634498.38475001,48186788.2
wan_min_1m_high,low_risk,high,wan_min_1m,source_defined,20,late_2021_2023,15250,35,-0.0007943880346323964,-0.004780330913063932,-0.012122273841886244,-0.002314011826502923,0.14668852459016393,0.18753550543024225,-0.04084698084007832,0.9981750635468943,2284.0,119261192.45400003,49002491.113000005
wan_min_1m_low,low_risk,low,wan_min_1m,source_defined,20,early_2018_2020,8097,25,0.017699996446847846,0.013638294297644892,-0.013480425590900236,0.0013870848272797356,0.22588613066567864,0.16431578947368422,0.06157034119199442,0.9957097327776416,1700.0,206765696.68275,40130975.8
wan_min_1m_low,low_risk,low,wan_min_1m,source_defined,20,full,23280,60,0.006286669384394145,0.002270714762241507,-0.01992559474780442,-0.0003824311902704207,0.24995704467353952,0.1778606237816764,0.0720964208918631,0.9969747326260173,2132.0,240416531.82600006,47887066.502000004
wan_min_1m_low,low_risk,low,wan_min_1m,source_defined,20,late_2021_2023,15183,35,0.00020001264826244335,-0.0037915451006420623,-0.023448220013766563,-0.0013261031387722729,0.2627939142461964,0.18753550543024225,0.07525840881595416,0.9976487492652342,2284.0,261097892.84849995,52181293.2
