family,leg,period,horizon,count,signal_dates,mean_return,median_return,positive_fraction,p10,p90,severe_loss_fraction,mean_adverse_excursion,mean_excess_vs_date_control,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
limit_up_aftermath,top,early_2018_2020,20,1926,122,-0.0303174575,-0.06592071775,0.3541017653,-0.2393016627,0.2074968757,0.4065420561,-0.1539806621,-0.03065456723,0.936438622,28,228650616.4,234810103.5
limit_up_aftermath,top,full,5,4475,263,-0.01133921743,-0.0231836759,0.3970949721,-0.1465131563,0.1296420951,0.2033519553,-0.08771832672,-0.008806851633,0.9237270666,32,294775625.9,297604781.4
limit_up_aftermath,top,full,20,4456,263,-0.02788619944,-0.06550626985,0.3505385996,-0.2335203062,0.2067873049,0.4032764811,-0.1505297884,-0.02507820127,0.9237270666,32,294775625.9,297658606
limit_up_aftermath,top,late_2021_2023,5,2547,141,-0.01044359492,-0.02253965068,0.3961523361,-0.1432687834,0.134313252,0.1908127208,-0.085317858,-0.00708300802,0.9143369176,36,344072191,387691075.5
limit_up_aftermath,top,late_2021_2023,20,2530,141,-0.02603536821,-0.06539349098,0.347826087,-0.2281992639,0.2063767529,0.4007905138,-0.1479027596,-0.02083311003,0.9143369176,36,344072191,387441124.8
limit_up_aftermath,top,year_2018,5,297,24,-0.02823165128,-0.03082051385,0.32996633,-0.1371895787,0.06343627274,0.1952861953,-0.0878355281,-0.02125638948,0.9428571429,18,99948834.8,151095207.5
limit_up_aftermath,top,year_2018,20,297,24,-0.06411058258,-0.08192110563,0.265993266,-0.2283931449,0.11515571,0.4377104377,-0.1571445511,-0.03273802743,0.9428571429,18,99948834.8,151095207.5
limit_up_aftermath,top,year_2019,5,762,49,-0.01585645527,-0.03181840858,0.3779527559,-0.1547702128,0.1145100255,0.2309711286,-0.09174664593,-0.02020633935,0.9237288136,25,183548392.8,228479252.6
limit_up_aftermath,top,year_2019,20,762,49,-0.03231528408,-0.06640906527,0.3556430446,-0.2374697672,0.2119406073,0.406824147,-0.1536634681,-0.04685078908,0.9237288136,25,183548392.8,228479252.6
limit_up_aftermath,top,year_2020,5,869,49,-0.004229853137,-0.01526872815,0.4395857307,-0.1513012817,0.1397731891,0.2186421174,-0.09118162454,0.0003914138456,0.9456521739,41.5,351244935.5,344230135.8
limit_up_aftermath,top,year_2020,20,867,49,-0.01698539061,-0.05574448187,0.3829296424,-0.2483898904,0.245774673,0.3956170704,-0.1531756182,-0.01570611424,0.9456521739,41.5,351244935.5,344700859
limit_up_aftermath,top,year_2021,5,909,48,-0.003041102672,-0.01705441576,0.4257425743,-0.1335518747,0.1382605861,0.1848184818,-0.08084354315,-0.003139584136,0.9518324607,38,418514459,375856124.6
limit_up_aftermath,top,year_2021,20,904,48,0.01302407891,-0.02852997413,0.453539823,-0.212569482,0.2671208614,0.342920354,-0.1367312221,0.01092176626,0.9518324607,38,418514459,375734597.9
limit_up_aftermath,top,year_2022,5,885,49,-0.02076248975,-0.02629070218,0.3683615819,-0.1650132361,0.1261785659,0.2316384181,-0.095312969,-0.01547852707,0.9278242678,43,338385565.3,390721185.5
limit_up_aftermath,top,year_2022,20,878,49,-0.06265842927,-0.08681610836,0.2870159453,-0.2694394497,0.1587009497,0.4681093394,-0.1709584014,-0.06060081219,0.9278242678,43,338385565.3,391006553.8
limit_up_aftermath,top,year_2023,5,753,44,-0.007251886466,-0.02053986515,0.3930942895,-0.1288160436,0.1379841178,0.1500664011,-0.07897188052,-0.001976152706,0.858930603,27,276803576.8,408756179.9
limit_up_aftermath,top,year_2023,20,748,44,-0.03025287167,-0.0688735753,0.2914438503,-0.1942713778,0.1615815637,0.3917112299,-0.1343415516,-0.01253145986,0.858930603,27,276803576.8,407492878.5
low_idiosyncratic_volatility_20,bottom,early_2018_2020,5,2426,122,-0.008537035776,-0.02594940019,0.3895300907,-0.1337779804,0.1297094562,0.176422094,-0.08212026542,-0.006901222612,0.9946721311,1893.5,353116278.5,92716512.28
low_idiosyncratic_volatility_20,bottom,early_2018_2020,20,2418,122,-0.0309895624,-0.06491309549,0.3498759305,-0.2323574186,0.187547981,0.4028122415,-0.157375323,-0.03247616831,0.9946721311,1893.5,353116278.5,92540965.67
low_idiosyncratic_volatility_20,bottom,full,5,5234,263,-0.009149905641,-0.02811707272,0.3840275124,-0.1339969423,0.1304107307,0.1813144822,-0.08321226876,-0.006435464036,0.9808988764,2475,444988057.9,113365777.8
low_idiosyncratic_volatility_20,bottom,full,20,5221,263,-0.03127166296,-0.06719602371,0.3411223903,-0.2346758232,0.1955308737,0.4091170274,-0.1558120878,-0.02882060784,0.9808988764,2475,444988057.9,113248879
low_idiosyncratic_volatility_20,bottom,late_2021_2023,5,2808,141,-0.009679400759,-0.02964872269,0.3792735043,-0.1341235611,0.1326039877,0.1855413105,-0.08415571609,-0.006033067203,0.9693103448,2789,528213440.3,138354580.7
low_idiosyncratic_volatility_20,bottom,late_2021_2023,20,2803,141,-0.03151501621,-0.06924961848,0.3335711737,-0.2371579787,0.2015475181,0.414555833,-0.1544635674,-0.02566714896,0.9693103448,2789,528213440.3,138327478.8
low_idiosyncratic_volatility_20,bottom,year_2018,5,477,24,-0.01940980893,-0.02953068223,0.3417190776,-0.118528305,0.07629050874,0.1488469602,-0.07769391425,-0.006561680359,0.99375,1242.5,172846350.6,58371437.5
low_idiosyncratic_volatility_20,bottom,year_2018,20,477,24,-0.05568559967,-0.07957440936,0.3165618449,-0.2295057382,0.1312284473,0.4150943396,-0.1560705854,-0.01871202385,0.99375,1242.5,172846350.6,58371437.5
low_idiosyncratic_volatility_20,bottom,year_2019,5,973,49,-0.007100785607,-0.02437069595,0.3967112025,-0.1238273119,0.1284666822,0.1500513875,-0.07410980099,-0.01149839455,0.993877551,1659,338564157.4,93972490.36
low_idiosyncratic_volatility_20,bottom,year_2019,20,971,49,-0.01784276667,-0.05249327432,0.3645726056,-0.2048264127,0.1877859188,0.3563336766,-0.1429831156,-0.03992709144,0.993877551,1659,338564157.4,93913167.78
low_idiosyncratic_volatility_20,bottom,year_2020,5,976,49,-0.004655026167,-0.02656701963,0.4057377049,-0.1475310092,0.152800175,0.2161885246,-0.09226939595,-0.002484125646,0.9959183673,2260,499674100.6,156082269.4
low_idiosyncratic_volatility_20,bottom,year_2020,20,970,49,-0.03200557155,-0.07254386663,0.3515463918,-0.2619688461,0.2168551983,0.4432989691,-0.1724239757,-0.03178611732,0.9959183673,2260,499674100.6,156880402.6
low_idiosyncratic_volatility_20,bottom,year_2021,5,955,48,-0.006014089578,-0.03154117297,0.3916230366,-0.1341002326,0.1362196087,0.1811518325,-0.08521877233,-0.006070079878,0.9958333333,2422.5,496331288.1,137847005
low_idiosyncratic_volatility_20,bottom,year_2021,20,954,48,-0.01122086491,-0.05808255326,0.3857442348,-0.237206943,0.236976452,0.4150943396,-0.1570291971,-0.01317407668,0.9958333333,2422.5,496331288.1,137704395
low_idiosyncratic_volatility_20,bottom,year_2022,5,976,49,-0.01940110221,-0.03689389658,0.3493852459,-0.1478941677,0.1285763657,0.2202868852,-0.08977861975,-0.01398809529,0.9969387755,2869,526371706.4,130950922.2
low_idiosyncratic_volatility_20,bottom,year_2022,20,973,49,-0.06655954746,-0.09303908739,0.2569373073,-0.2609869946,0.1421775168,0.4737923947,-0.1688968409,-0.0629868192,0.9969387755,2869,526371706.4,130866878.9
low_idiosyncratic_volatility_20,bottom,year_2023,5,877,44,-0.002851569018,-0.0217911162,0.3990877993,-0.1152659392,0.1279852402,0.1516533637,-0.07674046789,0.002860267483,0.9145833333,2895,570302192.7,152695378.1
low_idiosyncratic_volatility_20,bottom,year_2023,20,876,44,-0.01469114799,-0.05007647605,0.3618721461,-0.199993181,0.220015206,0.348173516,-0.1356380129,0.002179481382,0.9145833333,2895,570302192.7,152479900.9
low_idiosyncratic_volatility_20,top,early_2018_2020,5,2437,122,-0.0007297191176,-0.0009819179639,0.4870742716,-0.04675226971,0.04796797721,0.01969634797,-0.02750524139,0.0009242741346,0.9995901639,1893.5,78168850.12,37327869.96
low_idiosyncratic_volatility_20,top,early_2018_2020,20,2431,122,0.005572429528,-0.007414723817,0.4541341012,-0.08852405889,0.1115579299,0.07610037022,-0.05649585277,0.003894152495,0.9995901639,1893.5,78168850.12,37382056.6
low_idiosyncratic_volatility_20,top,full,5,5257,263,-0.001320216351,-0.00166489451,0.4715617272,-0.04351804366,0.04109709564,0.01084268594,-0.02521526317,0.001394616201,0.9848314607,2475,77953137.97,38590089.59
low_idiosyncratic_volatility_20,top,full,20,5244,263,0.005544197744,-0.003992015968,0.4673913043,-0.0807661286,0.09984716938,0.06350114416,-0.05262825734,0.00794250463,0.9848314607,2475,77953137.97,38609923.42
low_idiosyncratic_volatility_20,top,late_2021_2023,5,2820,141,-0.001830514847,-0.002317934752,0.4581560284,-0.04104485457,0.03572122736,0.003191489362,-0.02323629973,0.001801078476,0.9724137931,2789,77742352.91,39812388.82
low_idiosyncratic_volatility_20,top,late_2021_2023,20,2813,141,0.005519799783,-0.002582238213,0.4788482048,-0.07380475932,0.08971019522,0.05261286882,-0.04928587394,0.01144109832,0.9724137931,2789,77742352.91,39819182.46
low_idiosyncratic_volatility_20,top,year_2018,5,480,24,-0.006210861513,-0.002270158156,0.475,-0.05384224701,0.04012229007,0.03541666667,-0.0315809573,0.006712400465,1,1242.5,78268125.03,34415600.56
low_idiosyncratic_volatility_20,top,year_2018,20,479,24,-0.01061848115,-0.01787545199,0.375782881,-0.09367454744,0.08018598978,0.08768267223,-0.06672975415,0.02642098382,1,1242.5,78268125.03,34387467.87
low_idiosyncratic_volatility_20,top,year_2019,5,978,49,0.002337179221,0.0004894654461,0.5112474438,-0.04434601305,0.05442509026,0.0081799591,-0.02429339047,-0.00205940442,0.9989795918,1659,76371779.8,37024234.77
low_idiosyncratic_volatility_20,top,year_2019,20,974,49,0.01654255958,0.004594259756,0.5143737166,-0.08009091174,0.1265254925,0.06570841889,-0.04864624481,-0.005921714815,0.9989795918,1659,76371779.8,37166661.2
low_idiosyncratic_volatility_20,top,year_2020,5,979,49,-0.00110610137,-0.002034260717,0.468845761,-0.04638299966,0.04641066692,0.02349336057,-0.02871550346,0.001067008545,1,2260,80226420.21,38588034.56
low_idiosyncratic_volatility_20,top,year_2020,20,978,49,0.002577071187,-0.01135185947,0.4325153374,-0.09125980987,0.1061754857,0.08077709611,-0.05930104643,0.002636793145,1,2260,80226420.21,38583779.18
low_idiosyncratic_volatility_20,top,year_2021,5,960,48,-0.0003970651808,-0.00197784205,0.4552083333,-0.03074549092,0.03261029292,0,-0.01788019309,-0.0004883856003,1,2422.5,91526806.64,39657097.38
low_idiosyncratic_volatility_20,top,year_2021,20,958,48,0.01300806151,0.001139865052,0.5104384134,-0.05880080784,0.08587129057,0.02818371608,-0.03565888141,0.01132915214,1,2422.5,91526806.64,39755734.82
low_idiosyncratic_volatility_20,top,year_2022,5,980,49,-0.003009105757,-0.001571551281,0.4693877551,-0.05291154508,0.04226472032,0.00612244898,-0.0305368611,0.002413661877,1,2869,73719563.53,38711319.7
low_idiosyncratic_volatility_20,top,year_2022,20,978,49,0.000735433814,-0.003992015968,0.481595092,-0.09765837911,0.0952254239,0.09611451943,-0.06683983177,0.004278928883,1,2869,73719563.53,38656093.1
low_idiosyncratic_volatility_20,top,year_2023,5,880,44,-0.002081756423,-0.003992015968,0.4488636364,-0.03326442529,0.03024905389,0.003409090909,-0.02094915452,0.003616480499,0.9166666667,2895,71900595.19,42013059.77
low_idiosyncratic_volatility_20,top,year_2023,20,877,44,0.002675278896,-0.007143939968,0.441277081,-0.06643973614,0.08366634143,0.03078677309,-0.04459589457,0.01955038696,0.9166666667,2895,71900595.19,41987801.32
lower_wick_demand_rejection,top,early_2018_2020,5,2425,122,-0.00752028407,-0.01031810761,0.4189690722,-0.08446139419,0.07253358045,0.06969072165,-0.05163958272,-0.005700720828,0.9959016393,305.5,120387212.5,38997810.04
lower_wick_demand_rejection,top,early_2018_2020,20,2417,122,-0.003942293481,-0.01771113421,0.4348365743,-0.1499524587,0.1564748782,0.2130740588,-0.09775326411,-0.005228270743,0.9959016393,305.5,120387212.5,38847796.84
lower_wick_demand_rejection,top,full,5,5224,263,-0.006019762363,-0.008662788335,0.4308958652,-0.08198941546,0.07258293852,0.06431852986,-0.04983049931,-0.003208510409,0.9805243446,401,130500597.3,41105308.2
lower_wick_demand_rejection,top,full,20,5198,263,-0.007418897718,-0.02157351731,0.4213158907,-0.1499064772,0.1481157303,0.2123893805,-0.09616855932,-0.004878376728,0.9805243446,401,130500597.3,41099428.87
lower_wick_demand_rejection,top,late_2021_2023,5,2799,141,-0.00471973909,-0.007356907806,0.4412290104,-0.08007754016,0.07256215754,0.05966416577,-0.04826314409,-0.001049307028,0.9675862069,474,142624022.5,43496927.25
lower_wick_demand_rejection,top,late_2021_2023,20,2781,141,-0.01044045559,-0.0248041231,0.4095649047,-0.1497764248,0.1379828063,0.2117943186,-0.09479127363,-0.004574279701,0.9675862069,474,142624022.5,43499124.09
lower_wick_demand_rejection,top,year_2018,5,479,24,-0.02250992674,-0.0182260526,0.369519833,-0.1064157086,0.04631822202,0.1127348643,-0.05892852199,-0.009574919866,0.9979166667,278.5,104061375.7,35327567.7
lower_wick_demand_rejection,top,year_2018,20,478,24,-0.05062643341,-0.05092914577,0.3012552301,-0.1787979336,0.07568273945,0.2887029289,-0.1182426576,-0.0134591447,0.9979166667,278.5,104061375.7,35324439.86
lower_wick_demand_rejection,top,year_2019,5,976,49,-0.003174420311,-0.007501932686,0.4344262295,-0.07467882701,0.07328661271,0.05532786885,-0.04612583645,-0.007507136753,0.9989795918,240,114694882.5,39462743.34
lower_wick_demand_rejection,top,year_2019,20,972,49,0.01169641617,-0.002042234284,0.4897119342,-0.135340277,0.1708745253,0.1748971193,-0.08579795741,-0.01043562249,0.9989795918,240,114694882.5,39456806.27
lower_wick_demand_rejection,top,year_2020,5,970,49,-0.004490927567,-0.00955580225,0.4278350515,-0.0841997455,0.08298271769,0.06288659794,-0.05358805123,-0.001969995794,0.9918367347,418,139144692.7,43338476.01
lower_wick_demand_rejection,top,year_2020,20,967,49,0.003414679744,-0.01725247729,0.4457083764,-0.1494608352,0.1804205015,0.2140641158,-0.09964222793,0.00407462859,0.9918367347,418,139144692.7,43569773.52
lower_wick_demand_rejection,top,year_2021,5,951,48,-0.00192251039,-0.005576754208,0.4647739222,-0.08200446398,0.08029638889,0.06519453207,-0.04968385518,-0.00194008606,0.9947916667,423.5,147075488.4,43488139.89
lower_wick_demand_rejection,top,year_2021,20,947,48,0.003058543938,-0.01334845461,0.4435058078,-0.1544042931,0.1753389122,0.2059134108,-0.09361464832,0.001461883245,0.9947916667,423.5,147075488.4,43172666.62
lower_wick_demand_rejection,top,year_2022,5,974,49,-0.007414260818,-0.006034497969,0.4579055441,-0.08779541609,0.06844341703,0.07700205339,-0.05313462425,-0.001968518604,0.9948979592,480,152994625.4,48341904.14
lower_wick_demand_rejection,top,year_2022,20,968,49,-0.01919994438,-0.0317709279,0.4070247934,-0.1625462514,0.1341024226,0.2551652893,-0.1082430278,-0.0156345478,0.9948979592,480,152994625.4,48281581.17
lower_wick_demand_rejection,top,year_2023,5,874,44,-0.004760586149,-0.01078389837,0.3970251716,-0.06385733796,0.05509872661,0.03432494279,-0.04128840963,0.0009443347739,0.9125,477,130097976.6,39942935.67
lower_wick_demand_rejection,top,year_2023,20,866,44,-0.01541085674,-0.02579632184,0.3752886836,-0.1253268745,0.1022804407,0.1697459584,-0.08104181192,0.001187952649,0.9125,477,130097976.6,39995568.25
negative_gap_recovery,top,early_2018_2020,5,2400,122,-0.01161965687,-0.02204670615,0.3875,-0.1224519642,0.1032202337,0.1595833333,-0.07818048152,-0.009954252884,0.9840163934,377.5,152089035.5,105433564.2
negative_gap_recovery,top,early_2018_2020,20,2396,122,-0.02151705754,-0.05670062263,0.3660267112,-0.2148681648,0.1970717129,0.371869783,-0.1419170634,-0.02331224562,0.9840163934,377.5,152089035.5,105548055.9
negative_gap_recovery,top,full,5,5167,263,-0.01089379255,-0.02230098626,0.3919101993,-0.1306401896,0.115318236,0.1739887749,-0.07993942063,-0.008116966471,0.9689022106,546,179871773.7,123307174.9
