symbol,industry,fill_date,exit_reason,extended,base_net_mark,final_net_return,second_leg_delta
601857.SH,炼化及贸易,2018-09-18,H40,True,0.0965471479652,0.154189601954,0.0576424539884
000157.SZ,工程机械,2018-09-18,H20,False,-0.0693260680585,-0.0693260680585,
600761.SH,工程机械,2018-09-18,H20,False,-0.0762101175293,-0.0822282926594,
002097.SZ,工程机械,2018-09-18,H20,False,-0.0683449547308,-0.0698075215208,
600031.SH,工程机械,2018-09-18,H20,False,-0.0828287683273,-0.0872702755025,
000761.SZ,普钢,2018-09-18,H20,False,-0.0707102541329,-0.0730930483531,
600782.SH,普钢,2018-09-18,H20,False,-0.215094703907,-0.213677907343,
002221.SZ,炼化及贸易,2018-09-18,H20,False,-0.0466780724266,-0.0543396723037,
300055.SZ,炼化及贸易,2018-09-18,H20,False,-0.100348168421,-0.0983817163304,
000157.SZ,工程机械,2018-09-26,H40,True,0.000880732539717,-0.0588319763351,-0.0597127088748
002097.SZ,工程机械,2018-09-26,H40,True,0.0118633933291,-0.0515582438596,-0.0634216371887
000778.SZ,普钢,2018-09-26,H40,True,0.016715010727,0.00843220004897,-0.00828281067802
601857.SH,炼化及贸易,2018-09-26,H40,True,0.0768358570816,0.166656216363,0.0898203592814
000157.SZ,工程机械,2018-09-26,H20,False,-0.0663985312583,-0.0663985312583,
600761.SH,工程机械,2018-09-26,H20,False,-0.0739391642037,-0.0699984797961,
002097.SZ,工程机械,2018-09-26,H20,False,-0.0664198668191,-0.0664198668191,
600031.SH,工程机械,2018-09-26,H20,False,-0.0703925482369,-0.0671796192561,
000425.SZ,工程机械,2018-09-26,H20,False,-0.0852514086047,-0.0852514086047,
000680.SZ,工程机械,2018-09-26,H20,False,-0.0249606051056,-0.0197184578212,
000528.SZ,工程机械,2018-09-26,H20,False,-0.125717186601,-0.125717186601,
300628.SZ,通信设备,2018-09-26,H20,False,-0.0385647134258,-0.0346359978056,
300638.SZ,通信设备,2018-09-26,H20,False,-0.119209664295,-0.104980978809,
600522.SH,通信设备,2018-09-26,H20,False,-0.0648169310234,-0.0615584534312,
000709.SZ,普钢,2018-10-10,H40,True,0.0385421328162,0.105887868391,0.0673457355751
000778.SZ,普钢,2018-10-10,H40,True,0.0863538409906,0.0555040361754,-0.0308498048151
000959.SZ,普钢,2018-10-10,H40,True,0.0149795646802,0.0126081170991,-0.00237144758103
600808.SH,普钢,2018-10-10,H40,True,0.0146721482408,0.0766129432677,0.0619407950269
600208.SH,房地产开发,2018-10-10,H20,False,-0.0324493869404,-0.0387732471565,
000656.SZ,房地产开发,2018-10-10,H20,False,-0.058143906362,-0.062011898533,
600606.SH,房地产开发,2018-10-10,H20,False,-0.0351172654691,-0.033561002994,
600383.SH,房地产开发,2018-10-10,H20,False,-0.0412464400133,-0.0412464400133,
600325.SH,房地产开发,2018-10-10,H20,False,-0.0856093368818,-0.0869926813041,
002016.SZ,房地产开发,2018-10-10,H20,False,-0.0769174560321,-0.0749983655041,
600340.SH,房地产开发,2018-10-10,H20,False,-0.0513833554145,-0.0494087162709,
002146.SZ,房地产开发,2018-10-10,H20,False,-0.0636034663839,-0.0598777507329,
001979.SZ,房地产开发,2018-10-10,H20,False,-0.0191853580974,-0.0163717762216,
600893.SH,航空装备Ⅱ,2018-10-10,H20,False,-0.0539575906231,-0.0580869769582,
000709.SZ,普钢,2018-10-17,H40,True,0.009746025191,0.0543946589579,0.0446486337669
000778.SZ,普钢,2018-10-17,H40,True,0.0344803954323,-0.0253655778572,-0.0598459732895
600208.SH,房地产开发,2018-10-17,H20,False,-0.029695447814,-0.029695447814,
002016.SZ,房地产开发,2018-10-17,H20,False,-0.0381164865131,-0.019987861536,
000656.SZ,房地产开发,2018-10-17,H20,False,-0.0846480297409,-0.0752694234882,
600773.SH,房地产开发,2018-10-17,H20,False,-0.189876514381,-0.182940525634,
000069.SZ,房地产开发,2018-10-17,H20,False,-0.127243840079,-0.113919318554,
600606.SH,房地产开发,2018-10-17,H20,False,-0.133425700105,-0.120798023604,
000014.SZ,房地产开发,2018-10-17,H20,False,-0.113756161147,-0.0893641288851,
603080.SH,燃气Ⅱ,2018-10-17,H20,False,-0.0160510131569,-0.0258285784452,
600803.SH,燃气Ⅱ,2018-10-17,H20,False,-0.0488702826904,-0.0314980504108,
000709.SZ,普钢,2018-10-24,H40,True,0.0888259323647,0.106675537813,0.0178496054486
600028.SH,炼化及贸易,2018-10-24,H40,True,0.0560021931446,-0.0346837189818,-0.0906859121264
002299.SZ,养殖业,2018-10-24,H20,False,-0.0841790994283,-0.0829732786243,
600583.SH,油服工程,2018-10-24,H20,False,-0.0907361016691,-0.152696162884,
603080.SH,燃气Ⅱ,2018-10-24,H20,False,-0.104819089591,-0.106862881624,
603393.SH,燃气Ⅱ,2018-10-24,H20,False,-0.0008746200869,-0.00425179895816,
600803.SH,燃气Ⅱ,2018-10-24,H20,False,-0.12369030485,-0.131079088115,
002267.SZ,燃气Ⅱ,2018-10-24,H20,False,-0.0588900938281,-0.0588900938281,
603689.SH,燃气Ⅱ,2018-10-24,H20,False,-0.0673513024841,-0.068196092971,
000407.SZ,燃气Ⅱ,2018-10-24,H20,False,-0.214886788268,-0.227415190583,
002911.SZ,燃气Ⅱ,2018-10-24,H20,False,-0.0953645063379,-0.0958428963399,
603619.SH,油服工程,2018-10-31,H20,False,-0.300199600798,-0.302594810379,
600339.SH,油服工程,2018-10-31,H20,False,-0.150358780647,-0.141433977922,
002493.SZ,炼化及贸易,2018-10-31,H20,False,-0.104909124482,-0.103154044334,
002221.SZ,炼化及贸易,2018-10-31,H20,False,-0.0729551113437,-0.0740856538909,
603080.SH,燃气Ⅱ,2018-10-31,H20,False,-0.187948592611,-0.19370782245,
603393.SH,燃气Ⅱ,2018-10-31,H20,False,-0.0894370030745,-0.0845908694774,
600803.SH,燃气Ⅱ,2018-10-31,H20,False,-0.250204073645,-0.250204073645,
600893.SH,航空装备Ⅱ,2018-10-31,H20,False,-0.0858170344863,-0.0805770086698,
600316.SH,航空装备Ⅱ,2018-10-31,H20,False,-0.145387721426,-0.139149675597,
600391.SH,航空装备Ⅱ,2018-10-31,H20,False,-0.206802337354,-0.20752408227,
600456.SH,小金属,2018-11-07,H20,False,-0.0605833786972,-0.0574394141011,
000960.SZ,小金属,2018-11-07,H20,False,-0.01930049603,-0.0173869360223,
600339.SH,油服工程,2018-11-07,H20,False,-0.157356567143,-0.160802961551,
600583.SH,油服工程,2018-11-07,H20,False,-0.144826964148,-0.14627887083,
603619.SH,油服工程,2018-11-07,H20,False,-0.282344057133,-0.288403421294,
002828.SZ,油服工程,2018-11-07,H20,False,-0.159637115835,-0.167479698386,
601898.SH,煤炭开采,2018-11-07,H20,False,-0.00964045444083,-0.00964045444083,
600348.SH,煤炭开采,2018-11-07,H20,False,-0.0327392752695,-0.0310482600165,
603393.SH,燃气Ⅱ,2018-11-14,H40,True,0.0574866439627,0.0698360691017,0.0123494251389
603080.SH,燃气Ⅱ,2018-11-14,H20,False,-0.136948585265,-0.128617973154,
600803.SH,燃气Ⅱ,2018-11-14,H20,False,-0.0955532880427,-0.102997293902,
600988.SH,贵金属,2018-11-14,H20,False,-0.008550404911,-0.0131087938539,
601069.SH,贵金属,2018-11-14,H20,False,-0.0181328700623,-0.022436608265,
002237.SZ,贵金属,2018-11-14,H20,False,-0.0596478753785,-0.0596478753785,
300498.SZ,养殖业,2018-11-21,H40,True,0.105116131374,0.0996833605516,-0.00543277082199
002701.SZ,包装印刷,2018-11-21,H20,False,-0.074618036654,-0.0782398838686,
601988.SH,银行Ⅱ,2018-11-21,H20,False,-0.00949482250968,-0.0122462257805,
601009.SH,银行Ⅱ,2018-11-21,H20,False,-0.0312425764067,-0.0366926884944,
002673.SZ,证券Ⅱ,2018-11-28,H20,False,-0.00635222446103,-0.00399201596806,
600111.SH,小金属,2018-12-05,H40,True,0.0163742621864,-0.0476340405848,-0.0640083027713
000831.SZ,小金属,2018-12-05,H40,True,0.0315796977474,-0.0548087498472,-0.0863884475946
601988.SH,银行Ⅱ,2018-12-05,H20,False,-0.00670593418068,-0.0148476888185,
600751.SH,航运港口,2018-12-12,H40,True,0.0865541643985,-0.0539485292737,-0.140502693672
600018.SH,航运港口,2018-12-12,H40,True,0.078355100822,0.0822763920977,0.00392129127572
601919.SH,航运港口,2018-12-12,H40,True,0.131442497441,0.134264049804,0.0028215523627
000975.SZ,贵金属,2018-12-12,H40,True,0.154252243177,0.253986019949,0.0997337767722
000426.SZ,贵金属,2018-12-12,H40,True,0.173944050896,0.124035154093,-0.0499088968033
000100.SZ,光学光电子,2018-12-12,H20,False,-0.069367057391,-0.069367057391,
600056.SH,医药商业,2018-12-12,H20,False,-0.117128825513,-0.113761658563,
600110.SH,电池,2018-12-12,H20,False,-0.0195894564339,-0.0195894564339,
600673.SH,综合Ⅱ,2018-12-12,H20,False,-0.0578965071088,-0.0701475278226,
002191.SZ,包装印刷,2018-12-19,H40,True,0.0847035855297,0.169037108265,0.0843335227356
600018.SH,航运港口,2018-12-19,H40,True,0.0599028358378,0.00352502542086,-0.0563778104169
600751.SH,航运港口,2018-12-19,H40,True,0.0602665636469,-0.0521859506793,-0.112452514326
600000.SH,银行Ⅱ,2018-12-19,H40,True,0.00731554865671,-0.00210742186394,-0.00942297052064
601328.SH,银行Ⅱ,2018-12-19,H40,True,0.0115706087824,-0.0126379186072,-0.0242085273897
601169.SH,银行Ⅱ,2018-12-19,H40,True,0.0213302209141,0.00444872965933,-0.0168814912548
601166.SH,银行Ⅱ,2018-12-19,H40,True,0.0171451309599,0.00881837610952,-0.00832675485043
000415.SZ,多元金融,2018-12-19,H20,False,-0.051184414214,-0.046216793346,
000630.SZ,工业金属,2018-12-19,H20,False,-0.0554290480073,-0.0554290480073,
600673.SH,综合Ⅱ,2018-12-19,H20,False,-0.0609067579127,-0.0683304199055,
600682.SH,综合Ⅱ,2018-12-19,H20,False,-0.113391173718,-0.109585985622,
600958.SH,证券Ⅱ,2018-12-19,H20,False,-0.140943113772,-0.139905605456,
000008.SZ,轨交设备Ⅱ,2018-12-19,H20,False,-0.03628155161,-0.03628155161,
600963.SH,造纸,2018-12-19,H20,False,-0.0566545070778,-0.0566545070778,
002500.SZ,证券Ⅱ,2018-12-26,H40,True,0.0810940932206,-0.0106654362966,-0.0917595295172
000783.SZ,证券Ⅱ,2018-12-26,H40,True,0.0399776263213,-0.0364913167906,-0.0764689431119
000728.SZ,证券Ⅱ,2018-12-26,H40,True,0.0398487756262,-0.0341325601891,-0.0739813358153
600621.SH,证券Ⅱ,2018-12-26,H40,True,0.205759980669,0.130399981877,-0.0753599987918
601377.SH,证券Ⅱ,2018-12-26,H40,True,0.0183673469388,-0.0568414192024,-0.0752087661412
601108.SH,证券Ⅱ,2018-12-26,H40,True,0.0697367042496,-0.0388455927983,-0.108582297048
000776.SZ,证券Ⅱ,2018-12-26,H40,True,0.0694238059508,0.0131383424797,-0.0562854634711
000712.SZ,证券Ⅱ,2018-12-26,H40,True,0.0141538784779,-0.0594378045528,-0.0735916830307
601881.SH,证券Ⅱ,2018-12-26,H40,True,0.0244653550043,-0.0934294675954,-0.1178948226
000425.SZ,工程机械,2018-12-26,H20,False,-0.00701939585874,-0.0100467757494,
300359.SZ,教育,2018-12-26,H20,False,-0.0515720152053,-0.0531580151798,
600739.SH,生物制品,2018-12-26,H20,False,-0.123881865898,-0.123881865898,
002500.SZ,证券Ⅱ,2019-01-04,H40,True,0.108888888889,-0.000671989354624,-0.109560878244
000783.SZ,证券Ⅱ,2019-01-04,H40,True,0.0998747384189,-0.0206848872088,-0.120559625628
000728.SZ,证券Ⅱ,2019-01-04,H40,True,0.125740116406,-0.00259704680275,-0.128337163209
601377.SH,证券Ⅱ,2019-01-04,H40,True,0.0798608122564,-0.0673929348695,-0.147253747126
601108.SH,证券Ⅱ,2019-01-04,H40,True,0.0216405424445,-0.118728229815,-0.140368772259
002673.SZ,证券Ⅱ,2019-01-04,H40,True,0.027795472884,-0.0899359673089,-0.117731440193
000776.SZ,证券Ⅱ,2019-01-04,H40,True,0.0760580847578,-0.0609507414846,-0.137008826242
000712.SZ,证券Ⅱ,2019-01-04,H40,True,0.0723889644025,-0.0661152133361,-0.138504177739
601328.SH,银行Ⅱ,2019-01-04,H40,True,0.00104681025807,-0.0342249733249,-0.0352717835829
600031.SH,工程机械,2019-01-04,H20,False,-0.0308781210585,-0.0382106951741,
600739.SH,生物制品,2019-01-04,H20,False,-0.130068975972,-0.138474106639,
000665.SZ,电视广播Ⅱ,2019-01-04,H20,False,-0.0842330683901,-0.0931487408814,
000156.SZ,电视广播Ⅱ,2019-01-04,H20,False,-0.111220400486,-0.117853084065,
600559.SH,白酒Ⅱ,2019-01-04,H20,False,-0.16399051688,-0.175765298332,
603589.SH,白酒Ⅱ,2019-01-04,H20,False,-0.112443790422,-0.123097743077,
002271.SZ,装修建材,2019-01-04,H20,False,-0.14755454608,-0.155110468718,
002222.SZ,光学光电子,2019-01-11,H40,True,0.00258539524724,-0.0321809211765,-0.0347663164238
000935.SZ,多元金融,2019-01-11,H40,True,0.0596527629852,-0.0341740760902,-0.0938268390755
601899.SH,工业金属,2019-01-11,H40,True,0.00758947221835,-0.114016153739,-0.121605625957
000009.SZ,综合Ⅱ,2019-01-11,H40,True,0.0288434120769,-0.0258823013314,-0.0547257134083
002500.SZ,证券Ⅱ,2019-01-11,H40,True,0.00730791253797,0.0525076265621,0.0451997140241
300570.SZ,通信设备,2019-01-11,H40,True,0.0817570157698,0.152514958043,0.0707579422732
000528.SZ,工程机械,2019-01-11,H20,False,-0.0828984780812,-0.0828984780812,
600031.SH,工程机械,2019-01-11,H20,False,-0.0269861249554,-0.013673746068,
002304.SZ,白酒Ⅱ,2019-01-11,H20,False,-0.0938322703256,-0.090883465478,
002375.SZ,装修装饰Ⅱ,2019-01-11,H20,False,-0.0244706847986,-0.0226089876322,
603027.SH,调味发酵品Ⅱ,2019-01-11,H20,False,-0.0647841185693,-0.0586435021449,
600298.SH,调味发酵品Ⅱ,2019-01-11,H20,False,-0.0260809027107,-0.0284905994463,
600737.SH,农产品加工,2019-01-18,H40,True,0.00596806387226,0.0529227259766,0.0469546621044
603026.SH,电池,2019-01-18,H40,True,0.112930660418,0.0495975440423,-0.0633331163759
300570.SZ,通信设备,2019-01-18,H40,True,0.00654155848116,0.0609650264688,0.0544234679876
002304.SZ,白酒Ⅱ,2019-01-18,H20,False,-0.0131009193887,-0.00915372790645,
600559.SH,白酒Ⅱ,2019-01-18,H20,False,-0.045255203878,-0.045255203878,
000568.SZ,白酒Ⅱ,2019-01-18,H20,False,-0.044018505046,-0.0402951107132,
000858.SZ,白酒Ⅱ,2019-01-18,H20,False,-0.0205921490353,-0.0153102885139,
000876.SZ,养殖业,2019-01-25,H40,True,0.13147738526,0.219224611056,0.0877472257957
603338.SH,工程机械,2019-01-25,H40,True,0.109542572885,0.221356940695,0.11181436781
600031.SH,工程机械,2019-01-25,H40,True,0.0569103830555,0.131769581855,0.0748591987999
000799.SZ,白酒Ⅱ,2019-01-25,H40,True,0.0870752101934,0.106817056424,0.0197418462308
600702.SH,白酒Ⅱ,2019-01-25,H40,True,0.206084109696,0.253042302492,0.0469581927956
002372.SZ,装修建材,2019-01-25,H40,True,0.0687851853704,0.154038478367,0.0852532929965
002091.SZ,贸易Ⅱ,2019-01-25,H40,True,0.0382740054945,0.0658388021006,0.027564796606
002396.SZ,通信设备,2019-01-25,H20,False,-0.0211074525008,-0.0194511199331,
002281.SZ,通信设备,2019-01-25,H20,False,-0.0213170993321,-0.0191053865622,
300498.SZ,养殖业,2019-02-01,H40,True,0.0200772218509,0.0643951835493,0.0443179616984
601098.SH,出版,2019-02-01,H40,True,0.0940738386241,0.128183701091,0.0341098624668
601766.SH,轨交设备Ⅱ,2019-02-01,H40,True,0.0243358561603,-0.0243880839005,-0.0487239400607
601069.SH,贵金属,2019-02-01,H20,False,-0.130568030605,-0.128493013972,
600547.SH,贵金属,2019-02-01,H20,False,-0.02589974657,-0.0252647398859,
002155.SZ,贵金属,2019-02-01,H20,False,-0.0901850145862,-0.0794108897589,
600489.SH,贵金属,2019-02-01,H20,False,-0.104496222974,-0.0965913977035,
300139.SZ,贵金属,2019-02-01,H20,False,-0.168894000079,-0.162297920715,
600988.SH,贵金属,2019-02-01,H20,False,-0.088399472242,-0.088399472242,
000975.SZ,贵金属,2019-02-01,H20,False,-0.0127545495519,-0.00496563081071,
601098.SH,出版,2019-02-15,H40,True,0.0285306937146,0.0789408937228,0.0504102000081
600551.SH,出版,2019-02-15,H40,True,0.0321628405952,0.063652554376,0.0314897137809
601801.SH,出版,2019-02-15,H40,True,0.0370200774921,0.0384847951157,0.00146471762358
601886.SH,装修装饰Ⅱ,2019-02-15,H40,True,0.00844081601014,0.0678421243505,0.0594013083403
002168.SZ,电网设备,2019-02-15,H20,False,-0.0138534811565,-0.016811920713,
000839.SZ,通信服务,2019-02-15,H20,False,-0.00673583961553,-0.00673583961553,
603369.SH,白酒Ⅱ,2019-02-22,H40,True,0.0485660600623,0.197156176247,0.148590116185
603589.SH,白酒Ⅱ,2019-02-22,H40,True,0.0862020403637,0.196869594145,0.110667553781
000860.SZ,白酒Ⅱ,2019-02-22,H40,True,0.0354681037001,0.198493123643,0.163025019943
000596.SZ,白酒Ⅱ,2019-02-22,H40,True,0.00398298268563,0.275999784591,0.272016801905
600197.SH,白酒Ⅱ,2019-02-22,H40,True,0.00178194335966,0.147574416385,0.145792473025
000799.SZ,白酒Ⅱ,2019-02-22,H40,True,0.00524631895629,0.0318065318638,0.0265602129075
600761.SH,工程机械,2019-03-01,H40,True,0.0426438093712,0.155902242338,0.113258432967
600305.SH,调味发酵品Ⅱ,2019-03-01,H40,True,0.105819309157,0.182879888193,0.0770605790354
300353.SZ,通信设备,2019-03-01,H40,True,0.116196656965,0.211902452079,0.0957057951137
002104.SZ,通信设备,2019-03-01,H40,True,0.0433564111166,0.170182555094,0.126826143977
300183.SZ,通信设备,2019-03-01,H40,True,0.000963247634085,0.152924664767,0.151961417133
600345.SH,通信设备,2019-03-01,H40,True,0.0132903143485,0.121077479744,0.107787165395
600522.SH,通信设备,2019-03-01,H40,True,0.0154422861594,0.208570663551,0.193128377392
002881.SZ,通信设备,2019-03-01,H40,True,0.0373722500354,0.0553330497475,0.0179607997121
002299.SZ,养殖业,2019-03-08,H40,True,0.25724595036,0.692846493745,0.435600543385
300498.SZ,养殖业,2019-03-08,H40,True,0.0431873095913,0.406018789489,0.362831479897
002234.SZ,养殖业,2019-03-08,H40,True,0.353184799001,1.59974965324,1.24656485423
601877.SH,电网设备,2019-03-15,H40,True,0.125174493119,0.113012711419,-0.0121617816998
601222.SH,电网设备,2019-03-15,H40,True,0.121013034659,0.201661454419,0.0806484197597
300510.SZ,电网设备,2019-03-15,H40,True,0.0575590392249,0.363076095001,0.305517055776
600893.SH,航空装备Ⅱ,2019-03-15,H40,True,0.0381178008913,0.157798333018,0.119680532127
300699.SZ,航空装备Ⅱ,2019-03-15,H40,True,0.151933430585,0.257798602191,0.105865171607
000768.SZ,航空装备Ⅱ,2019-03-15,H40,True,0.0555557923299,0.205134215555,0.149578423225
600050.SH,通信服务,2019-03-15,H40,True,0.0827814068832,0.31669237283,0.233910965947
300383.SZ,通信服务,2019-03-15,H40,True,0.0971874694415,0.344036710441,0.246849240999
002299.SZ,养殖业,2019-03-22,H40,True,0.44569190279,0.488146533629,0.0424546308393
300498.SZ,养殖业,2019-03-22,H40,True,0.190220632081,0.385858694061,0.19563806198
002234.SZ,养殖业,2019-03-22,H40,True,0.721171691704,1.32322436467,0.602052672963
002458.SZ,养殖业,2019-03-22,H40,True,0.87233805534,1.75128403731,0.878945981969
000876.SZ,养殖业,2019-03-22,H40,True,0.274629825317,0.643087680847,0.368457855531
002157.SZ,养殖业,2019-03-22,H40,True,0.65175453405,1.6246379546,0.972883420555
002714.SZ,养殖业,2019-03-22,H40,True,0.581835992107,0.870233332462,0.288397340355
002124.SZ,养殖业,2019-03-22,H40,True,0.46714350471,1.17697102658,0.70982752187
000735.SZ,养殖业,2019-03-22,H40,True,0.138294838894,0.205253358829,0.0669585199349
600066.SH,商用车,2019-03-22,H40,True,0.108038438722,0.112944881993,0.00490644327109
300498.SZ,养殖业,2019-03-29,H40,True,0.131730102028,0.367551734871,0.235821632843
600066.SH,商用车,2019-03-29,H40,True,0.186446058813,0.113135826486,-0.0733102323272
600967.SH,地面兵装Ⅱ,2019-03-29,H40,True,0.0542753615256,0.0697526336723,0.0154772721467
300527.SZ,地面兵装Ⅱ,2019-03-29,H40,True,0.173399187027,0.715750979792,0.542351792765
600030.SH,证券Ⅱ,2019-03-29,H40,True,0.304520763487,0.272337775702,-0.0321829877849
601211.SH,证券Ⅱ,2019-03-29,H40,True,0.192154341624,0.151825183988,-0.0403291576356
600999.SH,证券Ⅱ,2019-03-29,H40,True,0.23011542011,0.159322452913,-0.0707929671972
300059.SZ,证券Ⅱ,2019-03-29,H40,True,0.509803285926,0.400419578476,-0.10938370745
601688.SH,证券Ⅱ,2019-03-29,H40,True,0.230834785853,0.134015534988,-0.0968192508645
000166.SZ,证券Ⅱ,2019-03-29,H40,True,0.253556959308,0.192018708578,-0.0615382507297
601988.SH,银行Ⅱ,2019-03-29,H20,False,-0.0402104881147,-0.0402104881147,
300498.SZ,养殖业,2019-04-08,H40,True,0.358160205074,0.535482516661,0.177322311586
000157.SZ,工程机械,2019-04-08,H40,True,0.172245321689,0.412568963949,0.24032364226
000425.SZ,工程机械,2019-04-08,H40,True,0.279276309766,0.489443132084,0.210166822319
600031.SH,工程机械,2019-04-08,H40,True,0.213377804651,0.481575394271,0.26819758962
600348.SH,煤炭开采,2019-04-08,H40,True,0.202616293831,0.261090343774,0.0584740499432
603369.SH,白酒Ⅱ,2019-04-08,H40,True,0.217343091595,0.683849395227,0.466506303632
002304.SZ,白酒Ⅱ,2019-04-08,H40,True,0.204326788401,0.333156895258,0.128830106858
600519.SH,白酒Ⅱ,2019-04-08,H40,True,0.0696826248799,0.28601972,0.21633709512
000860.SZ,白酒Ⅱ,2019-04-08,H40,True,0.0755390345717,0.508347510236,0.432808475664
000858.SZ,白酒Ⅱ,2019-04-08,H40,True,0.211755108205,0.714345979094,0.50259087089
000572.SZ,乘用车,2019-04-15,H40,True,0.190576985564,0.348085224899,0.157508239335
601607.SH,医药商业,2019-04-15,H40,True,0.0512797275404,0.194762940487,0.143483212946
000078.SZ,医药商业,2019-04-15,H40,True,0.296916740537,0.45338929392,0.156472553383
000528.SZ,工程机械,2019-04-15,H40,True,0.112033119842,0.240112815217,0.128079695375
000157.SZ,工程机械,2019-04-15,H40,True,0.0662553985229,0.3798599275,0.313604528977
600031.SH,工程机械,2019-04-15,H40,True,0.191123394237,0.394411177645,0.203287783408
601857.SH,炼化及贸易,2019-04-15,H40,True,0.0199440904573,0.0199440904573,0
603369.SH,白酒Ⅱ,2019-04-15,H40,True,0.26276765012,0.394305947007,0.131538296887
000025.SZ,综合Ⅱ,2019-04-15,H40,True,0.213849212947,0.309320499359,0.0954712864116
000089.SZ,航空机场,2019-04-15,H40,True,0.0927425724091,0.109462130894,0.0167195584849
002859.SZ,其他电子Ⅱ,2019-04-15,H20,False,-0.00972090330432,0.00419210879802,
