trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-03-26,SZ_A,ALL_STATUS,1806,400,True
2018-03-26,SZ_A,NON_ST,1788,400,True
2018-03-27,ALL_A,ALL_STATUS,3035,1000,True
2018-03-27,ALL_A,NON_ST,2993,1000,True
2018-03-27,CHINEXT_BOARD,ALL_STATUS,635,200,True
2018-03-27,CHINEXT_BOARD,NON_ST,635,200,True
2018-03-27,SH_A,ALL_STATUS,1230,400,True
2018-03-27,SH_A,NON_ST,1206,400,True
2018-03-27,SZ_A,ALL_STATUS,1805,400,True
2018-03-27,SZ_A,NON_ST,1787,400,True
2018-03-28,ALL_A,ALL_STATUS,3031,1000,True
2018-03-28,ALL_A,NON_ST,2989,1000,True
2018-03-28,CHINEXT_BOARD,ALL_STATUS,634,200,True
2018-03-28,CHINEXT_BOARD,NON_ST,634,200,True
2018-03-28,SH_A,ALL_STATUS,1227,400,True
2018-03-28,SH_A,NON_ST,1203,400,True
2018-03-28,SZ_A,ALL_STATUS,1804,400,True
2018-03-28,SZ_A,NON_ST,1786,400,True
2018-03-29,ALL_A,ALL_STATUS,3035,1000,True
2018-03-29,ALL_A,NON_ST,2992,1000,True
2018-03-29,CHINEXT_BOARD,ALL_STATUS,635,200,True
2018-03-29,CHINEXT_BOARD,NON_ST,635,200,True
2018-03-29,SH_A,ALL_STATUS,1229,400,True
2018-03-29,SH_A,NON_ST,1204,400,True
2018-03-29,SZ_A,ALL_STATUS,1806,400,True
2018-03-29,SZ_A,NON_ST,1788,400,True
2018-03-30,ALL_A,ALL_STATUS,3039,1000,True
2018-03-30,ALL_A,NON_ST,2996,1000,True
2018-03-30,CHINEXT_BOARD,ALL_STATUS,635,200,True
2018-03-30,CHINEXT_BOARD,NON_ST,635,200,True
2018-03-30,SH_A,ALL_STATUS,1232,400,True
2018-03-30,SH_A,NON_ST,1207,400,True
2018-03-30,SZ_A,ALL_STATUS,1807,400,True
2018-03-30,SZ_A,NON_ST,1789,400,True
2018-04-02,ALL_A,ALL_STATUS,3041,1000,True
2018-04-02,ALL_A,NON_ST,2998,1000,True
2018-04-02,CHINEXT_BOARD,ALL_STATUS,636,200,True
2018-04-02,CHINEXT_BOARD,NON_ST,636,200,True
2018-04-02,SH_A,ALL_STATUS,1231,400,True
2018-04-02,SH_A,NON_ST,1206,400,True
2018-04-02,SZ_A,ALL_STATUS,1810,400,True
2018-04-02,SZ_A,NON_ST,1792,400,True
2018-04-03,ALL_A,ALL_STATUS,3040,1000,True
2018-04-03,ALL_A,NON_ST,2999,1000,True
2018-04-03,CHINEXT_BOARD,ALL_STATUS,637,200,True
2018-04-03,CHINEXT_BOARD,NON_ST,637,200,True
2018-04-03,SH_A,ALL_STATUS,1227,400,True
2018-04-03,SH_A,NON_ST,1204,400,True
2018-04-03,SZ_A,ALL_STATUS,1813,400,True
2018-04-03,SZ_A,NON_ST,1795,400,True
2018-04-04,ALL_A,ALL_STATUS,3045,1000,True
2018-04-04,ALL_A,NON_ST,3004,1000,True
2018-04-04,CHINEXT_BOARD,ALL_STATUS,638,200,True
2018-04-04,CHINEXT_BOARD,NON_ST,638,200,True
2018-04-04,SH_A,ALL_STATUS,1229,400,True
2018-04-04,SH_A,NON_ST,1206,400,True
2018-04-04,SZ_A,ALL_STATUS,1816,400,True
2018-04-04,SZ_A,NON_ST,1798,400,True
2018-04-09,ALL_A,ALL_STATUS,3041,1000,True
2018-04-09,ALL_A,NON_ST,3001,1000,True
2018-04-09,CHINEXT_BOARD,ALL_STATUS,640,200,True
