family,trade_date,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,entry_status,natural_status,natural_net_return
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000301.SZ,炼化及贸易,1,1,10,72953890.28,EXECUTABLE,COMPLETE,0.05576846307
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000636.SZ,元件,1,2,10,1705675333,EXECUTABLE,COMPLETE,-0.3078363699
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000738.SZ,航空装备Ⅱ,1,3,10,257520177.7,EXECUTABLE,COMPLETE,-0.1419504034
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000768.SZ,航空装备Ⅱ,1,4,10,299433666.5,EXECUTABLE,COMPLETE,-0.1466983486
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000823.SZ,元件,1,5,10,133044225.7,EXECUTABLE,COMPLETE,-0.08865269461
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,000928.SZ,专业工程,1,6,10,130981667.1,EXECUTABLE,COMPLETE,-0.05040099013
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,002023.SZ,航空装备Ⅱ,1,7,10,666046216.9,EXECUTABLE,COMPLETE,-0.1291964094
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,002095.SZ,数字媒体,1,8,10,71881602.52,EXECUTABLE,COMPLETE,-0.08176817387
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,002134.SZ,元件,1,9,10,76599241.85,EXECUTABLE,COMPLETE,-0.1243151281
arm0_baseline,2018-07-23,2018-07-23 15:00:00,2018-07-23 15:00:00,002138.SZ,元件,1,10,10,118342476.4,EXECUTABLE,COMPLETE,-0.06317127019
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000001.SZ,银行Ⅱ,1,1,10,849555975,EXECUTABLE,COMPLETE,0.1086833803
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000157.SZ,工程机械,1,2,10,79820298.06,EXECUTABLE,COMPLETE,0.0008807325397
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000301.SZ,炼化及贸易,1,3,10,64020061.24,EXECUTABLE,COMPLETE,0.04499198325
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000425.SZ,工程机械,1,4,10,291160655,EXECUTABLE,COMPLETE,-0.003992015968
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000528.SZ,工程机械,1,5,10,435496400.6,EXECUTABLE,COMPLETE,0.06639724085
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000680.SZ,工程机械,1,6,10,63596842.43,EXECUTABLE,COMPLETE,-0.02953068223
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000709.SZ,普钢,1,7,10,133265825.3,EXECUTABLE,COMPLETE,-0.03786983855
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000717.SZ,普钢,1,8,10,399153014.2,EXECUTABLE,COMPLETE,0.05097820128
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000729.SZ,非白酒,1,9,10,85232304.38,EXECUTABLE,COMPLETE,-0.1386248193
arm0_baseline,2018-07-30,2018-07-30 15:00:00,2018-07-30 15:00:00,000752.SZ,非白酒,1,10,10,95474137.1,EXECUTABLE,COMPLETE,-0.1472283972
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000709.SZ,普钢,1,1,10,144396875.6,EXECUTABLE,COMPLETE,0.03854213282
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000717.SZ,普钢,0.9333333333,2,10,501141493.6,EXECUTABLE,COMPLETE,-0.04631904849
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000778.SZ,普钢,0.9333333333,3,10,137618293.5,EXECUTABLE,COMPLETE,0.08635384099
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000898.SZ,普钢,0.9333333333,4,10,180370825.8,EXECUTABLE,COMPLETE,-0.05394852927
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000932.SZ,普钢,0.9333333333,5,10,871186754,EXECUTABLE,COMPLETE,-0.02607878225
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,000959.SZ,普钢,0.9333333333,6,10,82709617.15,EXECUTABLE,COMPLETE,0.01497956468
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,002110.SZ,普钢,0.9333333333,7,10,786043941.7,EXECUTABLE,COMPLETE,-0.03754818082
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,600010.SH,普钢,0.9333333333,8,10,321411405,EXECUTABLE,COMPLETE,-0.04784142407
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,600019.SH,普钢,0.9333333333,9,10,584652832.5,EXECUTABLE,COMPLETE,-0.07159983064
arm0_baseline,2018-08-06,2018-08-06 15:00:00,2018-08-06 15:00:00,600282.SH,普钢,0.9333333333,10,10,398918265.8,EXECUTABLE,COMPLETE,-0.09453819633
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000157.SZ,工程机械,1,1,10,97608720.69,EXECUTABLE,COMPLETE,-0.07077451811
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000425.SZ,工程机械,1,2,10,316495993.7,EXECUTABLE,COMPLETE,-0.1144091907
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000498.SZ,基础建设,1,3,10,120409382.2,EXECUTABLE,COMPLETE,-0.1190769721
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000528.SZ,工程机械,1,4,10,579706030.3,EXECUTABLE,COMPLETE,-0.1467320137
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000680.SZ,工程机械,1,5,10,107439524.4,EXECUTABLE,COMPLETE,-0.1434820776
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000709.SZ,普钢,1,6,10,151023386.9,EXECUTABLE,COMPLETE,0.009746025191
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000717.SZ,普钢,1,7,10,591615261,EXECUTABLE,COMPLETE,-0.1670604609
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000778.SZ,普钢,1,8,10,146753828.5,EXECUTABLE,COMPLETE,0.03448039543
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000898.SZ,普钢,1,9,10,193988268.7,EXECUTABLE,COMPLETE,-0.07469628644
arm0_baseline,2018-08-13,2018-08-13 15:00:00,2018-08-13 15:00:00,000932.SZ,普钢,1,10,10,878079180.7,EXECUTABLE,COMPLETE,-0.1517565807
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,002097.SZ,工程机械,1,1,10,61426064.15,EXECUTABLE,COMPLETE,-0.06834495473
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,000709.SZ,普钢,0.875,2,10,155628176.2,EXECUTABLE,COMPLETE,0.08882593236
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,600282.SH,普钢,0.875,3,10,418687740.8,EXECUTABLE,COMPLETE,-0.1665205155
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,601003.SH,普钢,0.875,4,10,471908638.8,EXECUTABLE,COMPLETE,-0.2087269905
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,000059.SZ,炼化及贸易,0.8571428571,5,10,118449237.7,EXECUTABLE,COMPLETE,-0.008360472038
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,002221.SZ,炼化及贸易,0.8571428571,6,10,57471405.85,EXECUTABLE,COMPLETE,-0.04667807243
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,300055.SZ,炼化及贸易,0.8571428571,7,10,73186619.84,EXECUTABLE,COMPLETE,-0.1003481684
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,000157.SZ,工程机械,0.8333333333,8,10,100301262.1,EXECUTABLE,COMPLETE,-0.06932606806
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,000425.SZ,工程机械,0.8333333333,9,10,362583440.5,EXECUTABLE,COMPLETE,-0.09582253932
arm0_baseline,2018-08-20,2018-08-20 15:00:00,2018-08-20 15:00:00,000528.SZ,工程机械,0.8333333333,10,10,621039050.6,EXECUTABLE,COMPLETE,-0.1307410973
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,000680.SZ,工程机械,1,1,10,78469133.19,EXECUTABLE,COMPLETE,-0.02496060511
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,000157.SZ,工程机械,0.8333333333,2,10,83998438.21,EXECUTABLE,COMPLETE,-0.06639853126
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,000425.SZ,工程机械,0.8333333333,3,10,320820820.5,EXECUTABLE,COMPLETE,-0.0852514086
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,000528.SZ,工程机械,0.8333333333,4,10,553354640.2,EXECUTABLE,COMPLETE,-0.1257171866
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,002097.SZ,工程机械,0.8333333333,5,10,57122163.38,EXECUTABLE,COMPLETE,-0.06641986682
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,600031.SH,工程机械,0.8333333333,6,10,874983676.5,EXECUTABLE,COMPLETE,-0.07039254824
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,600761.SH,工程机械,0.8333333333,7,10,58977695.5,EXECUTABLE,COMPLETE,-0.0739391642
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,002491.SZ,通信设备,0.7826086957,8,10,79201400.61,EXECUTABLE,COMPLETE,-0.155284368
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,002583.SZ,通信设备,0.7826086957,9,10,85122385.48,EXECUTABLE,COMPLETE,-0.05175380234
arm0_baseline,2018-08-27,2018-08-27 15:00:00,2018-08-27 15:00:00,300098.SZ,通信设备,0.7826086957,10,10,98471524.77,EXECUTABLE,COMPLETE,-0.1121154881
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,002016.SZ,房地产开发,0.9444444444,1,10,117467161.3,EXECUTABLE,COMPLETE,-0.07691745603
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,600604.SH,房地产开发,0.9444444444,2,10,83495749.35,EXECUTABLE,COMPLETE,-0.02142215569
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000002.SZ,房地产开发,0.8888888889,3,10,1123690215,EXECUTABLE,COMPLETE,-0.08144994879
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000011.SZ,房地产开发,0.8888888889,4,10,73367497.52,EXECUTABLE,COMPLETE,-0.04729671093
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000014.SZ,房地产开发,0.8888888889,5,10,87991649.83,EXECUTABLE,COMPLETE,-0.02307262869
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000069.SZ,房地产开发,0.8888888889,6,10,159307016.9,EXECUTABLE,COMPLETE,-0.03295509143
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000656.SZ,房地产开发,0.8888888889,7,10,69895728.87,EXECUTABLE,COMPLETE,-0.05814390636
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,000897.SZ,房地产开发,0.8888888889,8,10,75672634.39,EXECUTABLE,COMPLETE,-0.02751976362
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,001979.SZ,房地产开发,0.8888888889,9,10,368117069.5,EXECUTABLE,COMPLETE,-0.0191853581
arm0_baseline,2018-09-03,2018-09-03 15:00:00,2018-09-03 15:00:00,002023.SZ,航空装备Ⅱ,0.8888888889,10,10,332898719.5,EXECUTABLE,COMPLETE,-0.1086482423
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,000407.SZ,燃气Ⅱ,0.7142857143,1,10,74084628.39,EXECUTABLE,COMPLETE,-0.1204085336
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,603080.SH,燃气Ⅱ,0.7142857143,2,10,111335906.1,EXECUTABLE,COMPLETE,-0.01605101316
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,603393.SH,燃气Ⅱ,0.7142857143,3,10,97291045.2,EXECUTABLE,COMPLETE,0.05748664396
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,000011.SZ,房地产开发,0.6111111111,4,10,73175370.6,EXECUTABLE,COMPLETE,-0.2381349417
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,000014.SZ,房地产开发,0.6111111111,5,10,74163784.05,EXECUTABLE,COMPLETE,-0.1137561611
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,000069.SZ,房地产开发,0.6111111111,6,10,148863324.5,EXECUTABLE,COMPLETE,-0.1272438401
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,002016.SZ,房地产开发,0.6111111111,7,10,106835647.4,EXECUTABLE,COMPLETE,-0.03811648651
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,600208.SH,房地产开发,0.6111111111,8,10,57168533.25,EXECUTABLE,COMPLETE,-0.02969544781
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,600383.SH,房地产开发,0.6111111111,9,10,98415943.3,EXECUTABLE,COMPLETE,-0.1221047073
arm0_baseline,2018-09-10,2018-09-10 15:00:00,2018-09-10 15:00:00,600604.SH,房地产开发,0.6111111111,10,10,84446542.5,EXECUTABLE,COMPLETE,-0.2186704286
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,000407.SZ,燃气Ⅱ,0.9166666667,1,10,66593992.25,EXECUTABLE,COMPLETE,-0.2148867883
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,603080.SH,燃气Ⅱ,0.9166666667,2,10,104059843.4,EXECUTABLE,COMPLETE,-0.1048190896
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,000735.SZ,养殖业,0.8571428571,3,10,657942372.6,EXECUTABLE,COMPLETE,-0.00729005565
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,002458.SZ,养殖业,0.8571428571,4,10,118575447.8,EXECUTABLE,COMPLETE,-0.09163048341
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,000593.SZ,燃气Ⅱ,0.8333333333,5,10,79957093.44,EXECUTABLE,COMPLETE,0.1379012376
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,000669.SZ,燃气Ⅱ,0.8333333333,6,10,243186081.4,EXECUTABLE,COMPLETE,0.1510107674
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,002259.SZ,燃气Ⅱ,0.8333333333,7,10,117620221.7,EXECUTABLE,COMPLETE,-0.481975747
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,002267.SZ,燃气Ⅱ,0.8333333333,8,10,53417433.91,EXECUTABLE,COMPLETE,-0.05889009383
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,002700.SZ,燃气Ⅱ,0.8333333333,9,10,215972289.8,EXECUTABLE,COMPLETE,0.0637636292
arm0_baseline,2018-09-17,2018-09-17 15:00:00,2018-09-17 15:00:00,002828.SZ,油服工程,0.8333333333,10,10,104238823.8,EXECUTABLE,COMPLETE,-0.150073187
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,000407.SZ,燃气Ⅱ,0.9166666667,1,10,76006123.49,EXECUTABLE,COMPLETE,-0.2114036569
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,603080.SH,燃气Ⅱ,0.9166666667,2,10,100970853.5,EXECUTABLE,COMPLETE,-0.1879485926
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,002221.SZ,炼化及贸易,0.9,3,10,69126426.11,EXECUTABLE,COMPLETE,-0.07295511134
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,002493.SZ,炼化及贸易,0.9,4,10,102809517.1,EXECUTABLE,COMPLETE,-0.1049091245
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,002023.SZ,航空装备Ⅱ,0.8666666667,5,10,259300626,EXECUTABLE,COMPLETE,-0.2586829855
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,300699.SZ,航空装备Ⅱ,0.8666666667,6,10,79523926.21,EXECUTABLE,COMPLETE,0.01937017287
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,600391.SH,航空装备Ⅱ,0.8666666667,7,10,59223407.15,EXECUTABLE,COMPLETE,-0.2068023374
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,002828.SZ,油服工程,0.8571428571,8,10,100707514.8,EXECUTABLE,COMPLETE,-0.2211666892
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,603619.SH,油服工程,0.8571428571,9,10,89021734.8,EXECUTABLE,COMPLETE,-0.3001996008
arm0_baseline,2018-09-25,2018-09-25 15:00:00,2018-09-25 15:00:00,000593.SZ,燃气Ⅱ,0.8333333333,10,10,97658382.9,NEXT_OPEN_NOT_EXECUTABLE,INCOMPLETE,
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,000831.SZ,小金属,1,1,10,99707086.51,EXECUTABLE,COMPLETE,0.03157969775
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,000960.SZ,小金属,1,2,10,110843177.9,EXECUTABLE,COMPLETE,-0.01930049603
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,000962.SZ,小金属,1,3,10,71432517.66,EXECUTABLE,COMPLETE,-0.09018501459
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,000983.SZ,煤炭开采,1,4,10,101985462.2,EXECUTABLE,COMPLETE,-0.03502490568
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,002128.SZ,煤炭开采,1,5,10,76728708.84,EXECUTABLE,COMPLETE,-0.07366688641
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,002182.SZ,小金属,1,6,10,93738748.84,EXECUTABLE,COMPLETE,-0.003992015968
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,002554.SZ,油服工程,1,7,10,228209854.5,EXECUTABLE,COMPLETE,-0.180067306
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,002828.SZ,油服工程,1,8,10,111082195,EXECUTABLE,COMPLETE,-0.1596371158
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,300164.SZ,油服工程,1,9,10,228840347.9,EXECUTABLE,COMPLETE,-0.1419806221
arm0_baseline,2018-10-09,2018-10-09 15:00:00,2018-10-09 15:00:00,300191.SZ,油服工程,1,10,10,68001612.02,EXECUTABLE,COMPLETE,-0.1520197603
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,000426.SZ,贵金属,0.6,1,10,75575410.72,EXECUTABLE,COMPLETE,0.1739440509
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,000506.SZ,贵金属,0.6,2,10,58724756.82,EXECUTABLE,COMPLETE,0.165201648
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,000975.SZ,贵金属,0.6,3,10,64764667.05,EXECUTABLE,COMPLETE,0.1542522432
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,300139.SZ,贵金属,0.6,4,10,177865265.2,EXECUTABLE,COMPLETE,-0.01974807447
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,600018.SH,航运港口,0.6,5,10,52728494.45,EXECUTABLE,COMPLETE,0.07835510082
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,600751.SH,航运港口,0.6,6,10,82492989.9,EXECUTABLE,COMPLETE,0.0865541644
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,600988.SH,贵金属,0.6,7,10,89527677.65,EXECUTABLE,COMPLETE,-0.008550404911
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,601919.SH,航运港口,0.6,8,10,50423264.05,EXECUTABLE,COMPLETE,0.1314424974
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,000407.SZ,燃气Ⅱ,0.5833333333,9,10,119949087,EXECUTABLE,COMPLETE,-0.0136619964
arm0_baseline,2018-10-16,2018-10-16 15:00:00,2018-10-16 15:00:00,002267.SZ,燃气Ⅱ,0.5833333333,10,10,110439672.7,EXECUTABLE,COMPLETE,0.04286319833
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,002191.SZ,包装印刷,0.8333333333,1,10,77339113.81,EXECUTABLE,COMPLETE,0.08470358553
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,002228.SZ,包装印刷,0.8333333333,2,10,140736336.5,EXECUTABLE,COMPLETE,-0.02340737628
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,002839.SZ,银行Ⅱ,0.8,3,10,103166806.4,EXECUTABLE,COMPLETE,0.2164835378
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,600751.SH,航运港口,0.8,4,10,116308474.3,EXECUTABLE,COMPLETE,0.06026656365
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,601128.SH,银行Ⅱ,0.8,5,10,82895504.25,EXECUTABLE,COMPLETE,0.1057654428
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,601838.SH,银行Ⅱ,0.8,6,10,198876767,EXECUTABLE,COMPLETE,0.05608084193
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,601919.SH,航运港口,0.8,7,10,53180567.5,EXECUTABLE,COMPLETE,0.09998683951
arm0_baseline,2018-10-23,2018-10-23 15:00:00,2018-10-23 15:00:00,601997.SH,银行Ⅱ,0.8,8,10,140683475.2,EXECUTABLE,COMPLETE,0.03584830339
