cohort_id,industry,decision_date,rank_correlation,selection_overlap,changed_fraction,replacements_requested
2018-07-23,航空装备Ⅱ,2018-07-24,0.8461538462,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-07-25,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-07-26,1,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-07-27,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-07-30,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-07-31,0.2351648352,0,1,3
2018-07-23,航空装备Ⅱ,2018-08-01,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-02,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-03,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-06,0.8021978022,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-08-07,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-08,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-09,1,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-08-10,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-13,0.9545454545,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-08-14,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-15,0.8041958042,0.6666666667,0.3333333333,1
2018-07-23,航空装备Ⅱ,2018-08-16,1,1,0,0
2018-07-23,航空装备Ⅱ,2018-08-17,1,1,0,0
2018-07-30,工程机械,2018-07-31,0.8285714286,1,0,0
2018-07-30,工程机械,2018-08-01,1,1,0,0
2018-07-30,工程机械,2018-08-02,1,1,0,0
2018-07-30,工程机械,2018-08-03,1,1,0,0
2018-07-30,工程机械,2018-08-06,1,1,0,0
2018-07-30,工程机械,2018-08-07,0.7714285714,1,0,0
2018-07-30,工程机械,2018-08-08,1,1,0,0
2018-07-30,工程机械,2018-08-09,1,1,0,0
2018-07-30,工程机械,2018-08-10,1,1,0,0
2018-07-30,工程机械,2018-08-13,1,1,0,0
2018-07-30,工程机械,2018-08-14,1,1,0,0
2018-07-30,工程机械,2018-08-15,1,1,0,0
2018-07-30,工程机械,2018-08-16,1,1,0,0
2018-07-30,工程机械,2018-08-17,1,1,0,0
2018-07-30,工程机械,2018-08-20,0.7857142857,0.75,0.25,1
2018-07-30,工程机械,2018-08-21,1,1,0,0
2018-07-30,工程机械,2018-08-22,0.9642857143,1,0,0
2018-07-30,工程机械,2018-08-23,1,1,0,0
2018-07-30,工程机械,2018-08-24,1,1,0,0
2018-07-30,普钢,2018-07-31,1,1,0,0
2018-07-30,普钢,2018-08-01,0.9642857143,1,0,0
2018-07-30,普钢,2018-08-02,1,1,0,0
2018-07-30,普钢,2018-08-03,0.9892857143,1,0,0
2018-07-30,普钢,2018-08-06,1,1,0,0
2018-07-30,普钢,2018-08-07,0.9823529412,0.5,0.5,1
2018-07-30,普钢,2018-08-08,1,1,0,0
2018-07-30,普钢,2018-08-09,1,1,0,0
2018-07-30,普钢,2018-08-10,1,1,0,0
2018-07-30,普钢,2018-08-13,0.9970588235,1,0,0
2018-07-30,普钢,2018-08-14,1,0.5,0.5,1
2018-07-30,普钢,2018-08-15,1,1,0,0
2018-07-30,普钢,2018-08-16,1,1,0,0
2018-07-30,普钢,2018-08-17,1,1,0,0
2018-07-30,普钢,2018-08-20,0.7426470588,1,0,0
2018-07-30,普钢,2018-08-21,0.7647058824,0.5,0.5,1
2018-07-30,普钢,2018-08-22,0.9852941176,1,0,0
2018-07-30,普钢,2018-08-23,1,1,0,0
2018-07-30,普钢,2018-08-24,0.9058823529,1,0,0
2018-07-30,炼化及贸易,2018-07-31,1,1,0,0
2018-07-30,炼化及贸易,2018-08-01,1,1,0,0
2018-07-30,炼化及贸易,2018-08-02,0.9761904762,1,0,0
2018-07-30,炼化及贸易,2018-08-03,1,1,0,0
2018-07-30,炼化及贸易,2018-08-06,0.95,1,0,0
2018-07-30,炼化及贸易,2018-08-07,0.7833333333,0,1,1
2018-07-30,炼化及贸易,2018-08-08,1,1,0,0
2018-07-30,炼化及贸易,2018-08-09,1,1,0,0
2018-07-30,炼化及贸易,2018-08-10,1,1,0,0
2018-07-30,炼化及贸易,2018-08-13,1,1,0,0
2018-07-30,炼化及贸易,2018-08-14,1,1,0,0
2018-07-30,炼化及贸易,2018-08-15,1,1,0,0
2018-07-30,炼化及贸易,2018-08-16,1,1,0,0
2018-07-30,炼化及贸易,2018-08-17,1,1,0,0
2018-07-30,炼化及贸易,2018-08-20,1,1,0,0
2018-07-30,炼化及贸易,2018-08-21,0.9785714286,0,1,1
2018-07-30,炼化及贸易,2018-08-22,1,1,0,0
2018-07-30,炼化及贸易,2018-08-23,0.9107142857,1,0,0
2018-07-30,炼化及贸易,2018-08-24,1,1,0,0
2018-07-30,银行Ⅱ,2018-07-31,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-01,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-02,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-03,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-06,0.9661208357,1,0,0
2018-07-30,银行Ⅱ,2018-08-07,0.9966120836,1,0,0
2018-07-30,银行Ⅱ,2018-08-08,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-09,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-10,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-13,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-14,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-15,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-16,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-17,0.6482213439,0,1,1
2018-07-30,银行Ⅱ,2018-08-20,0.9268568571,0,1,1
2018-07-30,银行Ⅱ,2018-08-21,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-22,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-23,1,1,0,0
2018-07-30,银行Ⅱ,2018-08-24,0.7156170859,0,1,1
2018-07-30,非白酒,2018-07-31,1,1,0,0
2018-07-30,非白酒,2018-08-01,1,1,0,0
2018-07-30,非白酒,2018-08-02,1,1,0,0
2018-07-30,非白酒,2018-08-03,1,1,0,0
2018-07-30,非白酒,2018-08-06,1,1,0,0
2018-07-30,非白酒,2018-08-07,1,1,0,0
2018-07-30,非白酒,2018-08-08,1,1,0,0
2018-07-30,非白酒,2018-08-09,0.9428571429,0.5,0.5,1
2018-07-30,非白酒,2018-08-10,1,1,0,0
2018-07-30,非白酒,2018-08-13,1,1,0,0
