selection_hash,closing_arm,symbol,trade_date,field,expected_value,observed_value,exact_match
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,coordinate_close_t,0.79626972740315738,0.79626972740315738,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,coordinate_close_t1,0.81922525107604116,0.81922525107604116,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,coordinate_close_t3,0.81779053084648601,0.81779053084648601,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,coordinate_close_t5,0.81635581061693085,0.81635581061693085,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_low_t1,0.80057388809182306,0.80057388809182306,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_low_t2,0.80344332855093348,0.80344332855093348,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_low_t3,0.79770444763271264,0.79770444763271264,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_low_t4,0.81492109038737548,0.81492109038737548,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_low_t5,0.80918220946915453,0.80918220946915453,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_open_t1,0.80487804878048885,0.80487804878048885,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_open_t2,0.824964131994262,0.824964131994262,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_open_t3,0.81061692969870991,0.81061692969870991,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_open_t4,0.81779053084648601,0.81779053084648601,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,mapped_open_t5,0.83357245337159358,0.83357245337159358,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,post_trough_recovery_h1,0.023030247274699264,0.023030247274699264,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,post_trough_recovery_h3,0.024868066578013642,0.024868066578013642,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,post_trough_recovery_h5,0.023112139875748745,0.023112139875748745,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,preopen_path_to_trough_h1,0.010752791776261915,0.010752791776261915,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,preopen_path_to_trough_h3,0.017857617400006687,0.017857617400006687,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,preopen_path_to_trough_h5,0.017857617400006687,0.017857617400006687,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,resistance_high20,0.79483500717360223,0.79483500717360223,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,terminal_log_return_h1,0.028421095909575637,0.028421095909575637,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,terminal_log_return_h3,0.026668247082161489,0.026668247082161489,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,terminal_log_return_h5,0.024912320379896592,0.024912320379896592,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_offset_h1,1,1,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_offset_h3,3,3,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_offset_h5,3,3,True
