audit_type,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,829,-0.10515219738016475,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,829,-0.065612298432163665,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,829,-0.091788535155602397,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,829,-0.098898633687193815,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,829,-0.07253290359030036,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,829,-0.10142535759255988,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,829,-0.10916505455168866,,,
partial_rank,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,722,-0.12509955093544867,,,
partial_rank,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,722,-0.12794753731683775,,,
partial_rank,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,721,-0.11692102322499394,,,
partial_rank,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,722,-0.11539842797890204,,,
partial_rank,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,722,-0.12148216099483562,,,
partial_rank,leave_one_year_out,2020,SH_A,NON_ST,pit,3,722,-0.12276878967721132,,,
partial_rank,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,722,-0.098017645839484968,,,
partial_rank,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,722,-0.10140330371733357,,,
partial_rank,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,586,-0.16979036140170092,,,
partial_rank,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,586,-0.17153659799907423,,,
partial_rank,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,586,-0.1254001407145621,,,
partial_rank,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,586,-0.12431519889220478,,,
partial_rank,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,586,-0.13250592742915931,,,
partial_rank,leave_one_year_out,2021,SH_A,NON_ST,pit,3,586,-0.13325844590792837,,,
partial_rank,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,586,-0.13832837620279431,,,
partial_rank,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,586,-0.13917275110430113,,,
partial_rank,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,587,-0.18129022943522421,,,
partial_rank,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,587,-0.18229345931532762,,,
partial_rank,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,586,-0.12557374282843248,,,
partial_rank,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,587,-0.12692926021187875,,,
partial_rank,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,587,-0.17581997652384909,,,
partial_rank,leave_one_year_out,2022,SH_A,NON_ST,pit,3,587,-0.17633326847926564,,,
partial_rank,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,587,-0.13491950782956721,,,
partial_rank,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,587,-0.13963033556822263,,,
partial_rank,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,592,-0.039165800036305612,,,
partial_rank,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,592,-0.040977384733689913,,,
partial_rank,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,591,-0.090133302555681014,,,
partial_rank,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,592,-0.088316766521424506,,,
partial_rank,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,592,-0.032112224771393048,,,
partial_rank,leave_one_year_out,2023,SH_A,NON_ST,pit,3,592,-0.029325861595537149,,,
partial_rank,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,592,-0.030426030629409944,,,
partial_rank,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,592,-0.034369616325332454,,,
partial_rank,phase,0,ALL_A,ALL_STATUS,pit,3,276,-0.13296179259658591,,,
partial_rank,phase,0,ALL_A,ALL_STATUS,pit,5,166,-0.10868924828689946,,,
partial_rank,phase,0,ALL_A,NON_ST,pit,3,276,-0.1327170709970866,,,
partial_rank,phase,0,ALL_A,NON_ST,pit,5,166,-0.11717298705864664,,,
partial_rank,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,276,-0.16930805625735612,,,
partial_rank,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.15229374597120302,,,
partial_rank,phase,0,CHINEXT_BOARD,NON_ST,pit,3,276,-0.17286017150044897,,,
partial_rank,phase,0,CHINEXT_BOARD,NON_ST,pit,5,166,-0.15437575633943426,,,
partial_rank,phase,0,SH_A,ALL_STATUS,pit,3,276,-0.082219257327237116,,,
partial_rank,phase,0,SH_A,ALL_STATUS,pit,5,166,-0.11756599580583722,,,
partial_rank,phase,0,SH_A,NON_ST,pit,3,276,-0.079904087635651613,,,
partial_rank,phase,0,SH_A,NON_ST,pit,5,166,-0.12001043932316637,,,
partial_rank,phase,0,SZ_A,ALL_STATUS,pit,3,276,-0.12688072976299927,,,
partial_rank,phase,0,SZ_A,ALL_STATUS,pit,5,166,-0.11625872379479486,,,
partial_rank,phase,0,SZ_A,NON_ST,pit,3,276,-0.13337501452062861,,,
partial_rank,phase,0,SZ_A,NON_ST,pit,5,166,-0.1299658231991983,,,
partial_rank,phase,1,ALL_A,ALL_STATUS,pit,3,277,-0.15650829101940922,,,
partial_rank,phase,1,ALL_A,ALL_STATUS,pit,5,166,-0.23788824847994505,,,
partial_rank,phase,1,ALL_A,NON_ST,pit,3,277,-0.16116928292630989,,,
partial_rank,phase,1,ALL_A,NON_ST,pit,5,166,-0.24558037783098816,,,
partial_rank,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,3,277,-0.033623861070814914,,,
partial_rank,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,5,165,-0.2268686112754183,,,
partial_rank,phase,1,CHINEXT_BOARD,NON_ST,pit,3,277,-0.029729233934693986,,,
partial_rank,phase,1,CHINEXT_BOARD,NON_ST,pit,5,166,-0.22017805362538728,,,
partial_rank,phase,1,SH_A,ALL_STATUS,pit,3,277,-0.13675889373410482,,,
partial_rank,phase,1,SH_A,ALL_STATUS,pit,5,166,-0.21302998649246593,,,
partial_rank,phase,1,SH_A,NON_ST,pit,3,277,-0.13892987494127676,,,
partial_rank,phase,1,SH_A,NON_ST,pit,5,166,-0.21187968715342095,,,
partial_rank,phase,1,SZ_A,ALL_STATUS,pit,3,277,-0.10642934545949893,,,
partial_rank,phase,1,SZ_A,ALL_STATUS,pit,5,166,-0.20513432913620722,,,
partial_rank,phase,1,SZ_A,NON_ST,pit,3,277,-0.10254711161024964,,,
partial_rank,phase,1,SZ_A,NON_ST,pit,5,166,-0.20344991077398289,,,
partial_rank,phase,2,ALL_A,ALL_STATUS,pit,3,276,-0.068821664195864371,,,
partial_rank,phase,2,ALL_A,ALL_STATUS,pit,5,165,-0.055368707202373572,,,
partial_rank,phase,2,ALL_A,NON_ST,pit,3,276,-0.072792681280627811,,,
partial_rank,phase,2,ALL_A,NON_ST,pit,5,165,-0.052533915857404537,,,
partial_rank,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,3,275,-0.11504275825203404,,,
partial_rank,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,5,165,-0.047741580437602571,,,
partial_rank,phase,2,CHINEXT_BOARD,NON_ST,pit,3,276,-0.11522379439687767,,,
partial_rank,phase,2,CHINEXT_BOARD,NON_ST,pit,5,165,-0.047571507430228629,,,
partial_rank,phase,2,SH_A,ALL_STATUS,pit,3,276,-0.10762706318714176,,,
partial_rank,phase,2,SH_A,ALL_STATUS,pit,5,165,-0.038134136962272594,,,
partial_rank,phase,2,SH_A,NON_ST,pit,3,276,-0.10765097365348125,,,
partial_rank,phase,2,SH_A,NON_ST,pit,5,165,-0.037415628746656382,,,
partial_rank,phase,2,SZ_A,ALL_STATUS,pit,3,276,-0.044794521034051175,,,
partial_rank,phase,2,SZ_A,ALL_STATUS,pit,5,165,-0.017170521188616217,,,
partial_rank,phase,2,SZ_A,NON_ST,pit,3,276,-0.050703961134388451,,,
partial_rank,phase,2,SZ_A,NON_ST,pit,5,165,-0.021126271648424028,,,
partial_rank,phase,3,ALL_A,ALL_STATUS,pit,5,166,-0.061348262904373105,,,
partial_rank,phase,3,ALL_A,NON_ST,pit,5,166,-0.059603394991664463,,,
partial_rank,phase,3,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.15567424021184159,,,
partial_rank,phase,3,CHINEXT_BOARD,NON_ST,pit,5,166,-0.15222183358115204,,,
partial_rank,phase,3,SH_A,ALL_STATUS,pit,5,166,-0.016391040451332002,,,
partial_rank,phase,3,SH_A,NON_ST,pit,5,166,-0.017960547331013533,,,
partial_rank,phase,3,SZ_A,ALL_STATUS,pit,5,166,-0.068844577609956242,,,
partial_rank,phase,3,SZ_A,NON_ST,pit,5,166,-0.064229130107335511,,,
partial_rank,phase,4,ALL_A,ALL_STATUS,pit,5,166,-0.13101054766999415,,,
partial_rank,phase,4,ALL_A,NON_ST,pit,5,166,-0.13902865610156914,,,
partial_rank,phase,4,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.11574129515258297,,,
partial_rank,phase,4,CHINEXT_BOARD,NON_ST,pit,5,166,-0.1090045469636368,,,
partial_rank,phase,4,SH_A,ALL_STATUS,pit,5,166,-0.096053761606002347,,,
partial_rank,phase,4,SH_A,NON_ST,pit,5,166,-0.091755306392921246,,,
partial_rank,phase,4,SZ_A,ALL_STATUS,pit,5,166,-0.098884775402156649,,,
partial_rank,phase,4,SZ_A,NON_ST,pit,5,166,-0.10691594457577834,,,
partial_rank,year,2020,ALL_A,ALL_STATUS,pit,3,107,-0.26256316161518733,,,
partial_rank,year,2020,ALL_A,NON_ST,pit,3,107,-0.25677500327344865,,,
partial_rank,year,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.11589828853462182,,,
partial_rank,year,2020,CHINEXT_BOARD,NON_ST,pit,3,107,-0.11785463610969329,,,
partial_rank,year,2020,SH_A,ALL_STATUS,pit,3,107,-0.12335513429097036,,,
partial_rank,year,2020,SH_A,NON_ST,pit,3,107,-0.11225870032882845,,,
partial_rank,year,2020,SZ_A,ALL_STATUS,pit,3,107,-0.18979791681634448,,,
partial_rank,year,2020,SZ_A,NON_ST,pit,3,107,-0.18440290116721428,,,
partial_rank,year,2021,ALL_A,ALL_STATUS,pit,3,243,-0.022956306719359547,,,
partial_rank,year,2021,ALL_A,NON_ST,pit,3,243,-0.026816395580522356,,,
partial_rank,year,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,242,-0.010003554466622216,,,
partial_rank,year,2021,CHINEXT_BOARD,NON_ST,pit,3,243,-0.0048205035197972351,,,
partial_rank,year,2021,SH_A,ALL_STATUS,pit,3,243,-0.07584582603508043,,,
partial_rank,year,2021,SH_A,NON_ST,pit,3,243,-0.07711201717018272,,,
partial_rank,year,2021,SZ_A,ALL_STATUS,pit,3,243,0.0022604670633249563,,,
partial_rank,year,2021,SZ_A,NON_ST,pit,3,243,-0.010014949881491738,,,
partial_rank,year,2022,ALL_A,ALL_STATUS,pit,3,242,-0.071895983756562601,,,
partial_rank,year,2022,ALL_A,NON_ST,pit,3,242,-0.078731576449493898,,,
partial_rank,year,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,242,-0.074349196932276124,,,
partial_rank,year,2022,CHINEXT_BOARD,NON_ST,pit,3,242,-0.07155442041580197,,,
partial_rank,year,2022,SH_A,ALL_STATUS,pit,3,242,-0.095942020144369242,,,
partial_rank,year,2022,SH_A,NON_ST,pit,3,242,-0.10013504980696339,,,
partial_rank,year,2022,SZ_A,ALL_STATUS,pit,3,242,-0.040286054189865049,,,
partial_rank,year,2022,SZ_A,NON_ST,pit,3,242,-0.045380127402084351,,,
partial_rank,year,2023,ALL_A,ALL_STATUS,pit,3,237,-0.27283147748941222,,,
partial_rank,year,2023,ALL_A,NON_ST,pit,3,237,-0.27052072306349123,,,
partial_rank,year,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,237,-0.22077266279388352,,,
partial_rank,year,2023,CHINEXT_BOARD,NON_ST,pit,3,237,-0.22052422978274694,,,
partial_rank,year,2023,SH_A,ALL_STATUS,pit,3,237,-0.28650356780296116,,,
partial_rank,year,2023,SH_A,NON_ST,pit,3,237,-0.29283792063961722,,,
partial_rank,year,2023,SZ_A,ALL_STATUS,pit,3,237,-0.20089235719947796,,,
partial_rank,year,2023,SZ_A,NON_ST,pit,3,237,-0.19887308956050406,,,
tail_residual_gap,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,829,,176,161,-0.0060554411473228986
tail_residual_gap,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,829,,178,160,-0.0056586546644051498
tail_residual_gap,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,3,828,,160,213,-0.0056135612020186913
tail_residual_gap,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,829,,160,216,-0.0050684241884505774
tail_residual_gap,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,829,,186,144,-0.0049838293803631459
tail_residual_gap,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,829,,180,144,-0.004691458544593595
tail_residual_gap,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,829,,163,181,-0.0045588321577244989
tail_residual_gap,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,829,,167,183,-0.0049373042993393155
