trade_date,family,nav,cash,positions,industries,industry_hhi
2018-11-30,champion_diffusion_q1_top2,9380859.39775,-2.32830643654e-10,8,5,0.215515123859
2018-12-03,champion_diffusion_q1_top2,9673817.55781,-2.32830643654e-10,8,5,0.216168553597
2018-12-04,champion_diffusion_q1_top2,9727148.75665,-2.32830643654e-10,8,5,0.216131775773
2018-12-05,champion_diffusion_q1_top2,9636043.84465,2.32830643654e-10,8,6,0.185183856353
2018-12-06,champion_diffusion_q1_top2,9458522.9773,2.32830643654e-10,8,6,0.186529010753
2018-12-07,champion_diffusion_q1_top2,9504695.97735,2.32830643654e-10,8,6,0.185860701419
2018-12-10,champion_diffusion_q1_top2,9510185.74707,2.32830643654e-10,8,6,0.185812628092
2018-12-11,champion_diffusion_q1_top2,9619346.33395,2.32830643654e-10,8,6,0.18527697949
2018-12-12,champion_diffusion_q1_top2,9608855.84102,48600.5919398,8,6,0.220936942794
2018-12-13,champion_diffusion_q1_top2,9763670.52917,48600.5919398,8,6,0.221626512368
2018-12-14,champion_diffusion_q1_top2,9559243.23566,48600.5919398,8,6,0.221352394904
2018-12-17,champion_diffusion_q1_top2,9588196.42972,48600.5919398,8,6,0.223115219797
2018-12-18,champion_diffusion_q1_top2,9444944.20366,48600.5919398,8,6,0.221566714353
2018-12-19,champion_diffusion_q1_top2,9332659.74188,-2.32830643654e-10,8,5,0.253849002452
2018-12-20,champion_diffusion_q1_top2,9359128.93333,-2.32830643654e-10,8,5,0.252100706387
2018-12-21,champion_diffusion_q1_top2,9203221.80221,-2.32830643654e-10,8,5,0.252430851117
2018-12-24,champion_diffusion_q1_top2,9334135.22713,-2.32830643654e-10,8,5,0.254024044982
2018-12-25,champion_diffusion_q1_top2,9238850.09727,-2.32830643654e-10,8,5,0.25262250484
2018-12-26,champion_diffusion_q1_top2,9233372.13388,67911.3317293,8,6,0.186664601691
2018-12-27,champion_diffusion_q1_top2,9088325.06798,67911.3317293,8,6,0.186704878742
2018-12-28,champion_diffusion_q1_top2,9101447.49948,67911.3317293,8,6,0.18709395235
2019-01-02,champion_diffusion_q1_top2,9006581.58023,67911.3317293,8,6,0.187525384635
2019-01-03,champion_diffusion_q1_top2,8977061.4474,67911.3317293,8,6,0.18592430695
2019-01-04,champion_diffusion_q1_top2,9205084.96565,157156.370966,8,5,0.219113600138
2019-01-07,champion_diffusion_q1_top2,9410209.41302,157156.370966,8,5,0.220100505436
2019-01-08,champion_diffusion_q1_top2,9382085.2904,157156.370966,8,5,0.220679449031
2019-01-09,champion_diffusion_q1_top2,9411562.49474,157156.370966,8,5,0.220623955039
2019-01-10,champion_diffusion_q1_top2,9331643.72725,157156.370966,8,5,0.220505556929
2019-01-11,champion_diffusion_q1_top2,9572676.31894,55568.4400472,8,4,0.250226063202
2019-01-14,champion_diffusion_q1_top2,9589988.73423,55568.4400472,8,4,0.250156689522
2019-01-15,champion_diffusion_q1_top2,9936194.50424,55568.4400472,8,4,0.250352951106
2019-01-16,champion_diffusion_q1_top2,9733231.47988,55568.4400472,8,4,0.250499385401
2019-01-17,champion_diffusion_q1_top2,9561473.82626,55568.4400472,8,4,0.250394033293
2019-01-18,champion_diffusion_q1_top2,9630098.56688,70847.4731068,8,3,0.384248211724
2019-01-21,champion_diffusion_q1_top2,9716371.82442,70847.4731068,8,3,0.383330845577
2019-01-22,champion_diffusion_q1_top2,9759068.96126,70847.4731068,8,3,0.387108978809
2019-01-23,champion_diffusion_q1_top2,9937757.07448,70847.4731068,8,3,0.390426528817
2019-01-24,champion_diffusion_q1_top2,10070916.6358,70847.4731068,8,3,0.39287076398
2019-01-25,champion_diffusion_q1_top2,10164195.406,0,8,3,0.486487394631
2019-01-28,champion_diffusion_q1_top2,10290901.6216,0,8,3,0.492955028878
2019-01-29,champion_diffusion_q1_top2,10204992.3515,0,8,3,0.49636019247
2019-01-30,champion_diffusion_q1_top2,10103707.5939,0,8,3,0.49521368077
2019-01-31,champion_diffusion_q1_top2,10189310.9213,0,8,3,0.498427230578
2019-02-01,champion_diffusion_q1_top2,10261580.993,355616.884257,8,4,0.284771666945
2019-02-11,champion_diffusion_q1_top2,10650890.7663,355616.884257,8,4,0.287986175145
2019-02-12,champion_diffusion_q1_top2,10746675.1344,355616.884257,8,4,0.287249387624
2019-02-13,champion_diffusion_q1_top2,10929745.7076,355616.884257,8,4,0.284730747581
2019-02-14,champion_diffusion_q1_top2,10957034.9992,355616.884257,8,4,0.283089113304
2019-02-15,champion_diffusion_q1_top2,11011718.9924,47451.1107958,8,5,0.253571353834
2019-02-18,champion_diffusion_q1_top2,11489818.7175,47451.1107958,8,5,0.254679135172
2019-02-19,champion_diffusion_q1_top2,11502147.063,47451.1107958,8,5,0.252323522324
2019-02-20,champion_diffusion_q1_top2,11679962.5603,47451.1107958,8,5,0.258142227878
2019-02-21,champion_diffusion_q1_top2,11786522.2488,47451.1107958,8,5,0.258387382292
2019-02-22,champion_diffusion_q1_top2,11917366.2665,236026.7914,8,5,0.217675061382
2019-02-25,champion_diffusion_q1_top2,12389176.5114,236026.7914,8,5,0.219978295049
2019-02-26,champion_diffusion_q1_top2,12416977.6774,236026.7914,8,5,0.217368394627
2019-02-27,champion_diffusion_q1_top2,12260032.0008,236026.7914,8,5,0.21797587586
2019-02-28,champion_diffusion_q1_top2,12187868.4274,236026.7914,8,5,0.220302206933
2019-03-01,champion_diffusion_q1_top2,12323060.8682,131677.745182,8,4,0.250126654542
2019-03-04,champion_diffusion_q1_top2,12492802.0313,131677.745182,8,4,0.250101848118
2019-03-05,champion_diffusion_q1_top2,12607636.586,131677.745182,8,4,0.250221833917
2019-03-06,champion_diffusion_q1_top2,12731029.7898,131677.745182,8,4,0.25017502926
2019-03-07,champion_diffusion_q1_top2,12610302.421,131677.745182,8,4,0.250183303827
2019-03-08,champion_diffusion_q1_top2,12037888.6723,96315.5576076,8,4,0.282866510915
2019-03-11,champion_diffusion_q1_top2,12156407.3345,96315.5576076,8,4,0.281246342918
2019-03-12,champion_diffusion_q1_top2,12224108.213,96315.5576076,8,4,0.280117390495
2019-03-13,champion_diffusion_q1_top2,12193076.7894,96315.5576076,8,4,0.281639389815
