audit_type,scope,scope_value,market_view,denominator,horizon,closing_arm,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,block,B,SH_A,NON_ST,3,,722,-0.033652650147588503,,,
partial_rank,block,B,SZ_A,ALL_STATUS,3,,722,-0.062421993113349228,,,
partial_rank,block,B,SZ_A,NON_ST,3,,722,-0.065223756976041117,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,3,,829,-0.052111307449352155,,,
partial_rank,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,5,,829,-0.035934730869761365,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,3,,829,-0.052934717687312921,,,
partial_rank,cell,ALL_A:NON_ST,ALL_A,NON_ST,5,,829,-0.037649835380841934,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,3,,826,-0.078710357939184947,,,
partial_rank,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,5,,826,-0.073327706937405951,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,3,,827,-0.073696724870269556,,,
partial_rank,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,5,,827,-0.066411552580814964,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,3,,829,-0.0096314410619378413,,,
partial_rank,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,5,,829,0.0072632319068596041,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,3,,829,-0.0088683190579072375,,,
partial_rank,cell,SH_A:NON_ST,SH_A,NON_ST,5,,829,0.0092055117686911554,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,3,,829,-0.055768517989360569,,,
partial_rank,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,5,,829,-0.042662895012246058,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,3,,829,-0.056997443428350045,,,
partial_rank,cell,SZ_A:NON_ST,SZ_A,NON_ST,5,,829,-0.044577180644605467,,,
partial_rank,leave_one_year_out,2020,ALL_A,ALL_STATUS,3,,722,-0.06289486040732252,,,
partial_rank,leave_one_year_out,2020,ALL_A,NON_ST,3,,722,-0.066002362205203433,,,
partial_rank,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,3,,719,-0.080332159904697151,,,
partial_rank,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,3,,720,-0.076249540919613959,,,
partial_rank,leave_one_year_out,2020,SH_A,ALL_STATUS,3,,722,-0.030692703145139357,,,
partial_rank,leave_one_year_out,2020,SH_A,NON_ST,3,,722,-0.033652650147588503,,,
partial_rank,leave_one_year_out,2020,SZ_A,ALL_STATUS,3,,722,-0.062421993113349228,,,
partial_rank,leave_one_year_out,2020,SZ_A,NON_ST,3,,722,-0.065223756976041117,,,
partial_rank,leave_one_year_out,2021,ALL_A,ALL_STATUS,3,,586,-0.10817863313132986,,,
partial_rank,leave_one_year_out,2021,ALL_A,NON_ST,3,,586,-0.10797594032377837,,,
partial_rank,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,3,,586,-0.10700077984629784,,,
partial_rank,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,3,,586,-0.099584938704261203,,,
partial_rank,leave_one_year_out,2021,SH_A,ALL_STATUS,3,,586,-0.045663445395880985,,,
partial_rank,leave_one_year_out,2021,SH_A,NON_ST,3,,586,-0.04529449599810282,,,
partial_rank,leave_one_year_out,2021,SZ_A,ALL_STATUS,3,,586,-0.10460856337108471,,,
partial_rank,leave_one_year_out,2021,SZ_A,NON_ST,3,,586,-0.1032574810217446,,,
partial_rank,leave_one_year_out,2022,ALL_A,ALL_STATUS,3,,587,-0.081306814842509609,,,
partial_rank,leave_one_year_out,2022,ALL_A,NON_ST,3,,587,-0.077228133198308305,,,
partial_rank,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,3,,584,-0.061490941730279004,,,
partial_rank,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,3,,585,-0.058537394231141064,,,
partial_rank,leave_one_year_out,2022,SH_A,ALL_STATUS,3,,587,-0.062249810449407333,,,
partial_rank,leave_one_year_out,2022,SH_A,NON_ST,3,,587,-0.057141404539990795,,,
partial_rank,leave_one_year_out,2022,SZ_A,ALL_STATUS,3,,587,-0.04917249949286337,,,
partial_rank,leave_one_year_out,2022,SZ_A,NON_ST,3,,587,-0.048282958258715467,,,
partial_rank,leave_one_year_out,2023,ALL_A,ALL_STATUS,3,,592,0.011105982127582875,,,
partial_rank,leave_one_year_out,2023,ALL_A,NON_ST,3,,592,0.011025407043263054,,,
partial_rank,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,3,,589,-0.057279144474582738,,,
partial_rank,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,3,,590,-0.051743219893094931,,,
partial_rank,leave_one_year_out,2023,SH_A,ALL_STATUS,3,,592,0.05037757071146854,,,
partial_rank,leave_one_year_out,2023,SH_A,NON_ST,3,,592,0.052890284925991321,,,
partial_rank,leave_one_year_out,2023,SZ_A,ALL_STATUS,3,,592,-0.019476858826287361,,,
partial_rank,leave_one_year_out,2023,SZ_A,NON_ST,3,,592,-0.02075550959078826,,,
partial_rank,phase,0,ALL_A,ALL_STATUS,3,,276,-0.09456072393833298,,,
partial_rank,phase,0,ALL_A,ALL_STATUS,5,,166,0.025929334982738896,,,
partial_rank,phase,0,ALL_A,NON_ST,3,,276,-0.096139037457880272,,,
partial_rank,phase,0,ALL_A,NON_ST,5,,166,0.021218274818466065,,,
partial_rank,phase,0,CHINEXT_BOARD,ALL_STATUS,3,,275,-0.14362781865069921,,,
partial_rank,phase,0,CHINEXT_BOARD,ALL_STATUS,5,,166,-0.027546012478667187,,,
partial_rank,phase,0,CHINEXT_BOARD,NON_ST,3,,275,-0.1394712564933866,,,
partial_rank,phase,0,CHINEXT_BOARD,NON_ST,5,,166,-0.017309359713173302,,,
partial_rank,phase,0,SH_A,ALL_STATUS,3,,276,-0.034781301247001684,,,
partial_rank,phase,0,SH_A,ALL_STATUS,5,,166,0.050207933021674207,,,
partial_rank,phase,0,SH_A,NON_ST,3,,276,-0.030745312704288645,,,
partial_rank,phase,0,SH_A,NON_ST,5,,166,0.048350900875103096,,,
partial_rank,phase,0,SZ_A,ALL_STATUS,3,,276,-0.064862326826114161,,,
partial_rank,phase,0,SZ_A,ALL_STATUS,5,,166,-0.0014007302450829392,,,
partial_rank,phase,0,SZ_A,NON_ST,3,,276,-0.067705613586129587,,,
partial_rank,phase,0,SZ_A,NON_ST,5,,166,0.0028640437706644664,,,
partial_rank,phase,1,ALL_A,ALL_STATUS,3,,277,-0.053030934928795709,,,
partial_rank,phase,1,ALL_A,ALL_STATUS,5,,166,-0.12081446799816126,,,
partial_rank,phase,1,ALL_A,NON_ST,3,,277,-0.06159654097734981,,,
partial_rank,phase,1,ALL_A,NON_ST,5,,166,-0.12844902261899843,,,
partial_rank,phase,1,CHINEXT_BOARD,ALL_STATUS,3,,277,0.011510088441316391,,,
partial_rank,phase,1,CHINEXT_BOARD,ALL_STATUS,5,,164,-0.2444704998498724,,,
partial_rank,phase,1,CHINEXT_BOARD,NON_ST,3,,277,0.018883630064941058,,,
partial_rank,phase,1,CHINEXT_BOARD,NON_ST,5,,165,-0.22853872546833956,,,
partial_rank,phase,1,SH_A,ALL_STATUS,3,,277,-0.012361233263975112,,,
partial_rank,phase,1,SH_A,ALL_STATUS,5,,166,-0.1305886335092637,,,
partial_rank,phase,1,SH_A,NON_ST,3,,277,-0.022070074406117895,,,
partial_rank,phase,1,SH_A,NON_ST,5,,166,-0.13058314959599873,,,
partial_rank,phase,1,SZ_A,ALL_STATUS,3,,277,-0.063547403712809328,,,
partial_rank,phase,1,SZ_A,ALL_STATUS,5,,166,-0.13476275396601248,,,
partial_rank,phase,1,SZ_A,NON_ST,3,,277,-0.065684323899453778,,,
partial_rank,phase,1,SZ_A,NON_ST,5,,166,-0.12599743721119164,,,
partial_rank,phase,2,ALL_A,ALL_STATUS,3,,276,0.018071396864679758,,,
partial_rank,phase,2,ALL_A,ALL_STATUS,5,,165,-0.066600613538342582,,,
partial_rank,phase,2,ALL_A,NON_ST,3,,276,0.023169459615659565,,,
partial_rank,phase,2,ALL_A,NON_ST,5,,165,-0.055988041367793173,,,
partial_rank,phase,2,CHINEXT_BOARD,ALL_STATUS,3,,274,-0.088278629136720313,,,
partial_rank,phase,2,CHINEXT_BOARD,ALL_STATUS,5,,164,-0.11349617198870303,,,
partial_rank,phase,2,CHINEXT_BOARD,NON_ST,3,,275,-0.085650810316105858,,,
partial_rank,phase,2,CHINEXT_BOARD,NON_ST,5,,164,-0.11239833248951692,,,
partial_rank,phase,2,SH_A,ALL_STATUS,3,,276,0.032568693213907672,,,
partial_rank,phase,2,SH_A,ALL_STATUS,5,,165,0.0018473633032229557,,,
partial_rank,phase,2,SH_A,NON_ST,3,,276,0.036222637389170857,,,
partial_rank,phase,2,SH_A,NON_ST,5,,165,0.012943063517056444,,,
partial_rank,phase,2,SZ_A,ALL_STATUS,3,,276,-0.01825799828696905,,,
partial_rank,phase,2,SZ_A,ALL_STATUS,5,,165,-0.056963978755311055,,,
partial_rank,phase,2,SZ_A,NON_ST,3,,276,-0.018576431691878333,,,
partial_rank,phase,2,SZ_A,NON_ST,5,,165,-0.054543148109976472,,,
partial_rank,phase,3,ALL_A,ALL_STATUS,5,,166,0.079647544152770075,,,
partial_rank,phase,3,ALL_A,NON_ST,5,,166,0.072648343187869849,,,
partial_rank,phase,3,CHINEXT_BOARD,ALL_STATUS,5,,166,0.052909048109003959,,,
partial_rank,phase,3,CHINEXT_BOARD,NON_ST,5,,166,0.055819633456207295,,,
partial_rank,phase,3,SH_A,ALL_STATUS,5,,166,0.11491453748211534,,,
partial_rank,phase,3,SH_A,NON_ST,5,,166,0.12037356224723006,,,
partial_rank,phase,3,SZ_A,ALL_STATUS,5,,166,0.048268109189775185,,,
partial_rank,phase,3,SZ_A,NON_ST,5,,166,0.043866478262634422,,,
partial_rank,phase,4,ALL_A,ALL_STATUS,5,,166,-0.078307360900097739,,,
partial_rank,phase,4,ALL_A,NON_ST,5,,166,-0.081251428251791227,,,
partial_rank,phase,4,CHINEXT_BOARD,ALL_STATUS,5,,166,-0.02039316601785281,,,
partial_rank,phase,4,CHINEXT_BOARD,NON_ST,5,,166,-0.012843255670596522,,,
partial_rank,phase,4,SH_A,ALL_STATUS,5,,166,0.0025136977563486556,,,
partial_rank,phase,4,SH_A,NON_ST,5,,166,0.0064747548601144242,,,
partial_rank,phase,4,SZ_A,ALL_STATUS,5,,166,-0.074441632852126349,,,
partial_rank,phase,4,SZ_A,NON_ST,5,,166,-0.077944516640797476,,,
partial_rank,year,2020,ALL_A,ALL_STATUS,3,,107,-0.0064270942081106931,,,
partial_rank,year,2020,ALL_A,NON_ST,3,,107,0.023612168780532107,,,
partial_rank,year,2020,CHINEXT_BOARD,ALL_STATUS,3,,107,-0.022474494985046944,,,
partial_rank,year,2020,CHINEXT_BOARD,NON_ST,3,,107,-0.01958399469501863,,,
partial_rank,year,2020,SH_A,ALL_STATUS,3,,107,0.13010826018098393,,,
partial_rank,year,2020,SH_A,NON_ST,3,,107,0.15702052127621052,,,
partial_rank,year,2020,SZ_A,ALL_STATUS,3,,107,-0.0095317402714136506,,,
partial_rank,year,2020,SZ_A,NON_ST,3,,107,0.020816242584201262,,,
partial_rank,year,2021,ALL_A,ALL_STATUS,3,,243,0.025992243663389161,,,
partial_rank,year,2021,ALL_A,NON_ST,3,,243,0.026899659382829611,,,
partial_rank,year,2021,CHINEXT_BOARD,ALL_STATUS,3,,240,0.064994582280488822,,,
partial_rank,year,2021,CHINEXT_BOARD,NON_ST,3,,241,0.064009066440694054,,,
partial_rank,year,2021,SH_A,ALL_STATUS,3,,243,-0.021275619336284017,,,
partial_rank,year,2021,SH_A,NON_ST,3,,243,-0.020718553918181726,,,
partial_rank,year,2021,SZ_A,ALL_STATUS,3,,243,0.082229438372977234,,,
partial_rank,year,2021,SZ_A,NON_ST,3,,243,0.06809338089876403,,,
partial_rank,year,2022,ALL_A,ALL_STATUS,3,,242,-0.1104088602045083,,,
partial_rank,year,2022,ALL_A,NON_ST,3,,242,-0.11583386540441236,,,
partial_rank,year,2022,CHINEXT_BOARD,ALL_STATUS,3,,242,-0.1232356469226185,,,
partial_rank,year,2022,CHINEXT_BOARD,NON_ST,3,,242,-0.1169342508443549,,,
partial_rank,year,2022,SH_A,ALL_STATUS,3,,242,-0.077430537928414339,,,
partial_rank,year,2022,SH_A,NON_ST,3,,242,-0.087127650365317125,,,
partial_rank,year,2022,SZ_A,ALL_STATUS,3,,242,-0.11873851589142066,,,
partial_rank,year,2022,SZ_A,NON_ST,3,,242,-0.12368458277520433,,,
partial_rank,year,2023,ALL_A,ALL_STATUS,3,,237,-0.17318470454648338,,,
partial_rank,year,2023,ALL_A,NON_ST,3,,237,-0.16563913370334754,,,
partial_rank,year,2023,CHINEXT_BOARD,ALL_STATUS,3,,237,-0.11327433323610631,,,
partial_rank,year,2023,CHINEXT_BOARD,NON_ST,3,,237,-0.10536269659396584,,,
partial_rank,year,2023,SH_A,ALL_STATUS,3,,237,-0.18750040597331763,,,
partial_rank,year,2023,SH_A,NON_ST,3,,237,-0.19091790269095993,,,
partial_rank,year,2023,SZ_A,ALL_STATUS,3,,237,-0.10213017075481541,,,
partial_rank,year,2023,SZ_A,NON_ST,3,,237,-0.090719061490751055,,,
tail_residual_gap,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,3,,829,,176,161,-0.0374980644481024
tail_residual_gap,cell,ALL_A:NON_ST,ALL_A,NON_ST,3,,829,,178,160,-0.03635476838613675
tail_residual_gap,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,3,,826,,160,213,-0.034389628513394999
tail_residual_gap,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,3,,827,,160,216,-0.028190131011357582
tail_residual_gap,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,3,,829,,186,144,-0.018542622963876192
tail_residual_gap,cell,SH_A:NON_ST,SH_A,NON_ST,3,,829,,180,144,-0.01665000313429334
tail_residual_gap,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,3,,829,,163,181,-0.032746763901400605
tail_residual_gap,cell,SZ_A:NON_ST,SZ_A,NON_ST,3,,829,,167,183,-0.034687834056822006
