definition,group_type,group_value,crossings,close_above,close_equal,close_below,remaining60,reacquired
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2018,37,,,,,
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2019,25,,,,,
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2020,41,,,,,
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2021,29,,,,,
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2022,42,,,,,
L20_CONTINUOUS,VIEW_YEAR,SZ_A|2023,47,,,,,
L20_CONTINUOUS,YEAR,2018,162,,,,,
L20_CONTINUOUS,YEAR,2019,137,,,,,
L20_CONTINUOUS,YEAR,2020,175,,,,,
L20_CONTINUOUS,YEAR,2021,184,,,,,
L20_CONTINUOUS,YEAR,2022,158,,,,,
L20_CONTINUOUS,YEAR,2023,148,,,,,
L40_CONTINUOUS,BLOCK,A,272,,,,,
L40_CONTINUOUS,BLOCK,B,308,,,,,
L40_CONTINUOUS,OVERALL,ALL,580,285.0,1.0,294.0,544.0,378.0
L40_CONTINUOUS,VIEW,ALL_A,154,,,,,
L40_CONTINUOUS,VIEW,CHINEXT_BOARD,155,,,,,
L40_CONTINUOUS,VIEW,SH_A,151,,,,,
L40_CONTINUOUS,VIEW,SZ_A,120,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2018,21,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2019,21,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2020,22,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2021,48,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2022,16,,,,,
L40_CONTINUOUS,VIEW_YEAR,ALL_A|2023,26,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2018,16,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2019,42,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2020,20,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2021,32,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2022,31,,,,,
L40_CONTINUOUS,VIEW_YEAR,CHINEXT_BOARD|2023,14,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2018,12,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2019,25,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2020,35,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2021,28,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2022,25,,,,,
L40_CONTINUOUS,VIEW_YEAR,SH_A|2023,26,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2018,14,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2019,19,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2020,25,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2021,16,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2022,18,,,,,
L40_CONTINUOUS,VIEW_YEAR,SZ_A|2023,28,,,,,
L40_CONTINUOUS,YEAR,2018,63,,,,,
L40_CONTINUOUS,YEAR,2019,107,,,,,
L40_CONTINUOUS,YEAR,2020,102,,,,,
L40_CONTINUOUS,YEAR,2021,124,,,,,
L40_CONTINUOUS,YEAR,2022,90,,,,,
L40_CONTINUOUS,YEAR,2023,94,,,,,
