role,market_view,denominator,scope,scope_value,direction,horizon,outcome,n,mean,median,positive,p10,p90
formation_participation,SZ_A,NON_ST,year,2022,UP,5,downside,5,-0.023466818904038601,-0.027827913504207401,0.20000000000000001,-0.055545104724313676,0.0090755262975134848
formation_participation,SZ_A,NON_ST,overall,ALL,UP,5,terminal,11,-0.04021760095627263,-0.035572551238460301,0.18181818181818182,-0.078023349817118726,1.5056519837901294e-05
formation_participation,SZ_A,NON_ST,year,2020,UP,5,terminal,2,-0.034279884337207835,-0.034279884337207835,0,-0.035314017858209805,-0.033245750816205864
formation_participation,SZ_A,NON_ST,year,2021,UP,5,terminal,4,-0.039876122578251572,-0.046299545879626466,0.25,-0.0774685338544817,0.0028550273390784975
formation_participation,SZ_A,NON_ST,year,2022,UP,5,terminal,5,-0.04286587030631539,-0.036726089847455401,0.20000000000000001,-0.078486211275986761,-0.013302437621903963
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,1,downside,20,-0.0010587686336995992,-0.00021566514023718241,0.5,-0.0067722470660878005,0.01066748491167582
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,1,downside,2,-0.022727745287288117,-0.022727745287288117,0,-0.036682671835488928,-0.0087728187390873034
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,1,downside,3,0.00062805041966114417,-0.0029674222135037988,0.33333333333333331,-0.0055656779393632675,0.0082599678319515337
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,1,downside,4,0.0069100683725099414,0.0075691822819367854,1,0.0017006574415616802,0.011592188175916729
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,1,downside,11,-0.0004767551680399044,-0.00092573389692346408,0.45454545454545453,-0.0040112173670757006,0.0043140474497335504
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,1,terminal,20,-0.0048173008313346366,-0.0050954971181422504,0.34999999999999998,-0.018650829792513937,0.012456624157171163
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,1,terminal,2,-0.026739264588851983,-0.026739264588851983,0,-0.044306595526424207,-0.009171933651279756
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,1,terminal,3,0.0050656395768901566,-0.0046883007848087001,0.33333333333333331,-0.0058237889021942723,0.019856644200654128
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,1,terminal,4,0.0074143260102939252,0.0071739990205567337,1,0.0012864255269912832,0.013734488085386321
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,1,terminal,11,-0.0079747009291668124,-0.0067177129143241015,0.18181818181818182,-0.018096141137168099,0.0010715540626165011
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,3,downside,20,-0.0016002252752402128,0.00039849254308627416,0.55000000000000004,-0.014710689997438284,0.022505332449429663
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,3,downside,2,-0.022648938549131453,-0.022648938549131453,0,-0.040762112088383338,-0.0045357650098795674
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,3,downside,3,0.018795555097261975,0.025911853542666563,1,0.0056546974683101608,0.029089893348051954
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,3,downside,4,0.0072101629083710407,0.0085866193815744979,0.75,-0.0051847435192817117,0.018503904157461032
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,3,downside,11,-0.0065394495756192217,-0.0039138151333102528,0.45454545454545453,-0.012735182630785401,0.00088601700642850292
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,3,terminal,20,-0.0015095918062441229,-0.0093560800692049501,0.40000000000000002,-0.023303860932666096,0.031758787279988168
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,3,terminal,2,0.00095452887173108278,0.00095452887173108278,0.5,-0.0043484604597213306,0.0062575182031834962
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,3,terminal,3,0.021061831481541903,0.0317492091423872,0.66666666666666663,-0.0049083031999013621,0.042757015098647044
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,3,terminal,4,0.011792481416304759,0.014830382353621734,0.5,-0.010110741523401169,0.031265383606157111
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,3,terminal,11,-0.012950573998017216,-0.013906684423456,0.27272727272727271,-0.028355623445564949,0.0025600063528289502
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,5,downside,20,0.0010916344795863218,-0.0020140532334814581,0.45000000000000001,-0.016282411559910212,0.022480864183801446
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,5,downside,2,-0.017930054192663983,-0.017930054192663983,0,-0.027881223546976766,-0.0079788848383511995
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,5,downside,3,0.019295767760976686,0.021923708776344236,0.66666666666666663,0.0010695784693941467,0.03647078064641221
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,5,downside,4,0.010763406253818145,0.010666678070810221,0.75,-0.0018907805706158383,0.023494975624658472
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,5,downside,11,-0.0039316482110134769,-0.0025414117493986615,0.36363636363636365,-0.015297245295813555,0.0026209010884507278
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,DOWN,5,terminal,20,0.0031758921768140769,0.0029634556946631428,0.55000000000000004,-0.016808409242253599,0.025625347180345839
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,DOWN,5,terminal,2,-0.015256666781854986,-0.015256666781854986,0.5,-0.03666033577531836,0.0061470022116083918
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,DOWN,5,terminal,3,0.013173759046255734,0.0081050295406222966,0.66666666666666663,-0.014526986365836259,0.042901996260601108
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,DOWN,5,terminal,4,0.014479060390396901,0.012457711554719784,1,0.0049761327801269338,0.025599067069208562
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,DOWN,5,terminal,11,-0.0003096674182148452,-0.0057442827323794503,0.36363636363636365,-0.0081417295051728344,0.017717375464779268
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,1,downside,16,-0.003108587522393362,-0.0034391782542974999,0.3125,-0.0091546613679051349,0.0028200341840553022
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,1,downside,3,-0.0066030514485400892,-0.0064712050141188665,0,-0.0076638954483244136,-0.0055949460225242541
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,1,downside,6,-0.001565600832779899,0.0013568785016038511,0.66666666666666663,-0.011068840274361799,0.0050151592744182519
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,1,downside,3,-0.0049528304246184785,-0.0059299008029293013,0,-0.007279908979880313,-0.0022349237180323139
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,1,downside,4,-0.0014190374355346753,-0.00151632637823615,0.25,-0.0037604507072505401,0.0010002069903423695
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,1,terminal,16,-0.0070168496004402066,-0.0070872449379868491,0.3125,-0.019181299646896584,0.0027240775352900997
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,1,terminal,3,-0.019705195012736213,-0.021329427343396601,0,-0.023011895166281986,-0.015748801926926282
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,1,terminal,6,-0.0028862185478817554,-0.0019698624927906999,0.5,-0.014637832894576083,0.0079490397437215164
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,1,terminal,3,-0.0077196651694099771,-0.013105992791765067,0.33333333333333331,-0.013715715050093067,0.00043091576021514694
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,1,terminal,4,-0.0031694254433285501,-0.0021333201817707501,0.25,-0.0079944029026213503,0.00082666780671801043
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,3,downside,16,-0.0053267878798763145,-0.0065110313258255007,0.25,-0.0191004526878416,0.007693001194871785
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,3,downside,3,-0.011629298879601789,-0.011438188974756701,0,-0.01388015466217726,-0.0094548870589643529
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,3,downside,6,-0.00082259732657448924,-0.0036749299152588361,0.33333333333333331,-0.012763732044221902,0.01397086997975727
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,3,downside,3,0.0025036048227309233,0.0072953881404483334,0.66666666666666663,-0.0044880384287976638,0.0075785347471725465
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,3,downside,4,-0.013228984986990374,-0.015542882108176099,0,-0.019386423662529361,-0.0052204286145028081
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,3,terminal,16,-0.017456141107297627,-0.014998236911205018,0.25,-0.054860982172583353,0.012943556657053499
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,3,terminal,3,-0.057491033042755164,-0.055466892148416103,0,-0.061294286256162255,-0.054497436187083706
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,3,terminal,6,-0.01270106127481698,-0.019107908143257718,0.33333333333333331,-0.031938832338246716,0.012943556657053499
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,3,terminal,3,0.0094034024554134777,0.0039937345756363993,0.66666666666666663,-0.0011605268871747729,0.02213119894991256
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,3,terminal,4,-0.014707249576458775,-0.0137451631542445,0,-0.017184625034154962,-0.01299954325653401
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,5,downside,16,-0.0092028731058060344,-0.010730259829284366,0.3125,-0.024739361518215552,0.0070720385687190815
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,5,downside,3,-0.017037295776873278,-0.015647838147706535,0,-0.019521359091700666,-0.015109015513712586
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,5,downside,6,-0.0061224410026801887,-0.0061447921862893499,0.33333333333333331,-0.02572253761323463,0.013500006791483415
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,5,downside,3,0.0026554575432671998,0.002407307750237668,1,0.00091986499381844079,0.0044903100099277712
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,5,downside,4,-0.0168414522439993,-0.017664933921032449,0,-0.026277486282534301,-0.0067466328638377763
