chart_id,category,attack_id,candidate_id,symbol,board,attack_number,png,pdf
ADMITTED_WINNER-005,ADMITTED_WINNER,300722.SZ|2017-12-04|ATTACK_1,300722.SZ|2017-12-04|V6CLUSTER001|V6FIRSTRETURN,300722.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-005.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-006,ADMITTED_WINNER,002922.SZ|2018-02-06|ATTACK_1,002922.SZ|2018-01-15|V6CLUSTER001|V6FIRSTRETURN,002922.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-006.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-007,ADMITTED_WINNER,603856.SH|2018-02-05|ATTACK_1,603856.SH|2018-02-05|V6CLUSTER003|V6FIRSTRETURN,603856.SH,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-007.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-008,ADMITTED_WINNER,300542.SZ|2018-01-18|ATTACK_1,300542.SZ|2018-01-17|V6CLUSTER003|V6FIRSTRETURN,300542.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-008.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-009,ADMITTED_WINNER,300256.SZ|2018-10-11|ATTACK_1,300256.SZ|2018-10-11|V6CLUSTER004|V6FIRSTRETURN,300256.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-009.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-010,ADMITTED_WINNER,300159.SZ|2018-10-18|ATTACK_1,300159.SZ|2015-09-14|V6CLUSTER003|V6FIRSTRETURN,300159.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-010.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-011,ADMITTED_WINNER,300624.SZ|2019-01-11|ATTACK_1,300624.SZ|2018-10-25|V6CLUSTER002|V6FIRSTRETURN,300624.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-011.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-012,ADMITTED_WINNER,300678.SZ|2019-05-06|ATTACK_1,300678.SZ|2019-05-06|V6CLUSTER005|V6FIRSTRETURN,300678.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-012.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-013,ADMITTED_WINNER,000859.SZ|2019-08-02|ATTACK_1,000859.SZ|2019-08-02|V6CLUSTER004|V6FIRSTRETURN,000859.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-013.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-014,ADMITTED_WINNER,600783.SH|2019-08-02|ATTACK_2,600783.SH|2019-08-02|V6CLUSTER008|V6FIRSTRETURN,600783.SH,MAIN,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-014.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-015,ADMITTED_WINNER,300587.SZ|2019-09-26|ATTACK_1,300587.SZ|2019-09-25|V6CLUSTER004|V6FIRSTRETURN,300587.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-015.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-016,ADMITTED_WINNER,300083.SZ|2019-10-16|ATTACK_1,300083.SZ|2019-07-22|V6CLUSTER003|V6FIRSTRETURN,300083.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-016.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-017,ADMITTED_WINNER,603596.SH|2020-03-09|ATTACK_1,603596.SH|2020-02-03|V6CLUSTER005|V6FIRSTRETURN,603596.SH,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-017.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-018,ADMITTED_WINNER,300736.SZ|2020-09-10|ATTACK_1,300736.SZ|2020-09-10|V6CLUSTER005|V6FIRSTRETURN,300736.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-018.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-019,ADMITTED_WINNER,300859.SZ|2021-04-29|ATTACK_1,300859.SZ|2020-09-01|V6CLUSTER001|V6FIRSTRETURN,300859.SZ,CHINEXT,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-019.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ADMITTED_WINNER-020,ADMITTED_WINNER,001213.SZ|2021-09-22|ATTACK_1,001213.SZ|2021-09-16|V6CLUSTER001|V6FIRSTRETURN,001213.SZ,MAIN,1,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER-020.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ADMITTED_WINNER.pdf
ATTACK_2_TRADE-001,ATTACK_2_TRADE,300623.SZ|2017-04-17|ATTACK_2,300623.SZ|2017-03-30|V6CLUSTER001|V6FIRSTRETURN,300623.SZ,CHINEXT,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-001.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-002,ATTACK_2_TRADE,300299.SZ|2017-06-26|ATTACK_2,300299.SZ|2017-06-26|V6CLUSTER003|V6FIRSTRETURN,300299.SZ,CHINEXT,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-002.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-003,ATTACK_2_TRADE,603856.SH|2017-12-04|ATTACK_2,603856.SH|2017-12-04|V6CLUSTER002|V6FIRSTRETURN,603856.SH,MAIN,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-003.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-004,ATTACK_2_TRADE,300543.SZ|2018-01-29|ATTACK_2,300543.SZ|2018-01-08|V6CLUSTER002|V6FIRSTRETURN,300543.SZ,CHINEXT,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-004.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-005,ATTACK_2_TRADE,000599.SZ|2019-08-02|ATTACK_2,000599.SZ|2019-05-06|V6CLUSTER004|V6FIRSTRETURN,000599.SZ,MAIN,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-005.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-006,ATTACK_2_TRADE,600783.SH|2019-08-02|ATTACK_2,600783.SH|2019-08-02|V6CLUSTER008|V6FIRSTRETURN,600783.SH,MAIN,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-006.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
ATTACK_2_TRADE-007,ATTACK_2_TRADE,002645.SZ|2019-07-22|ATTACK_2,002645.SZ|2017-10-17|V6CLUSTER004|V6FIRSTRETURN,002645.SZ,MAIN,2,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE-007.png,/Volumes/quant/CY_quant_research/ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1/representative_charts/ATTACK_2_TRADE.pdf
