role_operator,block,coordinate,market_view,denominator,n,rho_discovery_dynamic,rho_leadership_dynamic,joint_adjusted_rank_r2,gate_pass
formation_participation__acceleration,B,relative_to_all,CHINEXT_BOARD,ALL_STATUS,727,0.260318554773,-0.229473883625,0.115439626736,True
formation_participation__acceleration,B,relative_to_all,SH_A,NON_ST,727,0.288018502693,-0.138932656689,0.0940724294328,True
formation_participation__acceleration,B,relative_to_all,SZ_A,NON_ST,727,0.288213755733,-0.148848400568,0.0970073494692,True
formation_participation__acceleration,B,relative_to_all,CHINEXT_BOARD,NON_ST,727,0.251797720849,-0.22285789114,0.10752434029,True
formation_depth__change,A,absolute,ALL_A,ALL_STATUS,605,-0.05038732049,0.296055086872,0.0889718514227,True
formation_depth__change,A,absolute,SH_A,ALL_STATUS,605,-0.00320570062736,0.242311994139,0.0632101569793,True
formation_depth__change,A,absolute,SZ_A,ALL_STATUS,605,-0.00364005400052,0.246486109092,0.0659072677833,True
formation_depth__change,A,absolute,CHINEXT_BOARD,ALL_STATUS,605,0.0633690545356,0.128005795041,0.0253415915776,True
formation_depth__change,A,absolute,ALL_A,NON_ST,605,-0.0424105505072,0.292713106546,0.0879536642546,True
formation_depth__change,A,absolute,SH_A,NON_ST,605,-0.00473220289773,0.239603699642,0.0608894203612,True
formation_depth__change,A,absolute,SZ_A,NON_ST,605,0.00685894793023,0.244903243231,0.0671644764753,True
formation_depth__change,A,absolute,CHINEXT_BOARD,NON_ST,605,0.0634410195019,0.127335848365,0.0250936211798,True
formation_depth__change,A,pit_3y_pct,ALL_A,ALL_STATUS,102,-0.0152048899921,0.267801708783,0.0599296152144,False
formation_depth__change,A,pit_3y_pct,SH_A,ALL_STATUS,102,0.0274524882528,0.141865185947,0.00627074956423,False
formation_depth__change,A,pit_3y_pct,SZ_A,ALL_STATUS,102,0.00335310515632,0.21935414558,0.0360616119624,False
formation_depth__change,A,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,102,0.0945032824242,0.0426856506325,-0.00495423349057,False
formation_depth__change,A,pit_3y_pct,ALL_A,NON_ST,102,-0.0230985405794,0.259184285076,0.0542041333838,False
formation_depth__change,A,pit_3y_pct,SH_A,NON_ST,102,-0.00411080514105,0.145190018716,0.00346216064816,False
formation_depth__change,A,pit_3y_pct,SZ_A,NON_ST,102,0.0255525838135,0.20441501603,0.0328286161657,False
formation_depth__change,A,pit_3y_pct,CHINEXT_BOARD,NON_ST,102,0.0968442361084,0.0350521060101,-0.00573470723655,False
formation_depth__change,A,relative_to_all,SH_A,ALL_STATUS,605,0.275092325608,-0.0653619717987,0.0732288902389,True
formation_depth__change,A,relative_to_all,SZ_A,ALL_STATUS,605,0.251232787337,-0.0533503965818,0.0601158515478,True
formation_depth__change,A,relative_to_all,CHINEXT_BOARD,ALL_STATUS,605,0.185964556721,0.011521802547,0.0330446180059,True
formation_depth__change,A,relative_to_all,SH_A,NON_ST,605,0.2820134813,-0.0571347008179,0.0768882883463,True
formation_depth__change,A,relative_to_all,SZ_A,NON_ST,605,0.261193386045,-0.0459708992714,0.0651543164357,True
formation_depth__change,A,relative_to_all,CHINEXT_BOARD,NON_ST,605,0.199389499456,0.0274237553004,0.0398682533731,True
formation_depth__change,B,absolute,ALL_A,ALL_STATUS,727,-0.100409032008,0.388634343023,0.151584888628,True
formation_depth__change,B,absolute,SH_A,ALL_STATUS,727,-0.0164831104871,0.335699938426,0.122190385266,True
formation_depth__change,B,absolute,SZ_A,ALL_STATUS,727,-0.0759149728282,0.368766733103,0.13795622522,True
formation_depth__change,B,absolute,CHINEXT_BOARD,ALL_STATUS,727,0.107271729724,0.229799271373,0.0788779463446,True
formation_depth__change,B,absolute,ALL_A,NON_ST,727,-0.0789684555784,0.386901925135,0.152028546586,True
formation_depth__change,B,absolute,SH_A,NON_ST,727,0.00459147594282,0.337498533728,0.127036521555,True
formation_depth__change,B,absolute,SZ_A,NON_ST,727,-0.0554668557486,0.363537093254,0.136066637438,True
formation_depth__change,B,absolute,CHINEXT_BOARD,NON_ST,727,0.108910286124,0.228403701612,0.078909283427,True
formation_depth__change,B,pit_3y_pct,ALL_A,ALL_STATUS,727,-0.103058205776,0.391064589712,0.153371577825,True
formation_depth__change,B,pit_3y_pct,SH_A,ALL_STATUS,727,-0.0176649876617,0.338597899648,0.124040613333,True
formation_depth__change,B,pit_3y_pct,SZ_A,ALL_STATUS,727,-0.0753029200836,0.371792639005,0.140611740603,True
formation_depth__change,B,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,727,0.106288968208,0.232702571988,0.0800475982225,True
formation_depth__change,B,pit_3y_pct,ALL_A,NON_ST,727,-0.0809926693985,0.389407658446,0.153924867137,True
formation_depth__change,B,pit_3y_pct,SH_A,NON_ST,727,0.00389672587269,0.341486887512,0.129849380947,True
formation_depth__change,B,pit_3y_pct,SZ_A,NON_ST,727,-0.0569221499727,0.367224720961,0.139013011984,True
formation_depth__change,B,pit_3y_pct,CHINEXT_BOARD,NON_ST,727,0.107852782116,0.231267116094,0.0800969095856,True
formation_depth__change,B,relative_to_all,SH_A,ALL_STATUS,727,0.21404192906,0.10496449905,0.0601403331176,True
formation_depth__change,B,relative_to_all,SZ_A,ALL_STATUS,727,0.182137107609,0.142855956098,0.0569882674603,True
formation_depth__change,B,relative_to_all,CHINEXT_BOARD,ALL_STATUS,727,0.170778327587,0.195941703663,0.0714268758445,True
formation_depth__change,B,relative_to_all,SH_A,NON_ST,727,0.211944333021,0.105563718512,0.0596340485272,True
formation_depth__change,B,relative_to_all,SZ_A,NON_ST,727,0.17635959139,0.142070852744,0.0549533681126,True
formation_depth__change,B,relative_to_all,CHINEXT_BOARD,NON_ST,727,0.182936139764,0.207657822982,0.0824683854545,True
formation_depth__acceleration,A,absolute,ALL_A,ALL_STATUS,600,-0.0485374681596,0.278732840749,0.07620626733,True
formation_depth__acceleration,A,absolute,SH_A,ALL_STATUS,600,0.00575234939198,0.240376395542,0.0603309344565,True
formation_depth__acceleration,A,absolute,SZ_A,ALL_STATUS,600,0.000405334459262,0.225616241381,0.0529361537292,True
formation_depth__acceleration,A,absolute,CHINEXT_BOARD,ALL_STATUS,600,0.0706136425549,0.122063116842,0.0234500909816,True
formation_depth__acceleration,A,absolute,ALL_A,NON_ST,600,-0.0426047294576,0.275852693459,0.0750840415275,True
formation_depth__acceleration,A,absolute,SH_A,NON_ST,600,0.00863830177306,0.24117556454,0.0605815090441,True
formation_depth__acceleration,A,absolute,SZ_A,NON_ST,600,0.0069544637624,0.223584800157,0.0532542808863,True
formation_depth__acceleration,A,absolute,CHINEXT_BOARD,NON_ST,600,0.0702799749522,0.120510668085,0.0228670500356,True
formation_depth__acceleration,A,pit_3y_pct,ALL_A,ALL_STATUS,97,-0.0753734483484,0.244727014517,0.0410033634191,False
formation_depth__acceleration,A,pit_3y_pct,SH_A,ALL_STATUS,97,-0.0871291815695,0.132521565327,-0.00137855832368,False
formation_depth__acceleration,A,pit_3y_pct,SZ_A,ALL_STATUS,97,-0.055215127288,0.211235009468,0.0260414184337,False
formation_depth__acceleration,A,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,97,0.0931648432569,0.045129391963,-0.00421762920473,False
formation_depth__acceleration,A,pit_3y_pct,ALL_A,NON_ST,97,-0.0995818430465,0.248198506207,0.0419151233801,False
formation_depth__acceleration,A,pit_3y_pct,SH_A,NON_ST,97,-0.147959183673,0.133152745634,0.00868780321711,False
formation_depth__acceleration,A,pit_3y_pct,SZ_A,NON_ST,97,-0.0562933936461,0.208420997265,0.0253332306475,False
formation_depth__acceleration,A,pit_3y_pct,CHINEXT_BOARD,NON_ST,97,0.0924416158216,0.036516410688,-0.00610652334813,False
formation_depth__acceleration,A,relative_to_all,SH_A,ALL_STATUS,600,0.304651290698,-0.0855301105739,0.0935313836107,True
formation_depth__acceleration,A,relative_to_all,SZ_A,ALL_STATUS,600,0.282283228565,-0.093102132659,0.0799575457529,True
formation_depth__acceleration,A,relative_to_all,CHINEXT_BOARD,ALL_STATUS,600,0.175985655516,-0.0128024244512,0.0277952604366,True
formation_depth__acceleration,A,relative_to_all,SH_A,NON_ST,600,0.307198297773,-0.0799149275297,0.0952186519787,True
formation_depth__acceleration,A,relative_to_all,SZ_A,NON_ST,600,0.284434956764,-0.0933781534603,0.0822216469227,True
formation_depth__acceleration,A,relative_to_all,CHINEXT_BOARD,NON_ST,600,0.189033413982,-0.0023218953386,0.0328957827914,True
formation_depth__acceleration,B,absolute,ALL_A,ALL_STATUS,727,-0.023340389759,0.327431759187,0.115530436145,True
formation_depth__acceleration,B,absolute,SH_A,ALL_STATUS,727,0.0165787070251,0.298011666963,0.103338130952,True
