scope,period,cell_id,horizon,n,absolute_mean,absolute_median,absolute_positive_rate,industry_relative_mean,industry_relative_median,severe_loss_incidence,mean_mae
FULL,2018_2023,ABS_m08_REL_m02_W3,10,3908,-0.00542288455364,-0.0222103466245,0.424002047083,-0.00273617204497,0,,
FULL,2018_2023,ABS_m08_REL_m02_W3,20,3874,-0.0133631182711,-0.0418302324559,0.392101187403,-0.00589844187128,0,0.582085699535,-0.131216865453
FULL,2018_2023,ABS_m08_REL_m02_W5,1,3744,-0.000411429847338,-0.00364943654932,0.460737179487,0.000485973325528,0,,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,3739,-0.00164443055921,-0.00814782118656,0.444503878042,-0.00112356789881,0,,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,3732,-0.00311724337683,-0.0107258769371,0.450160771704,-0.00141543838133,0,,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,3726,-0.00484036285211,-0.0202756461418,0.431025228127,-0.00192951420273,0,,
FULL,2018_2023,ABS_m08_REL_m02_W5,20,3688,-0.0141315641146,-0.0410922790064,0.405639913232,-0.00470158463356,0,0.57510845987,-0.131550352079
FULL,2018_2023,ABS_m08_REL_m04_W2,1,3408,-6.14656143232e-05,-0.00399201596806,0.460387323944,-5.51656663241e-06,0,,
FULL,2018_2023,ABS_m08_REL_m04_W2,3,3397,0.00294461640442,-0.00538992191056,0.467765675596,0.000128962046576,0,,
FULL,2018_2023,ABS_m08_REL_m04_W2,5,3389,0.00232349513979,-0.00870041734712,0.460017704338,-0.00161997664708,0,,
FULL,2018_2023,ABS_m08_REL_m04_W2,10,3374,-0.00420701979019,-0.0206537518785,0.427089508002,-0.00253785136007,0,,
FULL,2018_2023,ABS_m08_REL_m04_W2,20,3339,-0.00895912164001,-0.0388277631928,0.408805031447,-0.00448745558253,0,0.574423480084,-0.13223321266
FULL,2018_2023,ABS_m08_REL_m04_W3,1,3331,-0.00122408805801,-0.00399201596806,0.453017111978,6.4148499131e-05,0,,
FULL,2018_2023,ABS_m08_REL_m04_W3,3,3319,0.00163450805665,-0.00604431831765,0.467610726122,-0.000475409550491,0,,
FULL,2018_2023,ABS_m08_REL_m04_W3,5,3316,-0.00116550263258,-0.0124510256777,0.439686369119,-0.00211473396471,0,,
FULL,2018_2023,ABS_m08_REL_m04_W3,10,3305,-0.00618029933919,-0.0213570368603,0.423298033283,-0.00302808465041,0,,
FULL,2018_2023,ABS_m08_REL_m04_W3,20,3271,-0.0150798428789,-0.0425969765895,0.387037603179,-0.00641194880371,0,0.588199327423,-0.133408001797
FULL,2018_2023,ABS_m08_REL_m04_W5,1,3189,-0.000296703127479,-0.00399201596806,0.457196613358,9.22009024209e-06,0,,
FULL,2018_2023,ABS_m08_REL_m04_W5,3,3185,-0.00309398628157,-0.00903935372498,0.435164835165,-0.0013144712934,0,,
FULL,2018_2023,ABS_m08_REL_m04_W5,5,3178,-0.00373312780653,-0.0114624600563,0.446507237256,-0.00154290003306,0,,
FULL,2018_2023,ABS_m08_REL_m04_W5,10,3172,-0.00636075670181,-0.0225490078783,0.422446406053,-0.00226773369097,0,,
FULL,2018_2023,ABS_m08_REL_m04_W5,20,3137,-0.0153140423609,-0.0427119293258,0.40006375518,-0.00357264578373,0,0.586228881097,-0.134237889871
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W2,1,11640,-0.000809606291559,-0.00332645403544,0.459364261168,5.71183599584e-05,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W2,3,11635,0.000713391166128,-0.00399201596806,0.472367855608,-0.000642121098309,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W2,5,11633,-0.000313457473069,-0.0068377530653,0.465572079429,-0.00228857253204,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W2,10,11626,-0.00426047909552,-0.0164093807172,0.436435575434,-0.00420086476918,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W2,20,11601,-0.00575524307846,-0.0313548726722,0.417377812258,-0.00507055571019,0,0.547280406861,-0.12311738429
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W3,1,10920,-0.000928512452571,-0.00399201596806,0.454120879121,0.000389874022423,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W3,3,10920,0.00121034554586,-0.00399201596806,0.478113553114,-0.0010448570879,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W3,5,10918,-0.0010230875644,-0.0076639628756,0.459241619344,-0.00173015329215,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W3,10,10910,-0.00503387975138,-0.0183116561136,0.43006416132,-0.0029332423892,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W3,20,10885,-0.00863117482614,-0.0338021140817,0.409921910887,-0.00534374609151,0,0.552870923289,-0.124117258882
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W5,1,9683,-0.000341079293419,-0.00380654455501,0.454198079108,-0.000138850256212,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W5,3,9678,-0.00259130828208,-0.00810456752838,0.445649927671,-0.00158168807682,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W5,5,9676,-0.00337573221594,-0.0109686489052,0.440471269119,-0.00157274636619,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W5,10,9667,-0.00688263668979,-0.0203667004804,0.426502534395,-0.0035278400979,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m02_W5,20,9645,-0.0115836352591,-0.0350390220063,0.404872991187,-0.00606938560392,0,0.558735095905,-0.125861952173
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W2,1,6444,-0.000831503127754,-0.00399201596806,0.455617628802,-8.68253751906e-05,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W2,3,6442,0.00092961587008,-0.00399201596806,0.469108972369,-0.00030169857426,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W2,5,6442,7.64756616749e-06,-0.00918580396015,0.456224774915,-0.00148320347281,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W2,10,6438,-0.00447833218564,-0.0192338967529,0.430257844051,-0.00284685893651,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W2,20,6425,-0.00665700493507,-0.0358231989629,0.411673151751,-0.0025123418746,0,0.576186770428,-0.128861825142
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W3,1,6156,-0.00104813637602,-0.004586882914,0.446556205328,0.000135941209236,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W3,3,6156,0.000775973842217,-0.0051451444689,0.467998700455,-0.00113046882365,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W3,5,6154,-0.00269551598758,-0.0111810216877,0.444588885278,-0.00215107488648,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W3,10,6151,-0.0068359487683,-0.0211645674169,0.424483823768,-0.00338246254395,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W3,20,6138,-0.0119653624948,-0.0395207686766,0.400944933203,-0.00494942653543,0,0.577549690453,-0.13046020959
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W5,1,5631,-0.000851078250776,-0.00399201596806,0.45196235127,-8.00738484384e-05,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W5,3,5629,-0.00366651109992,-0.00914214569908,0.437733167525,-0.00104327705275,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W5,5,5629,-0.00481889545102,-0.0130466340047,0.437555516077,-0.0013531683803,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W5,10,5625,-0.00717816356751,-0.0208174902081,0.427733333333,-0.00199528875026,0,,
BLOCK,EARLY_2018_2021,ABS_m04_REL_m04_W5,20,5612,-0.0121978233631,-0.0365950584615,0.409836065574,-0.00373145745994,0,0.576621525303,-0.130929859537
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W2,1,5398,0.0011607530977,-0.00159728475481,0.48147462023,-0.000126169245439,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W2,3,5397,0.0022651471187,-0.00292333787361,0.482675560497,-0.000684219072913,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W2,5,5397,0.0037426439059,-0.00399201596806,0.481563831758,-0.00164798785094,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W2,10,5394,-0.00147715578113,-0.0156666677421,0.4390063033,-0.00285099978694,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W2,20,5381,-0.0014671798885,-0.0295353941563,0.424828098866,-0.00337390917942,0,0.551942018212,-0.124621076207
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W3,1,5224,-0.00169961162078,-0.00468251341606,0.442572741194,-8.82815390449e-05,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W3,3,5224,0.00157517794429,-0.00336631961221,0.48028330781,-0.00101499374379,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W3,5,5221,0.000675178006643,-0.00833665275773,0.456617506225,-0.00178778993244,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W3,10,5218,-0.00555409413236,-0.0220628528678,0.423342276734,-0.00269523925573,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W3,20,5206,-0.00962645279724,-0.035712587411,0.404149058778,-0.00499547339881,0,0.570495582021,-0.128113633974
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W5,1,4833,4.50339852014e-05,-0.00399201596806,0.459755845231,-7.66667776084e-05,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W5,3,4829,-0.000749403805054,-0.00643921003202,0.450403810313,-0.00121926653981,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W5,5,4828,-0.0016662148164,-0.00889157300299,0.455053852527,-0.00137010132645,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W5,10,4823,-0.00517610555392,-0.0217778728258,0.423180592992,-0.00208136085256,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m02_W5,20,4815,-0.0126849202147,-0.0374244517957,0.403946002077,-0.00588623569279,0,0.579646936656,-0.129466642886
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W2,1,3994,-6.06342807053e-05,-0.00375393647124,0.464446670005,-0.000151977691045,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W2,3,3993,0.00297794386998,-0.00277110295538,0.485098923115,-0.000329745826134,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W2,5,3993,0.00334299602635,-0.00575798757096,0.473578762835,-0.00164073510723,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W2,10,3991,-0.00186385948636,-0.0180067775013,0.435229265848,-0.00246241966753,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W2,20,3983,-0.00346502580675,-0.0357596252149,0.413507406478,-0.00277060576494,0,0.568666834045,-0.12883570102
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W3,1,3867,-0.00128220612376,-0.00493342238019,0.44453064391,-0.000230865538535,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W3,3,3866,0.00239140795826,-0.00349685848603,0.482152095189,-0.00107782428441,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W3,5,3864,0.000369466939275,-0.00962480917721,0.451345755694,-0.00237515525225,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W3,10,3863,-0.00443349410806,-0.0218789721233,0.428164638882,-0.00316636260439,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W3,20,3854,-0.0101306169606,-0.0389024368874,0.400363258952,-0.00578864667783,0,0.5835495589,-0.130894294926
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W5,1,3628,-0.000541699732169,-0.00399201596806,0.451212789416,-0.000327207091047,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W5,3,3626,-0.00157258387795,-0.00768326490529,0.442360728075,-0.00124804623505,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W5,5,3626,-0.00181148444162,-0.00860618216554,0.45973524545,-0.0015940717505,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W5,10,3622,-0.00494338538135,-0.0207142547121,0.426007730536,-0.00171634717734,0,,
BLOCK,EARLY_2018_2021,ABS_m06_REL_m04_W5,20,3615,-0.0118982560718,-0.0399542980916,0.404702627939,-0.00372839344486,0,0.588105117566,-0.132154777363
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W2,1,2501,0.000931132845636,-0.0025076523555,0.471411435426,-0.000374621076243,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W2,3,2500,0.00307854403282,-0.00580045474704,0.4648,-0.000584521228977,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W2,5,2500,0.00491108325655,-0.00569428611809,0.4772,-0.00215229104366,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W2,10,2499,-0.00236337872058,-0.0191784523181,0.426970788315,-0.00373700903489,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W2,20,2491,-0.00506137246773,-0.0370018408053,0.411481332798,-0.00583625805778,0,0.568044961863,-0.12948544476
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W3,1,2446,-0.000826001163063,-0.00399201596806,0.454619787408,0.000156027946869,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W3,3,2445,0.00216580290564,-0.00533942936638,0.469529652352,0.000161686116431,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W3,5,2444,0.000648001904266,-0.00951354299742,0.447217675941,-0.00187658803508,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W3,10,2444,-0.00555155633137,-0.0263562207142,0.414484451718,-0.00272246071295,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W3,20,2441,-0.0140927944057,-0.0433353666887,0.382630069644,-0.00564273166972,0,0.598934862761,-0.131894547583
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W5,1,2317,-2.56771935419e-05,-0.00369898625814,0.4630988347,0.00051357105146,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W5,3,2315,-0.00183466020462,-0.00876674264128,0.443628509719,-0.0015733721775,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W5,5,2314,-0.00107890230122,-0.00926976336335,0.457649092481,-0.00130617399393,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W5,10,2312,-0.00327645889141,-0.0206129794558,0.432525951557,-0.00155558481984,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m02_W5,20,2308,-0.0143881330514,-0.0452788232618,0.40164644714,-0.00544589952472,0,0.597920277296,-0.133043498624
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W2,1,2094,0.000428663094412,-0.00379031325765,0.461795606495,-0.000527915443454,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W2,3,2093,0.00426216157291,-0.00557298102208,0.468227424749,-0.000315239061744,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W2,5,2093,0.00531682707426,-0.00762708160322,0.465838509317,-0.00159877103714,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W2,10,2092,-0.000776107544486,-0.0178582658358,0.432600382409,-0.00326032270521,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W2,20,2085,-0.0031806094652,-0.0357596252149,0.418705035971,-0.00482659005874,0,0.568824940048,-0.130191690204
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W3,1,2054,-0.000951346515656,-0.00399201596806,0.452288218111,0.00013495369009,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W3,3,2053,0.00534949446208,-0.00378005427748,0.482708231856,0.000213428597348,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W3,5,2052,0.00217149203032,-0.00924217264478,0.446393762183,-0.00162472753497,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W3,10,2052,-0.00135413598865,-0.0213651843141,0.42738791423,-0.00261378244097,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W3,20,2049,-0.0104905526179,-0.0413423153693,0.389946315276,-0.0059912335364,0,0.591508052709,-0.131721240103
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W5,1,1956,0.00075241575151,-0.00399201596806,0.465235173824,0.000169204351208,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W5,3,1954,-0.00194617229616,-0.00899023884412,0.439611054248,-0.00129662300641,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W5,5,1953,0.000635241011976,-0.00856610544697,0.465949820789,-0.00116890145542,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W5,10,1951,-0.000948210455084,-0.0203716539091,0.436186570989,-0.00149603272917,0,,
BLOCK,EARLY_2018_2021,ABS_m08_REL_m04_W5,20,1949,-0.0100121230945,-0.04192,0.410466906106,-0.00350448109011,0,0.596203181119,-0.132997995044
BLOCK,LATE_2022_2023,ABS_m04_REL_m02_W2,1,7714,-0.00193027306517,-0.00502254700851,0.442960850402,0.000250664400285,0,,
BLOCK,LATE_2022_2023,ABS_m04_REL_m02_W2,3,7675,-0.00436108928798,-0.00922315033798,0.437263843648,-0.00123238219167,0,,
BLOCK,LATE_2022_2023,ABS_m04_REL_m02_W2,5,7641,-0.00790136972723,-0.0145382214597,0.427823583301,-0.00235278697249,0,,
