family,leg,period,horizon,count,signal_dates,mean_return,median_return,positive_fraction,p10,p90,severe_loss_fraction,mean_adverse_excursion,mean_excess_vs_date_control,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
down_market_resilience,top,year_2023,5,407,21,-0.005638809949221744,-0.02900591511041839,0.3759213759213759,-0.12806615340747088,0.14693814705151292,0.171990171990172,-0.08183513098251861,0.003916233625520033,0.8847826086956522,3007.0,181460944.2715,273212058.352
down_market_resilience,top,year_2023,20,406,21,-0.025052754976857217,-0.0795601606749693,0.2955665024630542,-0.21222036091974733,0.20947974895129218,0.42610837438423643,-0.14533359542093993,0.0021807835214221662,0.8847826086956522,3007.0,181460944.2715,272550829.13
industry_diffusion_acceleration,top,early_2018_2020,5,2412,121,-7.016017431698196e-05,-0.002982042810904195,0.4755389718076285,-0.07593935760781259,0.07726023906778816,0.052653399668325045,-0.045187669787263296,0.002203516562690144,0.9971074380165289,1695.0,144792352.29224998,49263368.150000006
industry_diffusion_acceleration,top,early_2018_2020,20,2406,121,0.011080924699602712,-0.00480168066147868,0.48129675810473815,-0.13472137434977316,0.17567499085707217,0.17664172901080633,-0.08526244961706654,0.007287406787514674,0.9971074380165289,1695.0,144792352.29224998,49241245.730000004
industry_diffusion_acceleration,top,full,5,5224,262,-0.0006581140370901667,-0.005422548266011351,0.4552067381316999,-0.0744542271889911,0.07839934695587279,0.048047473200612555,-0.044803292830558596,0.0023092204867593727,0.9830827067669173,2287.0,154465881.949,52566761.082
industry_diffusion_acceleration,top,full,20,5204,262,0.007242606619310959,-0.008112012034996063,0.46598770176787085,-0.1266980731014857,0.15927710090344602,0.16160645657186778,-0.08438227785650566,0.0096624735514221,0.9830827067669173,2287.0,154465881.949,52566761.082
industry_diffusion_acceleration,top,late_2021_2023,5,2812,141,-0.0011624329264958986,-0.006974562650570892,0.43776671408250356,-0.07350013672409078,0.07900864936793073,0.044096728307254626,-0.04447359253910349,0.002399888290761854,0.9713793103448276,2612.0,165903356.27475002,55623960.622
industry_diffusion_acceleration,top,late_2021_2023,20,2798,141,0.00394203717642963,-0.009546040588805815,0.4528234453180843,-0.12057016573618154,0.14417092577954393,0.14867762687634023,-0.08362541822251371,0.011704793291937207,0.9713793103448276,2612.0,165903356.27475002,55683204.394
industry_diffusion_acceleration,top,year_2018,5,460,23,-0.012691079730099081,-0.017845263433289515,0.3652173913043478,-0.08564531006731345,0.07172696775124449,0.06956521739130435,-0.05181356062152055,0.0016916843016464276,1.0,1021.0,120899219.825,41427985.45600001
industry_diffusion_acceleration,top,year_2018,20,460,23,-0.026270457712022015,-0.029278461479191276,0.34130434782608693,-0.1431179961052716,0.08985992539059584,0.21304347826086956,-0.09926101583304368,0.006072926719255393,1.0,1021.0,120899219.825,41427985.45600001
industry_diffusion_acceleration,top,year_2019,5,977,49,0.005853213100480544,0.002622314861146613,0.5271238485158649,-0.06743524636497202,0.07837360790204517,0.03582395087001024,-0.038706142494272316,0.002538612059971814,0.996938775510204,1420.0,140949126.3195,49601557.400000006
industry_diffusion_acceleration,top,year_2019,20,973,49,0.023053568091315573,0.00741701019495955,0.5375128468653648,-0.12461766984813918,0.19156049428280203,0.15210688591983557,-0.07403088662351963,0.003792193600476961,0.996938775510204,1420.0,140949126.3195,49438564.800000004
industry_diffusion_acceleration,top,year_2020,5,975,49,-5.119883464253724e-05,-0.0023592159942409374,0.4758974358974359,-0.07457334260046182,0.07814481799202026,0.06153846153846154,-0.04855643120418006,0.0021092135260090353,0.9959183673469387,2049.0,165211080.21775,51983474.852
industry_diffusion_acceleration,top,year_2020,20,973,49,0.016766694369911815,-0.0020013271258948473,0.49126413155190135,-0.14293120562423275,0.1921826358481048,0.18396711202466598,-0.08987598541703742,0.011356783213400558,0.9959183673469387,2049.0,165211080.21775,51934189.826
industry_diffusion_acceleration,top,year_2021,5,956,48,0.0015153955530558736,-0.004763361368950669,0.4675732217573222,-0.07626693589240557,0.0899418634600776,0.04497907949790795,-0.04745869226221194,0.004416393170734372,0.9979166666666667,2207.0,191712480.37150002,57829798.56
industry_diffusion_acceleration,top,year_2021,20,953,48,0.019895371091036833,-0.0008621866733055095,0.49422875131164745,-0.11986397933049213,0.18440209028716853,0.14900314795383002,-0.08287646293341325,0.019270852866460422,0.9979166666666667,2207.0,191712480.37150002,57698131.824
industry_diffusion_acceleration,top,year_2022,5,976,49,-0.00025924980610524313,-0.0053713237021812965,0.44774590163934425,-0.07749283071201579,0.08476216143160731,0.05430327868852459,-0.04765923273419979,0.0026379971062221517,0.9989795918367347,2690.0,153953037.12725002,57278726.835
industry_diffusion_acceleration,top,year_2022,20,968,49,-0.005819287312780595,-0.013085008985115332,0.4287190082644628,-0.13573352886814247,0.13391358948769128,0.18491735537190082,-0.09477670444459857,0.006891021776064453,0.9989795918367347,2690.0,153953037.12725002,57345567.701000005
industry_diffusion_acceleration,top,year_2023,5,880,44,-0.005073240599169507,-0.01065775985052253,0.39431818181818185,-0.06432728159009625,0.059040136037971654,0.031818181818181815,-0.03769752416898342,-5.485360599152959e-05,0.9166666666666666,2691.5,152996822.4505,52768788.015
industry_diffusion_acceleration,top,year_2023,20,877,44,-0.002619610617259265,-0.014404812309003812,0.43443557582668185,-0.10148825763058315,0.10671949711963022,0.10832383124287344,-0.07213090206234792,0.008796328129843932,0.9166666666666666,2691.5,152996822.4505,52895418.436000004
industry_leadership_acceleration,top,early_2018_2020,5,2412,121,0.0011482876402963379,-0.005847942194498412,0.4601990049751244,-0.07928037204144986,0.0911780674315526,0.05970149253731343,-0.05018577235757618,0.003345549354709913,0.9979338842975206,1695.0,161428984.33325,48922090.44
industry_leadership_acceleration,top,early_2018_2020,20,2402,121,0.009936853209482953,-0.009460957489580868,0.46711074104912575,-0.14348532017734456,0.1857708050452908,0.20399666944213155,-0.09320707747072673,0.0061258690728050735,0.9979338842975206,1695.0,161428984.33325,48922090.44
industry_leadership_acceleration,top,full,5,5225,262,-0.0032546669628881904,-0.009539993598262075,0.43177033492822964,-0.08153407372824453,0.07862567869149711,0.06258373205741627,-0.05147904675827308,-0.00029653380506908315,0.9832706766917293,2287.0,170562900.486,53054823.30199999
industry_leadership_acceleration,top,full,20,5201,262,0.0029370708245083123,-0.01474207738597455,0.4416458373389733,-0.14604826004393157,0.16995396277135066,0.21169005960392231,-0.09618203811696101,0.0053631912255612015,0.9832706766917293,2287.0,170562900.486,53084259.14
industry_leadership_acceleration,top,late_2021_2023,5,2813,141,-0.0070299696656543065,-0.012811957079361669,0.407394241023818,-0.08324655161072035,0.07184080759047956,0.06505510131532172,-0.052587961743868844,-0.0034194291415024065,0.9710344827586207,2612.0,179458177.3585,56742910.19
industry_leadership_acceleration,top,late_2021_2023,20,2799,141,-0.003069887835266282,-0.017406264911254965,0.4197927831368346,-0.14771400270189927,0.15475498879436123,0.21829224723115398,-0.09873504114384733,0.0047086888357506336,0.9710344827586207,2612.0,179458177.3585,56879496.29000001
industry_leadership_acceleration,top,year_2018,5,460,23,-0.013165590729626968,-0.01879587555145462,0.35434782608695653,-0.07946626884321124,0.062260685419918124,0.06086956521739131,-0.05333391498276374,0.0012171733021185426,1.0,1021.0,121727697.0295,42201367.363
industry_leadership_acceleration,top,year_2018,20,460,23,-0.028420425782238065,-0.03290079437838289,0.34782608695652173,-0.1421998946746833,0.08656667152299981,0.21521739130434783,-0.10234547122052891,0.003922958649039344,1.0,1021.0,121727697.0295,42201367.363
industry_leadership_acceleration,top,year_2019,5,978,49,0.009511760588751295,0.0021259351515430236,0.5143149284253579,-0.07170611318608687,0.09967195877645085,0.04703476482617587,-0.042571638819885946,0.006138898401528671,0.9989795918367347,1420.0,149489477.548,47066551.386
