trade_date,market_view,denominator,decision_at,available_at_x,breakout_formation_participation20_pit_3y_pct,breakout_formation_participation20_relative_to_all,breakout_formation_participation20_relative_view_rank_pct,breakout_formation_depth20_pit_3y_pct,breakout_formation_depth20_relative_to_all,breakout_formation_depth20_relative_view_rank_pct,breakout_closing_acceptance20_pit_3y_pct,breakout_closing_acceptance20_relative_to_all,breakout_closing_acceptance20_relative_view_rank_pct,breakout_closing_rejection_depth20_pit_3y_pct,breakout_closing_rejection_depth20_relative_to_all,breakout_closing_rejection_depth20_relative_view_rank_pct,breakout_formation_diffusion20_pit_3y_pct,breakout_formation_diffusion20_relative_to_all,breakout_formation_diffusion20_relative_view_rank_pct,breakout_formation_leadership_top3_20_pit_3y_pct,breakout_formation_leadership_top3_20_relative_to_all,breakout_formation_leadership_top3_20_relative_view_rank_pct,breakout_stock_industry_divergence20_pit_3y_pct,breakout_stock_industry_divergence20_relative_to_all,breakout_stock_industry_divergence20_relative_view_rank_pct,available_at_y,open_close_log_return__median,open_close_log_return__median__pit_3y_pct,rally_effort_distribution__median__aligned_mean,rally_effort_distribution__relative_to_all,rally_effort_distribution__relative_view_rank_pct,open_close_log_return__relative_view_rank_pct,vwap_defense_recovery__median__aligned_mean,vwap_defense_recovery__relative_to_all,vwap_defense_recovery__relative_view_rank_pct,open_close_return__relative_to_all,joint_available_at
2021-01-12,ALL_A,NON_ST,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.397417503587,0,0.75,0.526542324247,0,0.75,0.793400286944,0,0.75,0.232424677188,0,0.5,0.543758967001,0,1,0.038737446198,0,0.25,0.177905308465,0,0.25,2021-01-12T15:30:00,0.00730655246088,0.780189959294,0.375,0,0.5,0.75,0.527137042062,0,0.75,0,2021-01-12T15:30:00
2021-01-12,CHINEXT_BOARD,ALL_STATUS,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.299856527977,-0.0163669976628,0.25,0.342898134864,-0.000304057852236,0.25,0.707317073171,-0.0339640950995,0.5,0.439024390244,0.00333463514776,1,0.287373004354,-0.175103582944,0.25,0.143686502177,0.20467951587,1,0.465892597968,0.00696361299305,1,2021-01-12T15:30:00,0.00375098423762,0.630936227951,0.466078697422,0.0898914518318,1,0.25,0.369402985075,-0.159769335142,0.25,-0.00341749850254,2021-01-12T15:30:00
2021-01-12,CHINEXT_BOARD,NON_ST,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.2912482066,-0.0174947018855,0.25,0.284074605452,-0.00115318196252,0.25,0.734576757532,-0.0258564964447,0.5,0.377331420373,0.00289825314216,1,0.287373004354,-0.175110485901,0.25,0.143686502177,0.197212961151,1,0.404934687954,0.00554545158999,1,2021-01-12T15:30:00,0.00383396400699,0.636363636364,0.466757123474,0.0917571234735,1,0.25,0.369402985075,-0.157734056988,0.25,-0.00347258845389,2021-01-12T15:30:00
2021-01-12,SH_A,ALL_STATUS,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.375896700143,-0.00313993353753,0.5,0.67862266858,0.000341105185421,1,0.655667144907,-0.0469664591657,0.25,0.400286944046,0.000834358483067,0.75,0.512931034483,-0.106350767152,0.5,0.0603448275862,0.0359492263503,0.75,0.425287356322,0.00534645544772,0.75,2021-01-12T15:30:00,0.00740349181621,0.797829036635,0.368215739484,-0.00797150610583,0.25,1,0.616689280868,0.0875169606513,1,0.00023500907605,2021-01-12T15:30:00
2021-01-12,SH_A,NON_ST,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.378766140603,-0.00363317641404,0.5,0.687230989957,0.000666876228292,1,0.697991391679,-0.0417295123177,0.25,0.334289813486,0.000469526274766,0.75,0.537356321839,-0.100036584968,0.5,0.0847701149425,0.0429941704218,0.75,0.337643678161,0.00342537824809,0.75,2021-01-12T15:30:00,0.00755789533117,0.801899592944,0.367028493894,-0.00797150610583,0.25,1,0.609396200814,0.0822591587517,1,0.00025134287029,2021-01-12T15:30:00
2021-01-12,SZ_A,ALL_STATUS,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.414634146341,0.00240197019126,1,0.401721664275,-0.000237510277256,0.5,0.827833572453,0.0327025715672,1,0.202295552367,-0.000580960721543,0.25,0.566714490674,-0.0144797571182,0.75,0.0200860832138,0.00196631510485,0.5,0.166427546628,-0.00010208946526,0.25,2021-01-12T15:30:00,0.00701756620094,0.755766621438,0.379409769335,0.00322252374491,0.75,0.5,0.510854816825,-0.0183175033921,0.5,-0.00015091653922,2021-01-12T15:30:00
2021-01-12,SZ_A,NON_ST,2021-01-12T15:00:00+08:00,2021-01-12T15:00:00+08:00,0.42037302726,0.00278348193011,1,0.38737446198,-0.000458159240812,0.5,0.836441893831,0.0286691306,1,0.190817790531,-0.000322575303274,0.25,0.585365853659,-0.0128244848445,0.75,0.0473457675753,0.0113525348043,0.5,0.220946915352,0.000848745273206,0.5,2021-01-12T15:30:00,0.00710858745812,0.755766621438,0.380597014925,0.00559701492537,0.75,0.5,0.453188602442,-0.0739484396201,0.5,-0.00019796500276,2021-01-12T15:30:00
2021-01-13,ALL_A,ALL_STATUS,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.522922636103,0,0.75,0.719197707736,0,0.5,0.577363896848,0,0.75,0.623209169054,0,0.5,0.656160458453,0,1,0.0644699140401,0,0.5,0.0759312320917,0,0.25,2021-01-13T15:30:00,-0.0189269278963,0.0907859078591,0.667513550136,0,0.5,1,0.278963414634,0,0.75,0,2021-01-13T15:30:00
2021-01-13,ALL_A,NON_ST,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.530085959885,0,0.75,0.710601719198,0,0.5,0.574498567335,0,0.75,0.623209169054,0,0.5,0.664756446991,0,1,0.0716332378223,0,0.5,0.0687679083095,0,0.25,2021-01-13T15:30:00,-0.0190481949707,0.0894308943089,0.671917344173,0,0.5,0.75,0.281334688347,0,0.75,0,2021-01-13T15:30:00
2021-01-13,CHINEXT_BOARD,ALL_STATUS,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.343839541547,-0.0289115288924,0.25,0.607449856734,0.00127484511526,1,0.527936962751,-0.0351351351351,0.25,0.56446991404,0.00114358233243,1,0.379710144928,-0.162553557055,0.25,0.26231884058,0.220813298983,1,0.117391304348,0.000853607807989,0.5,2021-01-13T15:30:00,-0.0281647087278,0.0636856368564,0.701050135501,0.0335365853659,1,0.25,0.242208672087,-0.0367547425474,0.25,-0.0092377808315,2021-01-13T15:30:00
2021-01-13,CHINEXT_BOARD,NON_ST,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.34670487106,-0.0300054590411,0.25,0.607449856734,0.00130367399355,1,0.528653295129,-0.0318965517241,0.25,0.56446991404,0.00106944632307,1,0.382608695652,-0.155357465941,0.25,0.265217391304,0.216827500812,1,0.11884057971,0.00205058112704,0.5,2021-01-13T15:30:00,-0.0281413682394,0.0636856368564,0.700372628726,0.0284552845528,1,0.25,0.242208672087,-0.0391260162602,0.25,-0.0090931732687,2021-01-13T15:30:00
2021-01-13,SH_A,ALL_STATUS,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.547277936963,0.00220882080524,1,0.809455587393,0.000382489854872,0.75,0.617478510029,0.0201678951679,1,0.669054441261,-0.00028624988704,0.25,0.746054519369,-0.0555408404429,0.75,0.00430416068867,-0.0209190356309,0.25,0.206599713056,0.00616687330051,1,2021-01-13T15:30:00,-0.016894503395,0.0894308943089,0.618902439024,-0.0486111111111,0.25,0.75,0.284383468835,0.00542005420054,1,0.0020324245013,2021-01-13T15:30:00
2021-01-13,SH_A,NON_ST,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.555873925501,0.00197438367998,1,0.813753581662,0.000631885190712,0.75,0.621776504298,0.0202352312216,1,0.659025787966,-0.000460565276498,0.25,0.750358680057,-0.0489161253575,0.75,0.00860832137733,-0.0175688404301,0.25,0.238163558106,0.00765842682476,1,2021-01-13T15:30:00,-0.0167082928149,0.0934959349593,0.61331300813,-0.0586043360434,0.25,1,0.28370596206,0.00237127371274,1,0.0023399021558,2021-01-13T15:30:00
2021-01-13,SZ_A,ALL_STATUS,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.527220630372,-0.00168992962887,0.5,0.630372492837,-0.000307857688067,0.25,0.553008595989,-0.0162326961107,0.5,0.598853868195,0.000230396250544,0.75,0.541547277937,-0.0593734344279,0.5,0.171919770774,0.0390969328923,0.75,0.103151862464,0.00119038667246,0.75,2021-01-13T15:30:00,-0.0203898921313,0.0867208672087,0.689871273713,0.0223577235772,0.75,0.5,0.273543360434,-0.00542005420054,0.5,-0.001462964235,2021-01-13T15:30:00
2021-01-13,SZ_A,NON_ST,2021-01-13T15:00:00+08:00,2021-01-13T15:00:00+08:00,0.540114613181,-0.00151285160116,0.5,0.597421203438,-0.000506293103117,0.25,0.547277936963,-0.0162133219105,0.5,0.604584527221,0.000369024351977,0.75,0.534383954155,-0.0600520520497,0.5,0.181948424069,0.0429088591532,0.75,0.147564469914,0.0050372698727,0.75,2021-01-13T15:30:00,-0.0207141296173,0.0867208672087,0.693597560976,0.0216802168022,0.75,0.5,0.275237127371,-0.00609756097561,0.5,-0.0016659346466,2021-01-13T15:30:00
2021-01-14,ALL_A,ALL_STATUS,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.500715307582,0,0.75,0.56652360515,0,0.5,0.238912732475,0,0.75,0.77539341917,0,0.5,0.593705293276,0,1,0.859799713877,0,0.5,0.430615164521,0,0.5,2021-01-14T15:30:00,0.0083770041817,0.809201623816,0.459742895805,0,0.75,0.75,0.541441136671,0,0.75,0,2021-01-14T15:30:00
2021-01-14,ALL_A,NON_ST,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.502145922747,0,0.75,0.552217453505,0,0.5,0.244635193133,0,0.75,0.77539341917,0,0.5,0.596566523605,0,1,0.864091559371,0,0.5,0.41773962804,0,0.5,2021-01-14T15:30:00,0.0086109423622,0.813261163735,0.463633288227,0,0.75,0.75,0.544824086604,0,1,0,2021-01-14T15:30:00
2021-01-14,CHINEXT_BOARD,ALL_STATUS,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.326180257511,-0.0277432712215,0.25,0.585121602289,0.0034250955059,1,0.194563662375,-0.0565509518477,0.25,0.795422031474,0.00476326213243,1,0.301013024602,-0.188439037094,0.25,0.360347322721,0.0751274386407,0.75,0.134587554269,-0.00859215115488,0.25,2021-01-14T15:30:00,0.0104703752585,0.779431664411,0.438261163735,-0.0214817320704,0.25,0.5,0.543132611637,0.00169147496617,1,0.0020933710768,2021-01-14T15:30:00
2021-01-14,CHINEXT_BOARD,NON_ST,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.32904148784,-0.0281715124042,0.25,0.586552217454,0.00353232761211,1,0.194563662375,-0.0528236650019,0.25,0.795422031474,0.00461371182057,1,0.302460202605,-0.183907915228,0.25,0.361794500724,0.0681454775669,0.75,0.136034732272,-0.00825434882933,0.25,2021-01-14T15:30:00,0.0105473859792,0.784844384303,0.438599458728,-0.0250338294993,0.25,0.375,0.543132611637,-0.00169147496617,0.75,0.001936443617,2021-01-14T15:30:00
2021-01-14,SH_A,ALL_STATUS,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.600858369099,0.0142348820469,1,0.668097281831,-0.000413640501825,0.25,0.351931330472,0.0454677936462,1,0.796852646638,-0.000560585597611,0.25,0.597421203438,-0.0907473743178,0.5,0.898280802292,0.0836181977841,1,0.671919770774,0.00334851022414,0.75,2021-01-14T15:30:00,0.00866879567185,0.82949932341,0.466170500677,0.00642760487145,1,1,0.523173207037,-0.0182679296346,0.5,0.00029179149015,2021-01-14T15:30:00
2021-01-14,SH_A,NON_ST,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.61087267525,0.014353712672,1,0.655221745351,-0.000448822250287,0.25,0.356223175966,0.0468798190603,1,0.789699570815,-0.000693934281084,0.25,0.607449856734,-0.0884356349948,0.5,0.908309455587,0.0918537416231,1,0.554441260745,0.00194397369142,0.75,2021-01-14T15:30:00,0.00883657311253,0.830852503383,0.467692828146,0.00405953991881,1,1,0.526894451962,-0.0179296346414,0.5,0.00022563075033,2021-01-14T15:30:00
2021-01-14,SZ_A,ALL_STATUS,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.419170243205,-0.0108809098386,0.5,0.487839771102,0.000444055244606,0.75,0.137339055794,-0.0488110137672,0.5,0.755364806867,0.000601805126847,0.75,0.560801144492,-0.0349725416482,0.75,0.371959942775,-0.0935751377033,0.25,0.653791130186,0.00509104269576,1,2021-01-14T15:30:00,0.007950935276,0.778078484438,0.451623815968,-0.00811907983762,0.5,0.25,0.518775372124,-0.0226657645467,0.25,-0.0004260689057,2021-01-14T15:30:00
2021-01-14,SZ_A,NON_ST,2021-01-14T15:00:00+08:00,2021-01-14T15:00:00+08:00,0.420600858369,-0.0109879676353,0.5,0.474964234621,0.000482823935914,0.75,0.144492131617,-0.0504313205043,0.5,0.756795422031,0.000746505059954,0.75,0.535050071531,-0.0433124256326,0.75,0.400572246066,-0.0904577226575,0.25,0.752503576538,0.00758542038859,1,2021-01-14T15:30:00,0.00831414989489,0.784844384303,0.454668470907,-0.0089648173207,0.5,0.375,0.521820027064,-0.0230040595399,0.25,-0.00029679246731,2021-01-14T15:30:00
2021-01-15,ALL_A,ALL_STATUS,2021-01-15T15:00:00+08:00,2021-01-15T15:00:00+08:00,0.287142857143,0,0.75,0.605714285714,0,0.75,0.297142857143,0,0.75,0.72,0,0.5,0.364285714286,0,1,0.975714285714,0,0.5,0.535714285714,0,0.5,2021-01-15T15:30:00,0.0117747655527,0.871621621622,0.450506756757,0,0.75,0.5,0.580236486486,0,0.5,0,2021-01-15T15:30:00
2021-01-15,ALL_A,NON_ST,2021-01-15T15:00:00+08:00,2021-01-15T15:00:00+08:00,0.287142857143,0,0.75,0.575714285714,0,0.75,0.272857142857,0,0.75,0.734285714286,0,0.5,0.347142857143,0,1,0.974285714286,0,0.5,0.534285714286,0,0.5,2021-01-15T15:30:00,0.0117798617969,0.87027027027,0.453209459459,0,0.75,0.5,0.579222972973,0,0.5,0,2021-01-15T15:30:00
