role,market_view,denominator,event_year,pit_observations,raw_up_crossings,raw_down_crossings,declustered_up_episodes,declustered_down_episodes,matched_up_episodes,matched_down_episodes
formation_diffusion,CHINEXT_BOARD,NON_ST,2021,243,28,27,6,9,6,9
formation_diffusion,CHINEXT_BOARD,NON_ST,2022,239,18,19,4,7,4,5
formation_diffusion,CHINEXT_BOARD,NON_ST,2023,237,31,31,8,7,4,7
formation_diffusion,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_diffusion,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_diffusion,SH_A,ALL_STATUS,2020,186,20,19,5,6,5,0
formation_diffusion,SH_A,ALL_STATUS,2021,243,18,18,3,13,3,13
formation_diffusion,SH_A,ALL_STATUS,2022,242,23,24,6,8,3,3
formation_diffusion,SH_A,ALL_STATUS,2023,237,23,23,10,6,0,5
formation_diffusion,SH_A,NON_ST,2018,0,0,0,0,0,0,0
formation_diffusion,SH_A,NON_ST,2019,0,0,0,0,0,0,0
formation_diffusion,SH_A,NON_ST,2020,186,21,20,5,7,5,0
formation_diffusion,SH_A,NON_ST,2021,243,21,21,3,12,3,12
formation_diffusion,SH_A,NON_ST,2022,242,23,24,6,8,4,3
formation_diffusion,SH_A,NON_ST,2023,237,24,24,9,5,4,5
formation_diffusion,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_diffusion,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_diffusion,SZ_A,ALL_STATUS,2020,187,19,18,4,9,1,4
formation_diffusion,SZ_A,ALL_STATUS,2021,243,28,28,5,9,5,7
formation_diffusion,SZ_A,ALL_STATUS,2022,242,23,24,5,8,0,2
formation_diffusion,SZ_A,ALL_STATUS,2023,237,27,27,9,4,2,1
formation_diffusion,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
formation_diffusion,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
formation_diffusion,SZ_A,NON_ST,2020,187,17,17,2,8,2,7
formation_diffusion,SZ_A,NON_ST,2021,243,29,28,5,9,5,7
formation_diffusion,SZ_A,NON_ST,2022,242,20,21,5,7,4,2
formation_diffusion,SZ_A,NON_ST,2023,237,26,26,9,4,2,4
formation_leadership_concentration,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_leadership_concentration,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_leadership_concentration,ALL_A,ALL_STATUS,2020,187,38,38,7,4,0,0
formation_leadership_concentration,ALL_A,ALL_STATUS,2021,243,50,50,6,6,0,0
formation_leadership_concentration,ALL_A,ALL_STATUS,2022,242,39,40,4,7,4,3
formation_leadership_concentration,ALL_A,ALL_STATUS,2023,237,38,37,8,10,6,0
formation_leadership_concentration,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
formation_leadership_concentration,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
formation_leadership_concentration,ALL_A,NON_ST,2020,187,37,37,7,4,0,0
formation_leadership_concentration,ALL_A,NON_ST,2021,243,50,50,6,7,0,0
formation_leadership_concentration,ALL_A,NON_ST,2022,242,37,38,4,7,4,4
formation_leadership_concentration,ALL_A,NON_ST,2023,237,37,36,8,10,5,0
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2020,179,33,34,8,5,0,3
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2021,243,54,53,8,5,0,1
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2022,239,44,44,10,2,4,0
formation_leadership_concentration,CHINEXT_BOARD,ALL_STATUS,2023,237,39,39,9,4,6,4
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2020,179,33,34,8,5,0,3
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2021,243,56,55,9,6,0,0
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2022,239,46,46,8,4,4,0
formation_leadership_concentration,CHINEXT_BOARD,NON_ST,2023,237,39,39,8,4,2,3
formation_leadership_concentration,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_leadership_concentration,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
