sequence_id,target_year,block_id,market_view,market_sequence_rank,symbol,identity_view,level_horizon,path,gate_family,tested_day_count,recovered_tested_day_count,unique_tested_level_count,repeated_test_sequence,twice_recovered_sequence,constant_test_level,constant_level_repeated_test,constant_level_twice_recovered,constant_level_bits
2018|03|CHINEXT_BOARD|06|300558.SZ,2018,3,CHINEXT_BOARD,6,300558.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|07|300093.SZ,2018,3,CHINEXT_BOARD,7,300093.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|08|300719.SZ,2018,3,CHINEXT_BOARD,8,300719.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|09|300523.SZ,2018,3,CHINEXT_BOARD,9,300523.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|CHINEXT_BOARD|10|300160.SZ,2018,3,CHINEXT_BOARD,10,300160.SZ,L10_CONT,10,cont,level_neighbor,2,1,2,True,False,False,False,False,
2018|03|SH_A|01|600667.SH,2018,3,SH_A,1,600667.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SH_A|02|600651.SH,2018,3,SH_A,2,600651.SH,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|03|SH_A|03|601899.SH,2018,3,SH_A,3,601899.SH,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|03|SH_A|04|600547.SH,2018,3,SH_A,4,600547.SH,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|03|SH_A|05|600496.SH,2018,3,SH_A,5,600496.SH,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|03|SH_A|06|603036.SH,2018,3,SH_A,6,603036.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SH_A|07|603566.SH,2018,3,SH_A,7,603566.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SH_A|08|600503.SH,2018,3,SH_A,8,600503.SH,L10_CONT,10,cont,level_neighbor,4,3,4,True,True,False,False,False,
2018|03|SH_A|09|600717.SH,2018,3,SH_A,9,600717.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SH_A|10|601969.SH,2018,3,SH_A,10,601969.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|01|300710.SZ,2018,3,SZ_A,1,300710.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|02|002808.SZ,2018,3,SZ_A,2,002808.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|03|000767.SZ,2018,3,SZ_A,3,000767.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|04|002275.SZ,2018,3,SZ_A,4,002275.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|05|002916.SZ,2018,3,SZ_A,5,002916.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|06|300289.SZ,2018,3,SZ_A,6,300289.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|03|SZ_A|07|300678.SZ,2018,3,SZ_A,7,300678.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|08|300496.SZ,2018,3,SZ_A,8,300496.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|03|SZ_A|09|002752.SZ,2018,3,SZ_A,9,002752.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|03|SZ_A|10|300148.SZ,2018,3,SZ_A,10,300148.SZ,L10_CONT,10,cont,level_neighbor,3,3,3,True,True,False,False,False,
2018|04|ALL_A|01|600628.SH,2018,4,ALL_A,1,600628.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|02|002250.SZ,2018,4,ALL_A,2,002250.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|ALL_A|03|002340.SZ,2018,4,ALL_A,3,002340.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|04|002421.SZ,2018,4,ALL_A,4,002421.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|ALL_A|05|300046.SZ,2018,4,ALL_A,5,300046.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|06|002622.SZ,2018,4,ALL_A,6,002622.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|07|600560.SH,2018,4,ALL_A,7,600560.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|08|600971.SH,2018,4,ALL_A,8,600971.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|09|002616.SZ,2018,4,ALL_A,9,002616.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|ALL_A|10|000503.SZ,2018,4,ALL_A,10,000503.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|CHINEXT_BOARD|01|300705.SZ,2018,4,CHINEXT_BOARD,1,300705.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|02|300307.SZ,2018,4,CHINEXT_BOARD,2,300307.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|03|300606.SZ,2018,4,CHINEXT_BOARD,3,300606.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|04|300483.SZ,2018,4,CHINEXT_BOARD,4,300483.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|05|300536.SZ,2018,4,CHINEXT_BOARD,5,300536.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|06|300043.SZ,2018,4,CHINEXT_BOARD,6,300043.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|CHINEXT_BOARD|07|300416.SZ,2018,4,CHINEXT_BOARD,7,300416.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|CHINEXT_BOARD|08|300143.SZ,2018,4,CHINEXT_BOARD,8,300143.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|CHINEXT_BOARD|09|300074.SZ,2018,4,CHINEXT_BOARD,9,300074.SZ,L10_CONT,10,cont,level_neighbor,4,2,4,True,True,False,False,False,
2018|04|CHINEXT_BOARD|10|300124.SZ,2018,4,CHINEXT_BOARD,10,300124.SZ,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|SH_A|01|603186.SH,2018,4,SH_A,1,603186.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|02|600765.SH,2018,4,SH_A,2,600765.SH,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
2018|04|SH_A|03|603305.SH,2018,4,SH_A,3,603305.SH,L10_CONT,10,cont,level_neighbor,1,1,1,False,False,False,False,False,
2018|04|SH_A|04|600329.SH,2018,4,SH_A,4,600329.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|05|603108.SH,2018,4,SH_A,5,603108.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|06|600339.SH,2018,4,SH_A,6,600339.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|07|601158.SH,2018,4,SH_A,7,601158.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|08|600509.SH,2018,4,SH_A,8,600509.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|09|603367.SH,2018,4,SH_A,9,603367.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SH_A|10|600353.SH,2018,4,SH_A,10,600353.SH,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|01|300334.SZ,2018,4,SZ_A,1,300334.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|02|300245.SZ,2018,4,SZ_A,2,300245.SZ,L10_CONT,10,cont,level_neighbor,2,1,2,True,False,False,False,False,
2018|04|SZ_A|03|300003.SZ,2018,4,SZ_A,3,300003.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|04|002151.SZ,2018,4,SZ_A,4,002151.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|05|300099.SZ,2018,4,SZ_A,5,300099.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|06|002213.SZ,2018,4,SZ_A,6,002213.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|07|002414.SZ,2018,4,SZ_A,7,002414.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|08|300092.SZ,2018,4,SZ_A,8,300092.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|09|300657.SZ,2018,4,SZ_A,9,300657.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|04|SZ_A|10|002895.SZ,2018,4,SZ_A,10,002895.SZ,L10_CONT,10,cont,level_neighbor,0,0,0,False,False,False,False,False,
2018|05|ALL_A|01|002115.SZ,2018,5,ALL_A,1,002115.SZ,L10_CONT,10,cont,level_neighbor,2,2,2,True,True,False,False,False,
