step,feature,operator,threshold,threshold_source,n,years,pooled_rate,pooled_lift,median_year_lift,positive_year_lift_count,incremental_rate_gain,eligible,selected
1,max_interim_rebound_fraction,<=,0.19776657060518724,Q50,214,7,0.8925233644859814,0.011961303596051631,0.028490028490028463,5,0.011961303596051631,False,False
1,max_interim_rebound_fraction,<=,0.2639808220453375,Q70,299,7,0.8929765886287625,0.012414527738832781,0.024642024642024585,5,0.012414527738832781,False,False
1,max_depth_below_l_before_event,>=,0.1369923732833805,Q30,299,7,0.8729096989966555,-0.007652361893274229,-0.0025518341307815273,3,-0.007652361893274229,False,False
1,max_depth_below_l_before_event,>=,0.16906820365033626,Q50,214,7,0.8691588785046729,-0.011403182385256838,0.009090909090909038,4,-0.011403182385256838,False,False
1,max_depth_below_l_before_event,>=,0.21063210790796097,Q70,128,7,0.8828125,0.002250439110070279,0.028493894165535938,4,0.002250439110070279,False,False
1,gap_age_sessions,>=,16.0,Q30,317,7,0.8643533123028391,-0.01620874858709065,-0.013157894736842146,1,-0.01620874858709065,False,False
1,gap_age_sessions,>=,20.0,Q50,225,7,0.8533333333333334,-0.027228727556596333,-0.01217596229379414,3,-0.027228727556596333,False,False
1,gap_age_sessions,>=,26.0,Q70,136,7,0.8382352941176471,-0.04232676677228264,-0.013157894736842146,3,-0.04232676677228264,False,False
1,true_gap_width_pct,>=,0.013182761938522409,Q30,299,7,0.8461538461538461,-0.034408214736083576,-0.02891902672516944,1,-0.034408214736083576,False,False
1,true_gap_width_pct,>=,0.017013232514177665,Q50,214,7,0.8130841121495327,-0.06747794874039703,-0.07079152731326643,0,-0.06747794874039703,False,False
1,true_gap_width_pct,>=,0.023759450088270677,Q70,128,7,0.796875,-0.08368706088992972,-0.08771929824561409,1,-0.08368706088992972,False,False
1,pre_gap_inside_density_relative_local,<=,0.18149490000831972,Q30,128,6,0.890625,0.01006293911007028,0.0560667402772666,5,0.01006293911007028,False,False
1,pre_gap_inside_density_relative_local,<=,0.43637678568520594,Q50,214,7,0.8785046728971962,-0.0020573879927334726,0.020460358056266004,4,-0.0020573879927334726,False,False
1,pre_gap_inside_density_relative_local,<=,0.6474224959540228,Q70,299,7,0.8795986622073578,-0.0009633986825718921,0.0035087719298245723,4,-0.0009633986825718921,False,False
1,pre_gap_corridor_density_relative_local,<=,0.4973919336389316,Q30,128,6,0.859375,-0.02118706088992972,0.022671855507676364,4,-0.02118706088992972,False,False
1,pre_gap_corridor_density_relative_local,<=,0.652079196400044,Q50,214,7,0.8598130841121495,-0.020748976777780204,-0.01388888888888884,2,-0.020748976777780204,False,False
1,pre_gap_corridor_density_relative_local,<=,0.7984279623610597,Q70,299,7,0.8662207357859532,-0.014341325103976565,-0.010570402871958429,3,-0.014341325103976565,False,False
1,pre_gap_inside_touch_sessions,<=,3.0,Q30,176,7,0.8693181818181818,-0.011243879071747953,0.008695652173913104,4,-0.011243879071747953,False,False
1,pre_gap_inside_touch_sessions,<=,4.0,Q50,214,7,0.8738317757009346,-0.0067302851889951,0.014945652173913082,4,-0.0067302851889951,False,False
1,pre_gap_inside_touch_sessions,<=,8.0,Q70,329,7,0.8723404255319149,-0.00822163535801479,-0.01571546732837059,3,-0.00822163535801479,False,False
1,pre_gap_inside_touch_sessions,<=,0.0,ZERO,15,3,0.9333333333333333,0.05277127244340363,0.07017543859649122,3,0.05277127244340363,False,False
1,pre_gap_corridor_touch_sessions,<=,4.0,Q30,152,6,0.881578947368421,0.0010168864784912968,0.012441131489767054,4,0.0010168864784912968,False,False
1,pre_gap_corridor_touch_sessions,<=,7.0,Q50,229,7,0.8820960698689956,0.0015340089790658595,0.015954709212557927,4,0.0015340089790658595,False,False
1,pre_gap_corridor_touch_sessions,<=,11.0,Q70,322,7,0.8788819875776398,-0.0016800733122899203,-0.006131549609810549,3,-0.0016800733122899203,False,False
1,post_gap_freeze_corridor_float_turnover,<=,0.0005324064228666936,Q30,128,7,0.9296875,0.04912543911007028,0.06552706552706544,5,0.04912543911007028,True,False
1,post_gap_freeze_corridor_float_turnover,<=,0.0012709731543624162,Q50,214,7,0.9345794392523364,0.05401737836240672,0.06759976176295412,7,0.05401737836240672,True,True
1,post_gap_freeze_corridor_float_turnover,<=,0.003706904061203557,Q70,299,7,0.9297658862876255,0.049203825397695744,0.039682539682539764,6,0.049203825397695744,True,False
