family,track,leg,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,603180.SH,家居用品,,2,1776,103538163.95,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.019014084507042117,0.014946164010008145,-0.020704225352112693,76339320.0,0.10436619718309847,0.09995754968935366,-0.044788732394366315,76339320.0
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300453.SZ,医疗器械,,3,1776,69381649.32249999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08779443254817987,0.08345193980347654,-0.044967880085653,93860770.26,-0.0678087080656673,-0.07153003058835927,-0.06995003568879377,93860770.26
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300162.SZ,光学光电子,,4,1776,63066427.759500004,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.13787085514834185,0.13332845652499525,-0.01919720767888311,44753132.76,0.05061082024432784,0.04641676507369197,-0.01919720767888311,44753132.76
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002488.SZ,汽车零部件,,5,1776,102482329.163,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.45247148288973404,0.44667319353688084,-0.019011406844106404,116591057.66,0.2927756653992395,0.28761488429984117,-0.019011406844106404,116591057.66
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002185.SZ,半导体,,6,1776,451968731.362,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.13035381750465547,0.12584142701561496,-0.013035381750465591,310026436.28,0.08752327746741151,0.08318186717812037,-0.013035381750465591,310026436.28
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,000890.SZ,环保设备Ⅱ,,7,1776,116840945.32850003,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.07491856677524433,0.07062747469230923,-0.019543973941368087,62889149.43,0.004885993485342022,0.0008744725532650044,-0.021172638436482094,62889149.43
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,603077.SH,农化制品,,8,1776,104159989.55,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.11442786069651767,0.10997904688136173,-0.03482587064676612,143217795.0,-0.03980099502487555,-0.0436341247852553,-0.04477611940298498,143217795.0
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300376.SZ,其他电源设备Ⅱ,,9,1776,87928763.625,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.13670411985018727,0.1321663788527816,-0.014981273408239737,191996445.12,0.06928838951310867,0.06501977318770691,-0.014981273408239737,191996445.12
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,000633.SZ,金属新材料,,10,1776,59261722.429500006,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.2329749103942651,0.22805285486374904,-0.05197132616487454,120508049.58,0.026881720430107503,0.022782392204837798,-0.05197132616487454,120508049.58
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300705.SZ,化学制药,,11,1776,83992180.2565,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.06634078212290495,0.062083932693272725,-0.03631284916201116,78508243.39,-0.0188547486033519,-0.022771496113917378,-0.05586592178770955,78508243.39
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002792.SZ,通信设备,,12,1776,183926105.2995,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.00859598853868182,-0.01255368918323807,-0.031232091690544306,163886024.1,-0.07793696275071627,-0.08161785311897696,-0.14240687679083097,163886024.1
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300253.SZ,软件开发,,13,1776,416476280.833,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.09822119102861548,0.0938370744975634,-0.0278422273781902,422940027.8,0.08584686774941996,0.08151214971449217,-0.0278422273781902,422940027.8
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,000776.SZ,证券Ⅱ,,14,1776,1231277332.8395002,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08708708708708723,0.08274741807675956,-0.010810810810810811,1513940501.74,-0.08708708708708701,-0.09073145001288718,-0.09489489489489478,1513940501.74
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,300679.SZ,消费电子,,15,1776,126860582.92549999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.10757575757575744,0.10315429746567473,-0.012121212121212088,158316018.96,0.035757575757575655,0.031622814976108415,-0.012121212121212088,158316018.96
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002726.SZ,食品加工,,16,1776,53470115.566,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.11111111111111116,0.10667553781326244,-0.0024154589371979673,40714845.93,0.05676328502415462,0.05254466911587463,-0.0024154589371979673,40714845.93
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002178.SZ,软件开发,,17,1776,61155480.0685,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.1212121212121211,0.11673622452065557,-0.037296037296037365,70383618.9,0.08391608391608396,0.07958907360104983,-0.037296037296037365,70383618.9
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002385.SZ,饲料,,18,1776,201786896.57099998,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.37468354430379724,0.3691957856439019,-0.020253164556962022,166059864.76,0.28860759493670884,0.28346345284115304,-0.020253164556962022,166059864.76
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,601899.SH,工业金属,,19,1776,629281722.3,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.050139275766016844,0.045947103008467716,-0.011142061281337101,472651861.0,-0.03899721448467963,-0.042833552949810616,-0.05013927576601662,472651861.0
date_control,control,control,2019-02-28,279,2019-02-28 15:00:00,2019-02-28 15:00:00,002414.SZ,军工电子Ⅱ,,20,1776,165369635.28499994,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.001135503406510252,-0.005122986426843501,-0.02649507948523855,188809719.85,0.017411052233156532,0.01334953106655723,-0.050340651021953176,188809719.85
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,300567.SZ,通用设备,,1,2556,168499668.428,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.02425742574257428,0.020168573743601925,0.0,184290292.96,-0.08168316831683164,-0.0853491037726527,-0.08415841584158412,184290292.96
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002922.SZ,其他电子Ⅱ,,2,2556,69194101.406,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.03598374927452119,0.03184808560476271,0.0,62670914.04,-0.126523505513639,-0.13001043762735698,-0.12884503772489841,62670914.04
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,300706.SZ,半导体,,3,2556,205410113.5975,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.002433936022253169,-0.006416235678850857,-0.0184283727399166,127190985.17,-0.1905424200278164,-0.19377378761253572,-0.208970792767733,127190985.17
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002578.SZ,工业金属,,4,2556,59921802.92099999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.05053191489361719,0.04633817471440116,0.0,65389136.68,-0.058510638297872286,-0.06226907886354949,-0.07712765957446799,65389136.68
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,600283.SH,环境治理,,5,2556,150840780.5,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.025936599423631246,-0.029825076072638734,-0.03458213256484155,95451770.0,-0.1304034582132565,-0.1338749014938423,-0.13400576368876094,95451770.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,300049.SZ,医疗器械,,6,2556,70941862.80949998,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08385933273219104,0.07953254896878925,-0.0027051397655545317,85287447.19,-0.13615870153291254,-0.1396071697902661,-0.14247069431920645,85287447.19
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,600686.SH,商用车,,7,2556,169488833.55,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.11202466598150052,0.10758544575802143,-0.023638232271325887,131930355.0,-0.07605344295991778,-0.07974185236925946,-0.08119218910585824,131930355.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,000062.SZ,其他电子Ⅱ,,8,2556,137174179.8055,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.06888788833858617,0.06462087082026846,-0.0004502476361999408,197472344.32,-0.05087798289058998,-0.05466689313853157,-0.05898244034218836,197472344.32
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,603798.SH,炼化及贸易,,9,2556,55351025.45,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.052991452991453025,0.048787894296876466,0.0,35235638.0,-0.07094017094017091,-0.07464899261306446,-0.08376068376068369,35235638.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,600897.SH,航空机场,,10,2556,52920257.8,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.0024999999999999467,-0.0015019960079841743,-0.011249999999999982,91070085.0,0.02083333333333326,0.016758150365934643,-0.02458333333333329,91070085.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002511.SZ,个护用品,,11,2556,175849326.4515,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.023983315954118956,-0.02787959014192687,-0.05318039624608961,200447051.19,0.13138686131386867,0.12687034689744592,-0.05318039624608961,200447051.19
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,600653.SH,汽车服务,,12,2556,118281464.95,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.11764705882352944,0.11318539391804627,0.0,72860193.0,-0.05490196078431364,-0.058674807248248584,-0.06274509803921557,72860193.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,300546.SZ,计算机设备,,13,2556,71736528.11400001,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.054170514004309056,-0.05794628041546945,-0.07787011388119425,78045342.52,-0.16897506925207761,-0.1722925340454824,-0.17174515235457066,78045342.52
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002333.SZ,装修建材,,14,2556,233954268.2015,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.01707317073170722,-0.020997030329584776,-0.0329268292682926,171153601.1,-0.25365853658536575,-0.2566379436249453,-0.25365853658536575,171153601.1
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002484.SZ,元件,,15,2556,101356595.19150001,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.0012722646310433516,-0.0052592016983844525,-0.019083969465648942,80866640.68,-0.10178117048346069,-0.10536687439370629,-0.1081424936386769,80866640.68
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,601328.SH,银行Ⅱ,,16,2556,849887647.25,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.019200000000000106,0.015131337325349214,-0.028799999999999937,1321016659.0,-0.0015999999999999348,-0.005585628742515003,-0.028799999999999937,1321016659.0
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,300677.SZ,医疗器械,,17,2556,73442255.76699999,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.08311415044713288,0.07879034146331199,0.0,61763684.16,0.006838506049447579,0.002819190656036641,-0.02577590741714897,61763684.16
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,000739.SZ,化学制药,,18,2556,198026078.44950002,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.041478809738503264,0.037321209699626934,-0.0054102795311091745,257053073.36,-0.11722272317403071,-0.1207467841593639,-0.133453561767358,257053073.36
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,002048.SZ,汽车零部件,,19,2556,136168422.67450002,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.09531249999999991,0.09093999500997985,0.0,163764255.67,-0.01953125,-0.023445296906187685,-0.02968750000000009,163764255.67
date_control,control,control,2019-03-29,300,2019-03-29 15:00:00,2019-03-29 15:00:00,600076.SH,包装印刷,,20,2556,174066976.3,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.10392156862745106,0.09951469609800001,-0.0039215686274508554,174854472.0,-0.05882352941176472,-0.06258072091111888,-0.07254901960784299,174854472.0
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,603035.SH,汽车零部件,,1,2477,64452224.85,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.06869565217391294,-0.07241343400156208,-0.09913043478260875,53061606.0,-0.14869565217391312,-0.152094072724117,-0.17565217391304344,53061606.0
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,300437.SZ,环境治理,,2,2477,54892514.3625,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.005295007564296572,-0.009265885777612892,-0.07488653555219371,27490814.23,-0.07564296520423597,-0.07929828693596175,-0.10287443267776097,27490814.23
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002233.SZ,水泥,,3,2477,326408883.88499993,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.01072386058981234,0.00668903479903471,-0.05183199285075957,245181190.71,-0.0017873100983020196,-0.005772191095913537,-0.05183199285075957,245181190.71
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002460.SZ,能源金属,,4,2477,1073052980.9,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.008860759493670933,0.0048333712322190525,-0.05316455696202527,686030936.75,0.032911392405063244,0.02878799363298712,-0.05316455696202527,686030936.75
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002548.SZ,饲料,,5,2477,341871588.6685,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.031073446327683607,0.02695738466569675,-0.1094632768361582,286967733.33,0.09887005649717517,0.0944833496848112,-0.15677966101694918,286967733.33
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002521.SZ,造纸,,6,2477,55334390.142,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.05067567567567566,-0.05446539353724977,-0.09628378378378388,51833609.71,-0.08277027027027029,-0.08643186599773434,-0.10135135135135132,51833609.71
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002709.SZ,电池,,7,2477,175592483.01000002,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.07469621157969975,-0.0783900390783836,-0.10650464617583988,127253821.94,-0.15225160829163698,-0.15563583340823717,-0.1690493209435311,127253821.94
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002649.SZ,IT服务Ⅱ,,8,2477,248043638.3905,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.014285714285714124,-0.018220701454234267,-0.07472527472527468,118645930.0,-0.003296703296703174,-0.007275558772564805,-0.07472527472527468,118645930.0
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,603722.SH,化学制品,,9,2477,85713013.75,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.06211989574283239,0.057879896159028554,-0.06385751520417027,34332814.0,0.07254561251086011,0.06828133481082999,-0.06385751520417027,34332814.0
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002611.SZ,专用设备,,10,2477,352143067.7315,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.01330376940133049,0.009258644573381103,-0.10643015521064292,254268931.09,-0.06208425720620825,-0.06582843182813958,-0.11086474501108645,254268931.09
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,600196.SH,化学制药,,11,2477,922685892.6,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.059616749467707564,-0.06337077441993233,-0.1036195883605393,847472531.0,-0.12207239176721085,-0.12557709279808027,-0.12597586941092975,847472531.0
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002531.SZ,风电设备,,12,2477,163180843.6515,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.025145067698259194,0.02105267221842566,-0.07930367504835589,111294767.87,0.05609284332688591,0.051876903832567045,-0.07930367504835589,111294767.87
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,300513.SZ,通信服务,,13,2477,121730064.681,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.011290322580645218,-0.015237267400682653,-0.09314516129032269,74575977.74,-0.006048387096774244,-0.0100162578069668,-0.09314516129032269,74575977.74
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,000965.SZ,房地产开发,,14,2477,77857575.7115,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.05670103092783507,0.0524826635389013,-0.046391752577319534,47524456.65,0.005154639175257714,0.0011420458052966431,-0.046391752577319534,47524456.65
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002918.SZ,家居用品,,15,2477,98890347.3435,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.01092436974789912,0.006888743521360485,-0.0676470588235294,61394663.91,-0.06680672268907561,-0.07053204515339062,-0.08823529411764708,61394663.91
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,002746.SZ,养殖业,,16,2477,465030259.0625,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.03256637168141596,-0.0364283821737057,-0.1327433628318584,729664164.16,-0.044070796460176864,-0.04785155353010784,-0.1327433628318584,729664164.16
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,300563.SZ,通信设备,,17,2477,53854829.818,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,0.1524695776664282,0.14786890070967607,-0.061918396564065836,58164992.17,0.04921259842519676,0.045032340472955346,-0.061918396564065836,58164992.17
date_control,control,control,2019-04-30,321,2019-04-30 15:00:00,2019-04-30 15:00:00,300455.SZ,计算机设备,,18,2477,57075149.568500005,20,20,EXECUTABLE,COMPLETE,COMPLETE,INCOMPLETE,-0.0040322580645161255,-0.008008177193999155,-0.05913978494623662,36706665.38,0.04166666666666652,0.03752173073208431,-0.05913978494623662,36706665.38
