lookback,market_view,denominator,group_type,group_value,date_cells,valid_date_cells,eligible_security_rows,crossing_security_events,close_above_events,close_equal_events,close_below_events,nonindustry_defined_cells,industry_valid_cells,formation_distribution_cells,acceptance_distribution_cells,minimum_eligible_count,minimum_included_industries,minimum_event_industries,minimum_accepted_event_industries
40,CHINEXT_BOARD,NON_ST,YEAR,2020,243,243,188381,15932,8267,94,7571,243,243,241,215,736,41,4,0
40,CHINEXT_BOARD,NON_ST,YEAR,2021,243,243,220737,13337,6280,64,6993,243,243,242,224,836,46,3,0
40,CHINEXT_BOARD,NON_ST,YEAR,2022,242,242,263315,12058,5391,71,6596,242,242,224,166,1002,54,1,0
40,CHINEXT_BOARD,NON_ST,YEAR,2023,242,242,297020,16073,7691,125,8257,242,242,242,235,1171,57,5,3
40,SH_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,2363729,145685,72281,1492,71912,1417,1417,1405,1344,1103,72,1,0
40,SH_A,ALL_STATUS,YEAR,2018,203,203,252717,8158,3804,70,4284,203,203,194,160,1103,72,1,0
40,SH_A,ALL_STATUS,YEAR,2019,244,244,329715,24325,12714,271,11340,244,244,242,230,1234,87,3,1
40,SH_A,ALL_STATUS,YEAR,2020,243,243,367832,27375,14214,265,12896,243,243,243,237,1403,91,8,1
40,SH_A,ALL_STATUS,YEAR,2021,243,243,431612,31304,15788,285,15231,243,243,243,243,1668,96,16,7
40,SH_A,ALL_STATUS,YEAR,2022,242,242,473770,25480,11996,245,13239,242,242,241,234,1828,97,4,2
40,SH_A,ALL_STATUS,YEAR,2023,242,242,508083,29043,13765,356,14922,242,242,242,240,1924,98,12,3
40,SH_A,NON_ST,ALL_YEARS,ALL,1417,1417,2311369,141395,69725,1422,70248,1417,1417,1402,1337,1075,72,1,0
40,SH_A,NON_ST,YEAR,2018,203,203,246998,7884,3650,66,4168,203,203,192,155,1075,72,1,0
40,SH_A,NON_ST,YEAR,2019,244,244,321068,23499,12226,254,11019,244,244,241,230,1197,83,2,1
