trade_date,calendar_year,dispersion_state,candidate_selected,candidate_complete,opposite_selected,opposite_complete,control_complete,candidate_mean_net,candidate_median_net,candidate_positive_rate,candidate_severe_rate,control_mean_net,control_severe_rate,opposite_mean_net,candidate_minus_control,candidate_minus_opposite
2020-12-16,2020,0.901502504174,102,100,102,99,2111,0.0152840142354,0.00828502052534,0.62,0.03,0.0187305700511,0.0071056371388,0.0114080933007,-0.0034465558157,0.00387592093471
2020-12-18,2020,0.885191347754,102,96,102,98,2082,-0.0132240475227,-0.0191891844298,0.354166666667,0.03125,-0.00347492095485,0.0105667627281,0.00364846560145,-0.00974912656781,-0.0168725131241
2020-12-21,2020,0.897009966777,103,97,103,99,2072,-0.0546950924891,-0.0476519258203,0.144329896907,0.164948453608,-0.0345083711004,0.0709459459459,-0.0193806403303,-0.0201867213887,-0.0353144521588
2020-12-22,2020,0.925373134328,101,99,101,98,2068,-0.0109298473748,-0.0182045454545,0.424242424242,0.0707070707071,-0.00306506270424,0.0348162475822,-0.00207197030925,-0.00786478467052,-0.0088578770655
2020-12-23,2020,0.832781456954,101,95,101,96,2057,-0.0312500803392,-0.0351284046693,0.284210526316,0.105263157895,-0.0194361363211,0.0534759358289,-0.00662993692418,-0.0118139440181,-0.024620143415
2020-12-24,2020,0.935537190083,100,98,100,98,2050,-0.0198119811569,-0.0232736685632,0.316326530612,0.0510204081633,-0.00921385217075,0.0385365853659,-0.00488445276108,-0.0105981289862,-0.0149275283958
2020-12-28,2020,0.9176276771,98,96,98,97,2038,0.00704956572832,0.00922233837746,0.604166666667,0.0208333333333,0.0122740029123,0.0137389597645,0.0211989830671,-0.00522443718394,-0.0141494173388
2020-12-29,2020,0.949013157895,99,96,99,97,2043,0.0497561355281,0.0426696554374,0.802083333333,0.0104166666667,0.0393258221838,0.00342633382281,0.0363825701398,0.0104303133443,0.0133735653883
2021-01-04,2021,0.993453355155,100,100,100,100,2056,-0.0313453275941,-0.0317581498131,0.26,0.15,-0.0288527561387,0.140077821012,0.00252486361391,-0.00249257145533,-0.033870191208
2021-01-05,2021,0.91339869281,101,99,101,99,2058,-0.043257976743,-0.0556853932584,0.212121212121,0.141414141414,-0.0338950527763,0.118561710398,-0.02214523972,-0.00936292396674,-0.021112737023
2021-01-06,2021,0.978792822186,103,98,103,101,2081,-0.0699806403312,-0.0634923564829,0.0816326530612,0.275510204082,-0.0446916303381,0.178760211437,-0.0276478974689,-0.0252890099931,-0.0423327428623
2021-01-07,2021,0.995114006515,103,98,103,101,2090,-0.0485537291675,-0.0431865878772,0.173469387755,0.142857142857,-0.0169492358802,0.0708133971292,0.00242975179338,-0.0316044932873,-0.0509834809609
