role,challenge,scope,n,value,threshold,pass
continuation30_log_return,main_endpoint_count,2022,46,46,>=12,True
continuation30_log_return,main_endpoint_count,2023,35,35,>=12,True
continuation30_log_return,main_endpoint_count,A,123,123,>=60,True
continuation30_log_return,main_endpoint_count,ALL_A,67,67,>=25,True
continuation30_log_return,main_endpoint_count,B,127,127,>=60,True
continuation30_log_return,main_endpoint_count,CHINEXT_BOARD,70,70,>=25,True
continuation30_log_return,main_endpoint_count,GLOBAL,250,250,>=160,True
continuation30_log_return,main_endpoint_count,SH_A,60,60,>=25,True
continuation30_log_return,main_endpoint_count,SZ_A,53,53,>=25,True
continuation30_log_return,main_shape_count,2018,16,16,>=5,True
continuation30_log_return,main_shape_count,2019,13,13,>=5,True
continuation30_log_return,main_shape_count,2020,22,22,>=5,True
continuation30_log_return,main_shape_count,2021,25,25,>=5,True
continuation30_log_return,main_shape_count,2022,18,18,>=5,True
continuation30_log_return,main_shape_count,2023,14,14,>=5,True
continuation30_log_return,main_shape_count,A,51,51,>=20,True
continuation30_log_return,main_shape_count,B,57,57,>=20,True
continuation30_log_return,main_shape_count,GLOBAL,108,108,>=60,True
continuation30_log_return,shape_ols_slope_sign,A,51,0.90196078431372551,>=0.55,True
continuation30_log_return,shape_ols_slope_sign,B,57,1,>=0.55,True
continuation30_log_return,shape_ols_slope_sign,GLOBAL,108,0.95370370370370372,>=0.65,True
continuation30_log_return,shape_ols_slope_spearman,A,51,0.96035840347542756,>=0.45,True
continuation30_log_return,shape_ols_slope_spearman,B,57,0.98671247083225322,>=0.45,True
continuation30_log_return,shape_ols_slope_spearman,GLOBAL,108,0.97664958176933481,>=0.65,True
continuation30_log_return,shape_theil_sen_slope_sign,A,51,0.96078431372549022,>=0.55,True
continuation30_log_return,shape_theil_sen_slope_sign,B,57,0.98245614035087714,>=0.55,True
continuation30_log_return,shape_theil_sen_slope_sign,GLOBAL,108,0.97222222222222221,>=0.65,True
continuation30_log_return,shape_theil_sen_slope_spearman,A,51,0.94660150239840701,>=0.45,True
continuation30_log_return,shape_theil_sen_slope_spearman,B,57,0.96415607985480967,>=0.45,True
continuation30_log_return,shape_theil_sen_slope_spearman,GLOBAL,108,0.95560467198902499,>=0.65,True
loss_episode_count,common_direction_median,A,123,0,common nonzero sign; bootstrap excludes zero,False
loss_episode_count,common_direction_median,B,127,0,common nonzero sign; bootstrap excludes zero,False
loss_episode_count,definition_L10_CONTINUOUS_sign,A,123,0.93495934959349591,>=0.55,True
loss_episode_count,definition_L10_CONTINUOUS_sign,B,127,0.89763779527559051,>=0.55,True
loss_episode_count,definition_L10_CONTINUOUS_sign,GLOBAL,250,0.91600000000000004,>=0.6,True
loss_episode_count,definition_L10_CONTINUOUS_spearman,A,123,0.90865862855279644,n>=20;rho>=0.2,True
loss_episode_count,definition_L10_CONTINUOUS_spearman,B,127,0.81045052152148989,n>=20;rho>=0.2,True
loss_episode_count,definition_L10_CONTINUOUS_spearman,GLOBAL,250,0.86253142118409309,n>=60;rho>=0.35,True
loss_episode_count,definition_L20_AUCTION_sign,A,123,0.98373983739837401,>=0.8,True
loss_episode_count,definition_L20_AUCTION_sign,B,127,0.99212598425196852,>=0.8,True
loss_episode_count,definition_L20_AUCTION_sign,GLOBAL,250,0.98799999999999999,>=0.85,True
loss_episode_count,definition_L20_AUCTION_spearman,A,123,0.99561759819395146,n>=20;rho>=0.65,True
loss_episode_count,definition_L20_AUCTION_spearman,B,127,0.99693571482492793,n>=20;rho>=0.65,True
loss_episode_count,definition_L20_AUCTION_spearman,GLOBAL,250,0.99688222660515524,n>=60;rho>=0.75,True
loss_episode_count,definition_L40_CONTINUOUS_sign,A,69,0.92753623188405798,>=0.55,True
loss_episode_count,definition_L40_CONTINUOUS_sign,B,76,0.94736842105263153,>=0.55,True
loss_episode_count,definition_L40_CONTINUOUS_sign,GLOBAL,145,0.93793103448275861,>=0.6,True
loss_episode_count,definition_L40_CONTINUOUS_spearman,A,69,0.80688859303333993,n>=20;rho>=0.2,True
loss_episode_count,definition_L40_CONTINUOUS_spearman,B,76,0.93973079611687271,n>=20;rho>=0.2,True
loss_episode_count,definition_L40_CONTINUOUS_spearman,GLOBAL,145,0.88238278491559641,n>=60;rho>=0.35,True
loss_episode_count,endpoint_nondegeneracy,2018,43,24,>=3,True
loss_episode_count,endpoint_nondegeneracy,2019,33,16,>=3,True
loss_episode_count,endpoint_nondegeneracy,2020,47,23,>=3,True
loss_episode_count,endpoint_nondegeneracy,2021,46,27,>=3,True
loss_episode_count,endpoint_nondegeneracy,2022,46,22,>=3,True
loss_episode_count,endpoint_nondegeneracy,2023,35,21,>=3,True
loss_episode_count,endpoint_nondegeneracy,A,123,40,>=5,True
loss_episode_count,endpoint_nondegeneracy,B,127,41,>=5,True
loss_episode_count,endpoint_nondegeneracy,GLOBAL,250,53,>=10,True
loss_episode_count,external_complete_count,A,123,123,>=45,True
loss_episode_count,external_complete_count,B,127,127,>=45,True
loss_episode_count,external_complete_count,GLOBAL,250,250,>=120,True
loss_episode_count,external_joint_adjusted_r2,A,123,0.043711560908076486,<0.85,True
loss_episode_count,external_joint_adjusted_r2,B,127,0.067869901427895507,<0.85,True
loss_episode_count,external_joint_adjusted_r2,GLOBAL,250,0.060583696054246627,<0.7,True
loss_episode_count,external_pairwise_control__first_cross_fraction__endpoint_rate,A,123,0.071737964384880781,abs<0.85,True
loss_episode_count,external_pairwise_control__first_cross_fraction__endpoint_rate,B,127,0.013749698896965893,abs<0.85,True
loss_episode_count,external_pairwise_control__first_cross_fraction__endpoint_rate,GLOBAL,250,0.034906637972400713,abs<0.85,True
loss_episode_count,external_pairwise_control__intraday_log_range__endpoint_rate,A,123,-0.081707907759936305,abs<0.85,True
loss_episode_count,external_pairwise_control__intraday_log_range__endpoint_rate,B,127,-0.22890740150810721,abs<0.85,True
loss_episode_count,external_pairwise_control__intraday_log_range__endpoint_rate,GLOBAL,250,-0.14869665232311108,abs<0.85,True
loss_episode_count,external_pairwise_control__minute_realized_volatility__endpoint_rate,A,123,0.11991279502900826,abs<0.85,True
loss_episode_count,external_pairwise_control__minute_realized_volatility__endpoint_rate,B,127,0.012168586295911462,abs<0.85,True
loss_episode_count,external_pairwise_control__minute_realized_volatility__endpoint_rate,GLOBAL,250,0.072192182908936905,abs<0.85,True
loss_episode_count,main_endpoint_count,2018,43,43,>=12,True
loss_episode_count,main_endpoint_count,2019,33,33,>=12,True
loss_episode_count,main_endpoint_count,2020,47,47,>=12,True
loss_episode_count,main_endpoint_count,2021,46,46,>=12,True
loss_episode_count,main_endpoint_count,2022,46,46,>=12,True
loss_episode_count,main_endpoint_count,2023,35,35,>=12,True
loss_episode_count,main_endpoint_count,A,123,123,>=60,True
loss_episode_count,main_endpoint_count,ALL_A,67,67,>=25,True
loss_episode_count,main_endpoint_count,B,127,127,>=60,True
loss_episode_count,main_endpoint_count,CHINEXT_BOARD,70,70,>=25,True
loss_episode_count,main_endpoint_count,GLOBAL,250,250,>=160,True
loss_episode_count,main_endpoint_count,SH_A,60,60,>=25,True
loss_episode_count,main_endpoint_count,SZ_A,53,53,>=25,True
loss_episode_count,main_shape_count,2018,16,16,>=5,True
loss_episode_count,main_shape_count,2019,13,13,>=5,True
loss_episode_count,main_shape_count,2020,22,22,>=5,True
loss_episode_count,main_shape_count,2021,25,25,>=5,True
loss_episode_count,main_shape_count,2022,18,18,>=5,True
loss_episode_count,main_shape_count,2023,14,14,>=5,True
loss_episode_count,main_shape_count,A,51,51,>=20,True
loss_episode_count,main_shape_count,B,57,57,>=20,True
loss_episode_count,main_shape_count,GLOBAL,108,108,>=60,True
loss_episode_count,shape_ols_slope_sign,A,51,0.90196078431372551,>=0.55,True
loss_episode_count,shape_ols_slope_sign,B,57,0.92982456140350878,>=0.55,True
loss_episode_count,shape_ols_slope_sign,GLOBAL,108,0.91666666666666663,>=0.65,True
loss_episode_count,shape_ols_slope_spearman,A,51,0.98448296623053633,>=0.45,True
loss_episode_count,shape_ols_slope_spearman,B,57,0.96297164511181566,>=0.45,True
loss_episode_count,shape_ols_slope_spearman,GLOBAL,108,0.97756361057806274,>=0.65,True
loss_episode_count,shape_theil_sen_slope_sign,A,51,0.94117647058823528,>=0.55,True
loss_episode_count,shape_theil_sen_slope_sign,B,57,0.92982456140350878,>=0.55,True
loss_episode_count,shape_theil_sen_slope_sign,GLOBAL,108,0.93518518518518523,>=0.65,True
loss_episode_count,shape_theil_sen_slope_spearman,A,51,0.96650850091503282,>=0.45,True
loss_episode_count,shape_theil_sen_slope_spearman,B,57,0.93326767212434003,>=0.45,True
loss_episode_count,shape_theil_sen_slope_spearman,GLOBAL,108,0.95133936268541386,>=0.65,True
post_cross_activity_ratio,common_direction_median,A,123,0.0062270689403933766,common nonzero sign; bootstrap excludes zero,False
post_cross_activity_ratio,common_direction_median,B,127,0,common nonzero sign; bootstrap excludes zero,False
post_cross_activity_ratio,definition_L10_CONTINUOUS_sign,A,123,0.92682926829268297,>=0.55,True
post_cross_activity_ratio,definition_L10_CONTINUOUS_sign,B,127,0.88188976377952755,>=0.55,True
post_cross_activity_ratio,definition_L10_CONTINUOUS_sign,GLOBAL,250,0.90400000000000003,>=0.6,True
post_cross_activity_ratio,definition_L10_CONTINUOUS_spearman,A,123,0.91680340810360228,n>=20;rho>=0.2,True
post_cross_activity_ratio,definition_L10_CONTINUOUS_spearman,B,127,0.86713860815756982,n>=20;rho>=0.2,True
post_cross_activity_ratio,definition_L10_CONTINUOUS_spearman,GLOBAL,250,0.89275455322180386,n>=60;rho>=0.35,True
post_cross_activity_ratio,definition_L20_AUCTION_sign,A,123,0.93495934959349591,>=0.8,True
post_cross_activity_ratio,definition_L20_AUCTION_sign,B,127,0.92913385826771655,>=0.8,True
post_cross_activity_ratio,definition_L20_AUCTION_sign,GLOBAL,250,0.93200000000000005,>=0.85,True
post_cross_activity_ratio,definition_L20_AUCTION_spearman,A,123,0.99645930882209099,n>=20;rho>=0.65,True
post_cross_activity_ratio,definition_L20_AUCTION_spearman,B,127,0.99794931022309541,n>=20;rho>=0.65,True
post_cross_activity_ratio,definition_L20_AUCTION_spearman,GLOBAL,250,0.9967791798183071,n>=60;rho>=0.75,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_sign,A,69,0.92753623188405798,>=0.55,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_sign,B,76,0.97368421052631582,>=0.55,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_sign,GLOBAL,145,0.9517241379310345,>=0.6,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_spearman,A,69,0.88658474142345123,n>=20;rho>=0.2,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_spearman,B,76,0.96065242140878171,n>=20;rho>=0.2,True
post_cross_activity_ratio,definition_L40_CONTINUOUS_spearman,GLOBAL,145,0.93058600712328277,n>=60;rho>=0.35,True
post_cross_activity_ratio,endpoint_nondegeneracy,2018,43,39,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,2019,33,31,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,2020,47,41,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,2021,46,45,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,2022,46,44,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,2023,35,34,>=3,True
post_cross_activity_ratio,endpoint_nondegeneracy,A,123,109,>=5,True
post_cross_activity_ratio,endpoint_nondegeneracy,B,127,121,>=5,True
post_cross_activity_ratio,endpoint_nondegeneracy,GLOBAL,250,229,>=10,True
post_cross_activity_ratio,external_complete_count,A,123,123,>=45,True
post_cross_activity_ratio,external_complete_count,B,127,127,>=45,True
post_cross_activity_ratio,external_complete_count,GLOBAL,250,250,>=120,True
post_cross_activity_ratio,external_joint_adjusted_r2,A,123,0.011524969161041065,<0.85,True
post_cross_activity_ratio,external_joint_adjusted_r2,B,127,0.037111091235908389,<0.85,True
post_cross_activity_ratio,external_joint_adjusted_r2,GLOBAL,250,0.020692930287142586,<0.7,True
post_cross_activity_ratio,external_pairwise_control__closing30_volume_share__endpoint_rate,A,123,-0.081124989721909069,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__closing30_volume_share__endpoint_rate,B,127,-0.11325099350239667,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__closing30_volume_share__endpoint_rate,GLOBAL,250,-0.080305362749865508,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__first_cross_fraction__endpoint_rate,A,123,-0.16927629307122513,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__first_cross_fraction__endpoint_rate,B,127,-0.02978265840199576,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__first_cross_fraction__endpoint_rate,GLOBAL,250,-0.096699383872524886,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__minute_volume_concentration__endpoint_rate,A,123,0.091736820013349124,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__minute_volume_concentration__endpoint_rate,B,127,0.24252668912228806,abs<0.85,True
post_cross_activity_ratio,external_pairwise_control__minute_volume_concentration__endpoint_rate,GLOBAL,250,0.16878054982724514,abs<0.85,True
post_cross_activity_ratio,main_endpoint_count,2018,43,43,>=12,True
post_cross_activity_ratio,main_endpoint_count,2019,33,33,>=12,True
post_cross_activity_ratio,main_endpoint_count,2020,47,47,>=12,True
post_cross_activity_ratio,main_endpoint_count,2021,46,46,>=12,True
post_cross_activity_ratio,main_endpoint_count,2022,46,46,>=12,True
post_cross_activity_ratio,main_endpoint_count,2023,35,35,>=12,True
post_cross_activity_ratio,main_endpoint_count,A,123,123,>=60,True
post_cross_activity_ratio,main_endpoint_count,ALL_A,67,67,>=25,True
post_cross_activity_ratio,main_endpoint_count,B,127,127,>=60,True
post_cross_activity_ratio,main_endpoint_count,CHINEXT_BOARD,70,70,>=25,True
post_cross_activity_ratio,main_endpoint_count,GLOBAL,250,250,>=160,True
post_cross_activity_ratio,main_endpoint_count,SH_A,60,60,>=25,True
post_cross_activity_ratio,main_endpoint_count,SZ_A,53,53,>=25,True
post_cross_activity_ratio,main_shape_count,2018,16,16,>=5,True
post_cross_activity_ratio,main_shape_count,2019,13,13,>=5,True
post_cross_activity_ratio,main_shape_count,2020,22,22,>=5,True
post_cross_activity_ratio,main_shape_count,2021,25,25,>=5,True
post_cross_activity_ratio,main_shape_count,2022,18,18,>=5,True
post_cross_activity_ratio,main_shape_count,2023,14,14,>=5,True
post_cross_activity_ratio,main_shape_count,A,51,51,>=20,True
post_cross_activity_ratio,main_shape_count,B,57,57,>=20,True
post_cross_activity_ratio,main_shape_count,GLOBAL,108,108,>=60,True
post_cross_activity_ratio,shape_ols_slope_sign,A,51,0.86274509803921573,>=0.55,True
post_cross_activity_ratio,shape_ols_slope_sign,B,57,0.96491228070175439,>=0.55,True
post_cross_activity_ratio,shape_ols_slope_sign,GLOBAL,108,0.91666666666666663,>=0.65,True
post_cross_activity_ratio,shape_ols_slope_spearman,A,51,0.91402995665081399,>=0.45,True
post_cross_activity_ratio,shape_ols_slope_spearman,B,57,0.98619080501336998,>=0.45,True
post_cross_activity_ratio,shape_ols_slope_spearman,GLOBAL,108,0.95279666346461134,>=0.65,True
post_cross_activity_ratio,shape_theil_sen_slope_sign,A,51,0.98039215686274506,>=0.55,True
post_cross_activity_ratio,shape_theil_sen_slope_sign,B,57,0.91228070175438591,>=0.55,True
post_cross_activity_ratio,shape_theil_sen_slope_sign,GLOBAL,108,0.94444444444444442,>=0.65,True
post_cross_activity_ratio,shape_theil_sen_slope_spearman,A,51,0.99651651999532509,>=0.45,True
post_cross_activity_ratio,shape_theil_sen_slope_spearman,B,57,0.95459703040912913,>=0.45,True
post_cross_activity_ratio,shape_theil_sen_slope_spearman,GLOBAL,108,0.96568184040916105,>=0.65,True
