family,track,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,002243.SZ,化妆品,0.6579180015001613,7,1346,247110270.492,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.09040793825799343,-0.09403904429289178,-0.13891951488423382,326884607.49,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,300031.SZ,游戏Ⅱ,0.6572105397801967,8,1346,69714480.91700001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.07342657342657344,-0.07712546934103837,-0.10699300699300707,39250119.12,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,002237.SZ,贵金属,0.6540142538768015,9,1346,186248314.87449998,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.06505771248688341,-0.06879001702785403,-0.1059811122770199,130466215.15,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,300086.SZ,化学制药,0.6512935975004448,10,1346,74215556.95150001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.010159651669085501,-0.014111110145456407,-0.062409288824383125,48249620.86,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600674.SH,电力,0.6512073263779403,11,1346,70775806.85,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.016968325791855254,-0.02089260393240666,-0.041855203619909465,67029165.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,002910.SZ,饮料乳品,0.6419219314338938,12,1346,224586243.41099995,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.17470127729707452,-0.17799588297652735,-0.2171405026782035,258093573.72,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600028.SH,炼化及贸易,0.6400606721354798,13,1346,479309280.6,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.013432835820895495,0.009387195757738276,-0.03880597014925369,527108720.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600572.SH,中药Ⅱ,0.6398039723135636,14,1346,140043593.75,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.011251758087201136,-0.015198856857312038,-0.04641350210970463,90252304.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,300164.SZ,油服工程,0.6372408744132734,15,1346,61733743.04399999,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.09739368998628262,0.09301287685260484,-0.08230452674897115,95823861.25,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,000721.SZ,酒店餐饮,0.6344836152340843,16,1346,73797260.512,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.04056795131845825,-0.04439801937706711,-0.09330628803245433,267603449.15,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600273.SH,化学制品,0.6338287774213318,17,1346,125615730.65,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.12745098039215685,-0.13093421001134986,-0.21568627450980393,73027229.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,601169.SH,银行Ⅱ,0.6325309485835795,18,1346,241838202.4,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.025167785234899376,-0.029059331002424638,-0.046979865771812124,223810790.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,600351.SH,中药Ⅱ,0.6282455853570867,19,1346,72284278.7,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.06289308176100628,-0.06663402754239944,-0.09308176100628929,32734423.0,,,,
close_location_persistence_20,track_c,2018-07-31,140,2018-07-31 15:30:00,2018-07-31 15:00:00,002242.SZ,小家电,0.6277082529290929,20,1346,72121968.57149997,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.06193181818181814,-0.06567660134276898,-0.08863636363636374,72716536.59,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600739.SH,生物制品,0.7366270688208456,1,1145,82413733.9,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.026580459770114917,-0.030466366118337973,-0.04238505747126431,65854871.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600518.SH,中药Ⅱ,0.7239892351189828,2,1145,153454636.5,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.002414292612264668,-0.006396670685668626,-0.014968614196040675,127073683.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002030.SZ,医疗器械,0.6902034874285506,3,1145,64702663.518999994,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.013142857142857123,0.00909837467921304,-0.03942857142857148,153872544.22,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002664.SZ,汽车零部件,0.652477976775235,4,1145,157819541.8445,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.009198423127463773,-0.013153718843521789,-0.0227770477441962,137505549.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002254.SZ,化学纤维,0.64324663782749,5,1145,73190185.807,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.008203445447087732,-0.012162713129933667,-0.031173092698933424,59624760.69,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,000776.SZ,证券Ⅱ,0.639854700587531,6,1145,203394712.70850003,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.0044280442804428555,-0.008402383425031967,-0.01697416974169741,127797006.97,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600575.SH,电力,0.6371564774235059,7,1145,74914825.8,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.006230529595015577,-0.010197673189446643,-0.012461059190031154,75212996.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,000656.SZ,房地产开发,0.6368020868020876,8,1145,77282263.9305,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.02946954813359537,0.025359889258810497,0.0,55992829.45,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,300149.SZ,医疗服务,0.6358842338568509,9,1145,66117915.45400001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.005034612964128327,0.0010224987407188024,-0.005034612964128438,66444045.41,,,,
