scope,market_view,denominator,predictor,response,estimator,estimate,observations
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.115296691588,829
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.128043846815,829
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p10_log_return_h3,spearman,-0.132822946314,829
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0587893338358,810
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0579657083865,810
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0854418651942,809
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.081450726405,810
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0344757382934,810
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0452899269356,810
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0766634614485,810
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,partial_spearman,0.0714844485221,810
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.234938107531,829
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.233740570492,829
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.228772770369,829
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.224185450098,829
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.242023745385,829
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.24566449413,829
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.233977934544,829
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_p90_log_return_h3,spearman,0.225654585773,829
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.00457940404737,810
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.00709530207043,810
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.00341668254489,809
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.0016507249926,810
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,-0.00829846688837,810
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.00352986642876,810
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.0102851596886,810
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,partial_spearman,0.00205565609332,810
h3_diagnostic,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0624597102196,829
h3_diagnostic,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0628484784071,829
h3_diagnostic,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0296744001462,829
h3_diagnostic,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0286349136019,829
h3_diagnostic,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.062065558188,829
h3_diagnostic,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0705215531265,829
h3_diagnostic,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0509166445787,829
h3_diagnostic,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,terminal_positive_fraction_h3,spearman,0.0432205958573,829
h3_neighbor,ALL_A,ALL_STATUS,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.459789638254,1332
h3_neighbor,ALL_A,NON_ST,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.466310193995,1332
h3_neighbor,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.402290193236,1332
h3_neighbor,CHINEXT_BOARD,NON_ST,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.40458229671,1332
h3_neighbor,SH_A,ALL_STATUS,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.506096162427,1332
h3_neighbor,SH_A,NON_ST,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.508738201465,1332
h3_neighbor,SZ_A,ALL_STATUS,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.439978286041,1332
h3_neighbor,SZ_A,NON_ST,industry_return_dispersion_mad,opportunity_spread_h3,spearman,0.449966604592,1332
h3_neighbor,ALL_A,ALL_STATUS,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.526743002176,1332
h3_neighbor,ALL_A,NON_ST,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.533016023515,1332
h3_neighbor,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.446820997186,1332
h3_neighbor,CHINEXT_BOARD,NON_ST,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.452818364296,1332
h3_neighbor,SH_A,ALL_STATUS,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.568264225782,1332
h3_neighbor,SH_A,NON_ST,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.570357927472,1332
h3_neighbor,SZ_A,ALL_STATUS,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.486247838687,1332
h3_neighbor,SZ_A,NON_ST,industry_return_dispersion_p90_p10,opportunity_spread_h3,spearman,0.493746235917,1332
h3_phase_0,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.131230790943,270
h3_phase_0,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.113618935177,270
h3_phase_0,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.206529538596,269
h3_phase_0,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.198601920139,270
h3_phase_0,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.133337366833,270
h3_phase_0,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.140635227826,270
h3_phase_0,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.158318460949,270
h3_phase_0,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.177142370623,270
h3_phase_1,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.207437382914,270
h3_phase_1,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.195734236308,270
h3_phase_1,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.247529541154,270
h3_phase_1,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.244003516736,270
h3_phase_1,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.129780264934,270
