family,leg,period,count,signal_dates,mean_gross_return,mean_net_return,median_net_return,gross_excess_vs_date_control,net_excess_vs_date_control,severe_loss_fraction,control_severe_loss_fraction,severe_loss_disadvantage,entry_executable_fraction,median_candidate_count,median_avg_amount20_cny,p10_entry_amount_cny
overnight_information_stability_60,bottom,full,1164,59,0.013163034112843992,0.009120790680180495,-0.00590328501046572,0.0022955496191091824,0.0022867639335665633,0.14347079037800686,0.18911195514559595,-0.04564116476758909,0.9923728813559322,2385.0,115555355.78175,35560011.080000006
overnight_information_stability_60,bottom,late_2021_2023,686,35,0.010155223248667057,0.006125044609154295,-0.006183027320101009,0.005536107504066361,0.005514311628271821,0.13556851311953352,0.19521252109866505,-0.059644007979131525,0.99,2535.0,119563960.89575,41992975.665
overnight_information_stability_60,middle,early_2018_2020,477,24,0.037203881414347224,0.033064852942264536,0.0009366833343622538,0.016725463554632756,0.01665845797389968,0.1509433962264151,0.17927286770385084,-0.028329471477435753,0.9958333333333333,1938.0,152729608.84775,42659989.77
overnight_information_stability_60,middle,full,1172,59,0.01724489600850213,0.013185817455554607,-0.007556250663553532,0.006245750714203818,0.006220601465978133,0.15955631399317405,0.18891009520388,-0.029353781210705948,0.9983050847457627,2385.0,148508448.37675,45220490.74
overnight_information_stability_60,middle,late_2021_2023,695,35,0.0035464268882314633,-0.00045777956194271085,-0.013180281503413882,-0.0009468004007380579,-0.000943222353127735,0.16546762589928057,0.19552442256720942,-0.030056796667928848,1.0,2535.0,147405699.09899998,47054688.058
overnight_information_stability_60,top,early_2018_2020,479,24,0.022065761623953843,0.017986964131737317,-0.003992015968064089,0.002030467090183474,0.002021920462931874,0.162839248434238,0.18009009998901224,-0.017250851554774238,1.0,1938.0,114171350.59549999,36777687.216
overnight_information_stability_60,top,full,1177,59,0.011581152397136347,0.007544413210115968,-0.01175311714233862,0.0008379619718737657,0.0008341157299178024,0.19286321155480035,0.18920761972901665,0.003655591825783705,1.0,2385.0,118147997.16225001,39866138.228
overnight_information_stability_60,top,late_2021_2023,698,35,0.004386126867558152,0.0003782500418399968,-0.014341141936844548,1.9609605583866587e-05,1.8988986201840134e-05,0.2134670487106017,0.1954644849947218,0.01800256371587991,1.0,2535.0,120914791.083,43719382.6
trading_continuity_60,bottom,early_2018_2020,479,24,0.027240634101888265,0.023141111781206255,-5.522551734460368e-05,0.007309352107046737,0.007279675562295039,0.20041753653444677,0.17998571585540055,0.020431820679046225,0.9979166666666667,1938.0,156456986.94075,39083521.81200001
trading_continuity_60,bottom,full,1165,59,0.006929431904035355,0.002911348505006328,-0.014917149248121486,-0.003469911372162793,-0.003456352077965776,0.22832618025751072,0.1899751524734583,0.038351027784052416,0.997457627118644,2385.0,133215460.53775,43586927.36
trading_continuity_60,bottom,late_2021_2023,686,35,-0.007252879834698673,-0.011214098447325694,-0.025872767441160516,-0.010996539953126883,-0.010952791202870923,0.2478134110787172,0.19695028387294766,0.05086312720576955,0.9971428571428571,2535.0,121101488.23074998,46489993.865
trading_continuity_60,middle,early_2018_2020,480,24,0.03171376964391456,0.027595918963297685,0.0029435460223694587,0.011654595213059367,0.01160709152788718,0.21666666666666667,0.17971491228070177,0.0369517543859649,1.0,1938.0,161170208.78925,39417753.730000004
trading_continuity_60,middle,full,1180,59,0.017042762428907048,0.012983469231002114,-0.00900535902690841,0.0062823158844109986,0.006255974123250301,0.21610169491525424,0.1890276538804639,0.027074041034790358,1.0,2385.0,141624737.66899997,40632800.57
trading_continuity_60,middle,late_2021_2023,700,35,0.00698264319575903,0.002963503700285153,-0.015378270124189797,0.00259846720190926,0.002586636474356442,0.21571428571428572,0.19541353383458646,0.020300751879699264,1.0,2535.0,132670123.40325001,42901063.96
trading_continuity_60,top,early_2018_2020,479,24,0.02564893087398865,0.021557088035783132,0.00038604110460394025,0.005572623005492571,0.00555119191560227,0.1649269311064718,0.1793594110537304,-0.014432479947258603,0.9979166666666667,1938.0,133903474.53750002,35661537.752
trading_continuity_60,top,full,1173,59,0.010446630358383073,0.006415475288215692,-0.014748041713549043,-0.00040042554024743917,-0.0003982923329247099,0.16453537936913895,0.18875353344999324,-0.024218154080854287,0.9949152542372881,2385.0,141843641.47575,40785646.668
trading_continuity_60,top,late_2021_2023,694,35,-4.602374388647921e-05,-0.00403529201161832,-0.022093439241523627,-0.004523033974555025,-0.004504636648550679,0.1642651296829971,0.19523737297133326,-0.030972243288336143,0.9928571428571429,2535.0,145786683.6355,42645642.263
