audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at
ACTION|2022|01|600552.SH|2022-05-12,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600552.SH,600552,2022-05-12,2022,,,1,7.9900000000000002,7.9899997711181641,False,799,799,0,-2.2888183615066282e-07,2.2888183615066282e-07,0.14005088730544055,1.1190065895704699,1.1190065575153658,0.92247725330447605,0.92247725330447605,0.92247725330447605,False,0,0,169,0.031882222341893876,False,False,1,0,False,PITB-80B916173F29877FD683,2022-05-12T15:30:00+08:00
ACTION|2022|02|301300.SZ|2022-11-21,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,301300.SZ,301300,2022-11-21,2022,,,2,36.380000000000003,36.380001068115234,False,3638,3638,0,1.0681152318170462e-06,1.0681152318170462e-06,0.017525370974740041,0.63757299606104278,0.63757301478015838,0.60935875216637758,0.56031195840554571,0.56031195840554571,False,0,0,5,0.035969611321337532,False,False,1,0,False,PITB-80B916173F29877FD683,2022-11-21T15:30:00+08:00
ACTION|2022|03|600118.SH|2022-06-13,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600118.SH,600118,2022-06-13,2022,,,3,20.210000000000001,20.209999084472656,False,2021,2021,0,-9.1552734460265128e-07,9.1552734460265128e-07,0.040111387957840139,0.81065115062794924,0.81065111390487676,0.7770538996373727,0.75225856161497584,0.6550768335594529,False,0,0,52,0.011197419581360992,False,False,1,0,False,PITB-80B916173F29877FD683,2022-06-13T15:30:00+08:00
ACTION|2022|04|688127.SH|2022-06-02,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,688127.SH,688127,2022-06-02,2022,,,4,21.039999999999999,21.040000915527344,False,2104,2104,0,9.1552734460265128e-07,9.1552734460265128e-07,0.029067080824906159,0.61157138055602556,0.61157140716773284,0.51430005830148473,0.3688414559535898,0.33565149708452657,False,0,0,0,0.053588400957815086,False,False,1,0,False,PITB-80B916173F29877FD683,2022-06-02T15:30:00+08:00
ACTION|2022|05|300127.SZ|2022-06-15,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,300127.SZ,300127,2022-06-15,2022,,,5,17.719999999999999,17.719999313354492,False,1772,1772,0,-6.8664550667563162e-07,6.8664550667563162e-07,0.065286906628514732,1.156883985457281,1.15688394062832,1.045592334711072,1.0188475855893511,0.87875604257081541,False,0,0,31,0.019864508169946404,False,False,1,0,False,PITB-80B916173F29877FD683,2022-06-15T15:30:00+08:00
ACTION|2023|01|000777.SZ|2023-07-25,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,000777.SZ,000777,2023-07-25,2023,,,1,14.699999999999999,14.699999809265137,False,1470,1470,0,-1.9073486257070726e-07,1.9073486257070726e-07,0.075398077079816203,1.1083517330732982,1.1083517186922562,0.9961793526930528,0.94307970251196638,0.87577028678946311,False,0,0,42,0.024784080884753364,False,False,1,0,False,PITB-80B916173F29877FD683,2023-07-25T15:30:00+08:00
ACTION|2023|02|301002.SZ|2023-05-30,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,301002.SZ,301002,2023-05-30,2023,,,2,20.280000000000001,20.280000686645508,False,2028,2028,0,6.8664550667563162e-07,6.8664550667563162e-07,0.013218053328166347,0.26806212149521352,0.26806213057133044,0.25316031564120695,0.24258510123337251,0.24245613520400866,False,0,0,155,0.014711869901343003,False,False,1,0,False,PITB-80B916173F29877FD683,2023-05-30T15:30:00+08:00
ACTION|2023|03|600794.SH|2023-05-31,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,600794.SH,600794,2023-05-31,2023,,,3,3.52,3.5199999809265137,False,352,352,0,-1.9073486345888568e-08,1.9073486345888568e-08,0.23058230513408848,0.81164971407199149,0.81164970967398298,0.80577050937572348,0.80577050937572348,0.80577050937572348,False,0,0,158,0.0028616347030659029,False,False,1,0,False,PITB-80B916173F29877FD683,2023-05-31T15:30:00+08:00
ACTION|2023|04|603689.SH|2023-06-05,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,603689.SH,603689,2023-06-05,2023,,,4,8.4800000000000004,8.4799995422363281,False,848,848,0,-4.5776367230132564e-07,4.5776367230132564e-07,0.099180408016440194,0.84104985997941284,0.84104981457822514,0.81450424125567067,0.81353574631957593,0.71184377802962895,False,0,0,0,0.021944222125916398,False,False,1,0,False,PITB-80B916173F29877FD683,2023-06-05T15:30:00+08:00
ACTION|2023|05|002795.SZ|2023-06-01,SUPPORTED_ACTION_AUDIT,ACTION_AUDIT,002795.SZ,002795,2023-06-01,2023,,,5,9.1999999999999993,9.1999998092651367,False,920,920,0,-1.9073486257070726e-07,1.9073486257070726e-07,0.11520195600028951,1.0598579952026634,1.0598579732296343,0.98086236823103645,0.85825457220215706,0.82945408320208469,False,0,0,10,0.017449679790727417,False,False,1,0,False,PITB-80B916173F29877FD683,2023-06-01T15:30:00+08:00
